r1025685.fit is not a target (BIAS)
r1025686.fit is not a target (SKY)
r1025687.fit is not a target (SKY)
r1025689.fit is not a target (SKY)
r1025690.fit is not a target (SKY)
r1025691.fit is not a target (SKY)
r1025692.fit is not a target (SKY)
r1025693.fit is not a target (SKY)
r1025694.fit is not a target (SKY)
r1025696.fit is not a target (SKY)
r1025697.fit is not a target (SKY)
r1025698.fit is not a target (SKY)
r1025699.fit is not a target (SKY)
r1025700.fit is not a target (SKY)
r1025701.fit is not a target (SKY)
r1025702.fit is not a target (SKY)
r1025703.fit is not a target (SKY)
r1025704.fit is not a target (SKY)
r1025705.fit is not a target (SKY)
r1025706.fit is not a target (SKY)
r1025707.fit is not a target (FOCUS)
r1025708.fit is not a target (FOCUS)
r1025709.fit 13.27  4.38 0.086   109.8 from  30 sources of ceph
r1025902.fit  4.84  1.60 0.043    58.8 from  30 sources of f2
r1025903.fit  5.01  1.65 0.125   162.3 from  76 sources of f2
r1025904.fit 37.49 12.37 0.143    45.1 from  19 sources of f2
r1025905.fit  5.11  1.69 0.081    98.9 from  64 sources of f2
r1025906.fit  5.05  1.67 0.090    41.5 from  37 sources of f2
r1025907.fit  4.33  1.43 0.090    84.4 from 137 sources of f2
r1025908.fit  5.89  1.94 0.062    49.8 from  38 sources of f2
r1025909.fit  4.33  1.43 0.081    89.3 from  90 sources of f2
r1025910.fit  5.58  1.84 0.113    41.3 from  32 sources of f2
r1025911.fit  5.63  1.86 0.076    69.3 from  72 sources of f2
r1025912.fit  8.12  2.68 0.055    45.8 from  17 sources of f3
r1025913.fit  5.40  1.78 0.104    67.7 from  82 sources of f3
r1025914.fit  8.41  2.78 0.103    56.3 from  11 sources of f3
r1025915.fit  6.69  2.21 0.073   141.2 from  36 sources of f3
r1025916.fit  5.83  1.92 0.045    59.2 from  24 sources of f3
r1025917.fit  6.75  2.23 0.105   155.7 from  73 sources of f3
r1025918.fit  5.44  1.80 0.074    44.2 from  29 sources of f3
r1025919.fit  6.26  2.07 0.068   100.9 from  64 sources of f3
r1025920.fit  5.15  1.70 0.073    40.8 from  37 sources of f3
r1025921.fit  5.02  1.66 0.075    86.0 from 119 sources of f3
r1025922.fit  4.85  1.60 0.063    53.4 from  50 sources of f3
r1025923.fit  5.37  1.77 0.083    96.6 from  84 sources of f3
r1025924.fit  5.07  1.67 0.120    38.7 from  39 sources of f3
r1025925.fit  5.84  1.93 0.083    69.4 from  83 sources of f3
r1025926.fit  6.54  2.16 0.046    45.7 from  22 sources of f1
r1025927.fit  5.85  1.93 0.079    71.4 from  78 sources of f1
r1025928.fit  7.03  2.32 0.073    54.4 from  13 sources of f1
r1025929.fit  7.57  2.50 0.072   156.9 from  26 sources of f1
r1025930.fit  5.40  1.78 0.078    56.6 from  27 sources of f1
r1025931.fit  6.07  2.00 0.070   133.0 from  68 sources of f1
r1025932.fit  9.58  3.16 0.042    52.6 from  15 sources of f1
r1025933.fit  9.46  3.12 0.066   119.5 from  39 sources of f1
r1025934.fit  7.10  2.34 0.055    48.5 from  17 sources of f1
r1025935.fit  5.11  1.69 0.069    92.8 from  89 sources of f1
r1025936.fit  7.01  2.31 0.061    56.4 from  25 sources of f1
r1025937.fit  5.69  1.88 0.053    94.5 from  65 sources of f1
r1025938.fit  6.03  1.99 0.035    46.9 from  17 sources of f1
r1025939.fit  6.43  2.12 0.042    74.9 from  59 sources of f1
r1025940.fit  7.71  2.54 0.079    49.6 from  12 sources of f2
r1025941.fit  6.42  2.12 0.072    71.4 from  63 sources of f2
r1025942.fit  9.23  3.05 0.153    64.3 from   9 sources of f2
r1025943.fit  8.87  2.93 0.056   140.9 from  21 sources of f2
r1025944.fit  5.49  1.81 0.122    98.4 from  10 sources of f2
r1025945.fit  6.49  2.14 0.060   194.0 from  64 sources of f2
r1025946.fit  6.12  2.02 0.092    52.2 from  18 sources of f2
r1025947.fit  8.81  2.91 0.045   108.1 from  42 sources of f2
r1025948.fit  6.05  2.00 0.059    43.9 from  17 sources of f2
r1025949.fit  7.50  2.48 0.048    87.7 from  60 sources of f2
r1025950.fit  6.13  2.02 0.070    56.5 from  23 sources of f2
r1025951.fit  6.40  2.11 0.060   103.6 from  54 sources of f2
r1025952.fit  6.38  2.11 0.080    42.3 from  14 sources of f2
r1025953.fit  7.50  2.48 0.054    77.2 from  56 sources of f2
r1025954.fit  8.75  2.89 0.133    44.1 from  12 sources of f3
r1025955.fit  6.66  2.20 0.052    78.3 from  59 sources of f3
r1025956.fit  6.94  2.29 0.134    57.6 from  13 sources of f3
r1025957.fit  6.64  2.19 0.057   144.5 from  29 sources of f3
r1025958.fit  4.71  1.55 0.049    61.6 from  22 sources of f3
r1025959.fit  6.56  2.16 0.110   174.5 from  62 sources of f3
r1025960.fit  4.84  1.60 0.102    52.7 from  29 sources of f3
r1025961.fit  5.84  1.93 0.067   132.4 from  58 sources of f3
r1025962.fit  7.96  2.63 0.086    51.7 from  17 sources of f3
r1025963.fit  6.67  2.20 0.081    93.0 from  80 sources of f3
r1025964.fit  7.12  2.35 0.055    56.4 from  28 sources of f3
r1025965.fit  5.66  1.87 0.054    42.7 from  73 sources of f3
r1025966.fit  7.25  2.39 0.066    50.0 from  19 sources of f3
r1025967.fit  6.40  2.11 0.079    73.6 from  75 sources of f3
r1025968.fit  6.57  2.17 0.054    48.7 from  20 sources of f1
r1025969.fit  5.73  1.89 0.072    75.1 from  72 sources of f1
r1025970.fit  6.95  2.29 0.077    57.1 from  11 sources of f1
