id,time,moon_altitude,moon_azimuth,moon_separation,moon_phase,moon_ra,moon_dec
0379o_sep2005,2005-09-18T01:35:56.1,56.5,193.1,67.7,100.0,355.975,-4.073
0380_nov2006b,2006-11-10T00:43:12.9,31.5,74.4,67.3,76.0,109.003,26.910
0380_sep2005,2005-09-18T01:40:41.7,56.2,195.1,68.1,100.0,356.000,-4.050
0380o_nov2006b,2006-11-10T00:47:58.1,32.5,74.8,67.2,76.0,109.043,26.910
0380o_sep2005,2005-09-18T01:45:27.1,56.0,197.2,68.2,100.0,356.026,-4.026
0381_nov2006b,2006-11-10T00:52:48.4,33.5,75.2,66.4,75.9,109.084,26.910
0381_sep2005,2005-09-18T01:50:15.3,55.7,199.2,71.4,100.0,356.051,-4.002
0381o_nov2006b,2006-11-10T00:57:40.5,34.5,75.6,66.3,75.9,109.124,26.910
0381o_sep2005,2005-09-18T01:54:59.3,55.3,201.2,71.5,100.0,356.077,-3.978
0382_nov2006b,2006-11-10T01:02:26.7,35.5,75.9,67.2,75.9,109.164,26.910
0382_sep2005,2005-09-18T01:59:43.9,55.0,203.1,68.5,100.0,356.102,-3.954
0382o_nov2006b,2006-11-10T01:07:21.7,36.5,76.3,67.1,75.9,109.204,26.910
0382o_sep2005,2005-09-18T02:04:29.7,54.6,205.0,68.6,100.0,356.128,-3.930
0383_nov2006b,2006-11-10T01:12:07.7,37.5,76.7,67.0,75.8,109.242,26.909
0383_sep2005,2005-09-18T02:09:14.6,54.2,206.9,69.0,100.0,356.154,-3.906
0383o_nov2006b,2006-11-10T01:16:55.4,38.5,77.1,67.0,75.8,109.281,26.909
0383o_sep2005,2005-09-18T02:13:59.1,53.7,208.7,69.1,100.0,356.180,-3.882
0384_nov2006b,2006-11-10T01:21:51.0,39.5,77.5,66.3,75.8,109.320,26.908
0384_sep2005,2005-09-18T02:18:45.7,53.2,210.5,71.8,100.0,356.206,-3.858
0384o_nov2006b,2006-11-10T01:26:34.9,40.5,77.9,66.2,75.7,109.357,26.908
0384o_sep2005,2005-09-18T02:23:30.9,52.7,212.2,71.9,100.0,356.232,-3.834
0385_sep2010,2010-08-30T00:43:54.5,33.5,87.5,42.0,76.1,32.012,17.289
