night,ext_r,hours_phot,hours_nonphot
20090523,0.116:,3.17,4.97
20090524,0.094,5.46,2.64
20090525,0.092,7.81,0.28
20090526,0.086,6.02,2.12
20090527,0.085,9.86,0.28
20090528,0.082,7.81,0.28
20090529,0.085,7.79,0.28
20090530,0.086,8.01,0.0
20090531,0.084,8.01,0.0
20090601,0.088,5.71,2.27
20090602,0.085,7.81,0.0
20090603,0.087,7.78,0.0
20090604,0.098,5.06,2.71
20090605,0.086,5.83,2.26
20090606,0.093:,3.8,4.07
20090607,0.097:,3.57,4.28
20090608,0.075,6.88,0.93
20090609,0.064,7.36,0.38
20090610,0.068,7.05,0.68
20090611,0.127,6.71,1.13
20090612,0.141:,1.72,5.9
20090613,0.104,7.77,0.0
20090614,0.106,7.76,0.0
20090615,,0.34,0.31
20090616,,0.0,0.0
20090617,,0.0,0.06
20090618,0.092,4.77,0.21
20090619,0.087,7.91,0.0
20090620,0.087,7.91,0.0
20090621,0.091:,3.01,4.85
20090622,0.126,7.6,0.33
20090623,0.164,7.92,0.0
20090624,0.069,8.04,0.0
20090625,0.079,8.0,0.0
20090626,0.068,8.03,0.0
20090627,0.126,7.8,0.03
20090628,,3.13,0.03
20090629,0.074,8.0,0.0
20090630,0.066,7.96,0.0
20090701,0.070,7.93,0.0
20090702,0.057,7.82,0.0
20090703,0.049,8.0,0.0
20090704,0.075,8.06,0.0
20090705,,1.98,5.93
20090706,,1.73,6.19
20090707,0.146,5.42,2.57
20090708,0.111,4.54,3.4
20090709,,3.85,3.99
20090710,,0.0,8.02
20090711,,0.0,0.0
20090712,0.084,8.15,0.0
20090713,0.080,8.18,0.0
20090714,0.073,7.54,0.64
20090715,0.220,8.22,0.0
20090716,0.305,8.23,0.0
20090717,,4.11,4.13
20090718,0.180,8.28,0.0
20090719,0.197,8.29,0.0
20090720,0.310:,7.42,0.75
20090721,0.542,7.59,0.74
20090722,0.243,8.36,0.0
20090723,0.438:,7.57,0.81
20090724,0.306,8.4,0.0
20090725,0.274,8.43,0.0
20090726,0.508:,8.1,0.34
20090727,0.200,8.47,0.0
20090728,0.216,8.33,0.0
20090729,0.340,6.26,2.26
20090730,,2.63,5.96
20090731,,4.47,4.1
20090801,0.355:,3.04,5.47
20090802,0.106,16.52,0.66
20090803,0.086,25.68,0.0
20090804,0.084,7.96,0.32
20090805,,1.65,6.94
20090806,,0.0,8.5
20090807,,0.0,0.0
20090808,0.119,8.78,0.0
20090809,0.112,8.81,0.0
20090810,0.106,8.83,0.0
20090811,0.095,8.86,0.0
20090812,0.096,6.43,2.46
20090813,0.093,8.92,0.0
20090814,0.097,8.99,0.0
20090815,0.092,9.02,0.0
20090816,0.124,8.97,0.0
20090817,0.095,9.09,0.0
20090818,0.169,9.06,0.0
20090819,0.342,8.75,0.18
20090820,0.256,9.19,0.0
20090821,0.143,9.15,0.0
20090822,0.092,9.11,0.0
20090823,,0.0,0.0
20090824,0.336,8.96,0.06
20090825,0.164,9.26,0.0
20090826,0.104,9.29,0.0
20090827,,0.0,0.0
20090828,0.103,7.84,1.23
20090829,0.248:,1.64,7.6
20090830,,0.0,8.91
20090831,0.371:,4.19,5.07
20090901,0.128:,4.43,4.6
20090902,0.099,8.32,0.82
20090903,0.108:,3.39,5.68
20090904,,2.33,7.13
20090905,0.093,9.48,0.0
20090906,,2.25,7.33
20090907,,0.0,9.61
20090908,0.249,9.63,0.0
20090909,0.158,9.33,0.0
20090910,0.128,7.44,2.26
20090911,,0.0,9.74
20090912,0.105,9.76,0.0
20090913,0.104,9.78,0.0
20090914,,2.06,7.0
20090915,,2.95,3.15
20090916,,0.0,4.63
20090917,,0.0,8.56
20090918,,0.0,0.86
20090919,,0.0,9.73
20090920,,0.0,0.03
20090921,,3.97,0.0
20090922,0.260:,6.4,2.58
20090923,0.107,9.93,0.0
20090924,0.101,10.06,0.0
20090925,0.098,9.63,0.3
20090926,0.093,10.13,0.0
20090927,,0.24,0.03
20090928,,0.0,0.0
20090929,,0.0,0.09
20090930,,0.0,0.0
20091001,0.148,4.61,3.01
20091002,,0.0,0.0
20091003,,0.0,0.0
20091004,,0.0,0.0
20091005,,0.0,0.0
20091006,,0.0,0.0
20091007,0.096,10.4,0.0
20091008,0.100,9.87,0.41
20091009,0.099,9.99,0.0
20091010,0.103:,3.87,6.32
20091011,0.121,7.0,2.63
20091012,,0.0,0.0
20091013,,0.0,0.0
20091014,0.105,10.42,0.0
20091015,0.121,8.54,1.84
20091016,0.124,9.66,0.09
20091017,0.115:,4.98,5.27
20091018,,0.0,0.0
20091019,,1.2,0.0
20091020,,0.0,0.0
20091021,0.088,6.44,0.0
20091022,0.095,8.05,0.0
20091023,0.094,3.73,0.0
20091024,0.099,2.81,0.0
20091025,0.099,8.31,0.54
20091026,0.144:,2.55,7.87
20091027,0.123:,3.85,2.92
20091028,,0.0,0.0
20091029,0.102,10.56,0.0
20091030,0.107,9.86,0.65
20091031,0.094,10.5,0.0
20091101,0.096,9.83,0.64
20091102,0.105,5.95,4.42
20091103,,0.0,0.0
20091104,0.110,6.68,0.4
20091105,,0.0,0.0
20091106,0.097,9.67,0.0
20091107,,0.0,0.0
20091108,0.106,8.64,0.28
20091109,,0.0,0.0
20091110,,0.0,0.0
20091111,0.088,10.32,0.28
20091112,0.092,9.88,0.71
20091113,0.084,10.32,0.29
20091114,0.085,10.78,0.0
20091115,,0.0,0.0
20091116,,0.0,0.0
20091117,,0.0,0.0
20091118,,0.0,0.0
20091119,,0.0,0.0
20091120,0.097,9.78,0.32
20091121,0.182:,3.53,7.25
20091122,,0.0,10.84
20091123,0.111:,3.4,4.73
20091124,0.089,10.78,0.0
20091125,0.119:,9.86,0.7
20091126,0.130,6.66,3.94
20091127,0.107,10.53,0.28
20091128,0.119,5.1,0.29
20091129,0.093,9.61,0.88
20091130,,1.14,0.66
20091201,0.092,5.69,5.25
20091202,0.093,7.28,3.65
20091203,0.094,10.96,0.0
20091204,0.086,11.03,0.0
20091205,0.092,11.02,0.0
20091206,0.090,11.05,0.02
20091207,0.103,10.56,0.33
20091208,0.090,11.22,0.0
20091209,,0.0,0.0
20091210,,0.0,7.08
20091211,,0.0,0.0
20091212,,0.0,0.0
20091213,,0.0,0.0
20091214,,0.0,0.0
20091215,,0.37,0.09
20091216,,0.0,0.0
20091217,,0.0,0.0
20091218,,0.0,0.0
20091219,,0.0,0.0
20091220,,0.0,0.0
20091221,,0.0,0.0
20091222,,0.0,0.0
20091223,,0.0,0.0
20091224,,0.0,0.0
20091225,,0.0,1.64
20091226,0.102:,2.12,9.18
20091227,,0.0,0.0
20091228,,0.0,0.0
20091229,,0.0,0.0
20091230,0.079,7.45,1.15
20091231,0.070,11.47,0.0
20100101,0.075,6.93,1.63
20100102,,0.23,2.0
20100103,0.092,3.44,0.0
20100104,0.103,6.53,0.0
20100105,0.114,4.44,0.0
20100106,,0.0,0.0
20100107,0.083,10.51,0.0
20100108,,0.0,0.0
20100109,,0.0,0.0
20100110,0.089,11.36,0.0
20100111,0.095,8.79,2.59
20100112,0.107:,8.09,3.33
20100113,,0.0,0.0
20100114,0.097:,5.22,6.09
20100115,0.083,11.25,0.0
20100116,0.086,8.05,1.29
20100117,0.155,8.99,2.04
20100118,0.107:,5.12,5.92
20100119,0.084,10.97,0.0
20100120,0.083,10.64,0.33
20100121,0.090,5.89,5.07
20100122,0.101,5.5,1.4
20100123,0.082,10.75,0.0
20100124,0.084,10.4,0.0
20100125,0.086,10.57,0.0
20100126,0.078,3.26,0.85
20100127,,0.77,9.96
20100128,,0.0,6.95
20100129,,0.0,0.0
20100130,,0.0,0.0
20100131,,0.0,0.0
20100201,,0.0,0.0
20100202,,0.0,0.0
20100203,,0.0,0.0
20100204,,0.0,0.0
20100205,0.077,10.75,0.0
20100206,0.128,7.31,3.53
20100207,,0.0,0.0
20100208,0.085,10.13,0.72
20100209,0.096,11.17,0.72
20100210,,1.5,9.3
20100211,,0.0,10.76
20100212,0.103:,4.7,4.92
20100213,,0.32,2.96
20100214,,0.0,0.0
20100215,,0.0,0.0
20100216,,0.0,0.0
20100217,,0.0,0.0
20100218,,0.0,0.0
20100219,,0.0,0.0
20100220,,0.0,0.0
20100221,,0.0,0.0
20100222,,0.0,0.0
20100223,,0.56,8.44
20100224,0.095,6.37,0.82
20100225,,0.0,10.21
20100226,,0.0,0.0
20100227,,0.0,0.8
20100228,0.093,5.54,0.8
20100301,,0.0,0.0
20100302,,2.02,0.36
20100303,0.102,7.31,2.91
20100304,,0.0,0.0
20100305,,0.0,0.0
20100306,,0.0,0.54
20100307,,0.0,1.78
20100308,0.092,6.04,3.94
20100309,,0.77,9.4
20100310,0.087,4.01,0.0
20100311,0.103,5.54,4.39
20100312,0.175:,4.48,5.55
20100313,0.082,9.88,0.0
20100314,0.112,9.29,0.61
20100315,,0.66,3.63
20100316,,0.28,9.47
20100317,,1.27,8.45
20100318,0.308:,1.0,7.89
20100319,,2.02,7.66
20100320,,0.0,0.0
20100321,,0.0,0.0
20100322,,0.0,0.0
20100323,0.095,5.44,3.61
20100324,0.107,9.47,0.0
20100325,0.109,9.48,0.0
20100326,0.106:,4.1,5.38
20100327,0.175:,3.04,6.21
20100328,,0.0,9.36
20100329,0.109,7.69,1.28
20100330,0.103,7.92,1.14
20100331,0.103,8.73,0.31
20100401,0.170:,2.0,7.29
20100402,0.432:,3.15,6.12
20100403,0.221:,2.06,2.06
20100404,0.102,9.03,0.0
20100405,0.161:,7.3,1.36
20100406,0.161:,3.01,6.15
20100407,,0.39,8.28
20100408,,0.0,8.97
20100409,,0.74,8.29
20100410,0.098,8.5,0.53
20100411,0.099,7.27,0.0
20100412,,0.0,0.0
20100413,,0.0,0.0
20100414,,0.0,0.0
20100415,,0.0,0.0
20100416,,0.0,0.0
20100417,,0.0,0.0
20100418,,0.0,0.0
20100419,,0.0,0.0
20100420,,0.0,0.0
20100421,,0.0,0.0
20100422,,0.0,0.0
20100423,,0.0,0.0
20100424,,0.0,0.0
20100425,,0.0,0.0
20100426,,0.0,0.0
20100427,,0.0,0.0
20100428,0.144:,3.0,5.48
20100429,,0.91,7.75
20100430,0.149:,6.25,2.25
20100501,0.105,4.47,3.82
20100502,0.092,7.97,0.0
20100503,,0.0,8.37
20100504,0.236:,2.99,5.19
20100505,0.109,5.72,2.45
20100506,,0.0,0.0
20100507,,0.0,0.0
20100508,,0.0,0.0
20100509,,0.0,0.0
20100510,,0.0,0.0
20100511,,0.0,0.0
20100512,,0.0,0.0
20100513,,0.0,0.0
20100514,,0.0,0.0
20100515,,0.0,0.0
20100516,,0.0,0.0
20100517,,0.0,0.0
20100518,,0.0,0.0
20100519,,0.0,0.0
20100520,,0.0,0.0
20100521,,0.0,0.0
20100522,,0.0,0.0
20100523,,0.0,0.0
20100524,,0.0,0.0
20100525,,0.0,0.0
20100526,,0.0,0.0
20100527,,0.0,0.0
20100528,,0.0,0.0
20100529,,0.0,0.0
20100530,,0.0,0.0
20100531,,0.0,0.0
20100601,,0.0,0.0
20100602,,0.0,0.0
20100603,,0.0,0.0
20100604,,0.0,0.0
20100605,,0.0,0.0
20100606,,0.0,0.0
20100607,,0.0,0.0
20100608,,0.0,0.0
20100609,,0.0,0.0
20100610,,0.0,0.0
20100611,,0.0,0.0
20100612,,0.0,0.0
20100613,,0.0,0.0
20100614,,0.0,0.0
20100615,,0.0,0.0
20100616,,0.0,0.0
20100617,,0.0,0.0
20100618,,0.0,0.0
20100619,,0.0,0.0
20100620,,0.0,0.0
20100621,,0.0,0.0
20100622,,0.0,0.0
20100623,,0.0,0.0
20100624,,0.0,0.0
20100625,,0.0,0.0
20100626,,0.0,0.0
20100627,,0.0,0.0
20100628,,0.0,0.0
20100629,,0.0,0.0
20100630,,0.0,0.0
20100701,0.072,7.78,0.0
20100702,0.069,7.11,0.49
20100703,0.069,7.5,0.28
20100704,0.072,7.16,0.6
20100705,0.102,7.5,0.28
20100706,0.088,6.98,0.63
20100707,0.080,7.55,0.28
20100708,0.428:,4.24,3.42
20100709,0.862:,2.21,5.3
20100710,0.291:,7.27,0.44
20100711,0.226,5.4,2.37
20100712,0.220,7.49,0.36
20100713,0.090,7.51,0.0
20100714,0.074,7.4,0.44
20100715,0.073,7.27,0.44
20100716,0.064,7.48,0.0
20100717,0.089:,8.24,0.0
20100718,0.379,6.57,1.67
20100719,,0.0,0.04
20100720,,0.0,0.04
20100721,,0.0,0.0
20100722,,0.0,0.0
20100723,,0.0,0.0
20100724,,0.0,0.0
20100725,,0.0,0.0
20100726,0.079,8.08,0.3
20100727,0.082,8.44,0.0
20100728,,1.4,7.07
20100729,,0.0,0.0
20100730,,0.0,0.0
20100731,,0.0,0.0
20100801,,0.0,0.0
20100802,0.287,8.43,0.0
20100803,0.446,7.22,1.36
20100804,0.544,5.77,2.61
20100805,0.341,7.88,0.75
20100806,0.100,8.71,0.0
20100807,0.087,8.27,0.35
20100808,0.082,8.66,0.0
20100809,0.129,6.35,2.33
20100810,,0.65,7.99
20100811,,2.43,6.25
20100812,0.236,8.7,0.0
20100813,0.120,5.63,0.46
20100814,0.255,8.58,0.0
20100815,0.250:,3.9,3.96
20100816,0.271:,1.15,7.63
20100817,0.098:,5.85,2.59
20100818,0.091,8.54,0.29
20100819,0.081,8.77,0.0
20100820,0.086,8.77,0.0
20100821,0.144,6.26,2.88
20100822,0.117,6.46,2.59
20100823,0.093,8.85,0.0
20100824,0.147,5.85,3.18
20100825,0.109,8.92,0.0
20100826,,0.45,8.57
20100827,,0.76,8.28
20100828,0.305,5.69,1.32
20100829,0.181,9.1,0.0
20100830,0.203,9.19,0.0
20100831,,0.0,0.0
20100901,,0.0,0.0
20100902,,0.0,0.0
20100903,0.131,9.12,0.0
20100904,0.168,8.99,0.0
20100905,,1.98,7.4
20100906,0.101,6.78,2.62
20100907,0.104,9.24,0.0
20100908,0.099,9.46,0.0
20100909,,0.0,0.0
20100910,0.095,6.66,2.9
20100911,0.094,6.22,3.38
20100912,0.110,7.04,2.35
20100913,,0.43,4.89
20100914,,0.0,5.8
20100915,,0.0,0.0
20100916,,0.0,0.0
20100917,,0.0,0.0
20100918,,0.0,0.0
20100919,0.097,9.22,0.51
20100920,0.093,8.96,0.75
20100921,,0.0,6.67
20100922,,0.0,0.0
20100923,,0.0,1.18
20100924,,0.0,7.47
20100925,,0.0,0.38
20100926,,0.0,0.04
20100927,,0.0,10.08
20100928,,0.0,7.77
20100929,0.090,6.51,0.76
20100930,0.091,10.12,0.0
20101001,0.091,10.14,0.0
20101002,,0.0,0.0
20101003,0.157,5.14,5.11
20101004,0.094,10.32,0.0
20101005,0.092,8.85,0.0
20101006,0.101,3.95,0.5
20101007,,1.52,0.0
20101008,0.091,6.05,0.0
20101009,0.115,10.41,0.0
20101010,0.105:,2.29,2.88
20101011,,0.0,0.0
20101012,,0.28,1.44
20101013,0.091,5.54,0.16
20101014,0.087,4.7,0.0
20101015,0.090,3.25,0.04
20101016,0.090,10.33,0.0
20101017,,0.0,9.32
20101018,0.133,3.17,1.7
20101019,,0.0,0.04
20101020,0.156,3.86,0.43
20101021,0.097,2.65,0.04
20101022,0.102,6.29,1.82
20101023,,0.72,0.25
20101024,0.085,7.55,0.27
20101025,0.085,9.37,0.0
20101026,0.095,10.37,0.38
20101027,0.096,10.77,0.0
20101028,0.095,10.84,0.0
20101029,0.097,8.73,2.02
20101030,0.091,6.06,0.75
20101031,,0.0,0.0
20101101,,0.0,0.0
20101102,,0.0,0.0
20101103,,0.0,0.0
20101104,,0.0,0.0
20101105,,0.0,0.0
20101106,,0.0,0.0
20101107,,0.0,0.0
20101108,0.088,9.03,2.11
20101109,0.090,11.17,0.0
20101110,,2.02,2.45
20101111,,0.0,0.0
20101112,,0.0,0.0
20101113,,0.0,0.0
20101114,,0.0,0.0
20101115,,0.0,0.0
20101116,,0.0,0.0
20101117,,0.0,0.0
20101118,0.129,3.15,0.53
20101119,0.231:,1.23,5.98
20101120,,0.0,11.19
20101121,,0.0,11.21
20101122,0.093,7.28,4.12
20101123,0.089,11.42,0.0
20101124,,2.98,3.18
20101125,,0.0,0.0
20101126,,0.0,0.0
20101127,,0.0,0.0
20101128,,0.0,0.0
20101129,,0.0,0.0
20101130,,0.0,0.0
20101201,,0.0,0.0
20101202,,0.0,0.0
20101203,,0.0,0.0
20101204,,0.0,0.0
20101205,,0.0,0.0
20101206,,0.0,0.0
20101207,,0.0,0.0
20101208,,0.0,0.0
20101209,,0.0,0.0
20101210,,0.0,0.0
20101211,,0.0,0.0
20101212,,0.0,0.0
20101213,0.090,7.55,4.0
20101214,,1.48,2.39
20101215,,0.0,0.0
20101216,,0.0,0.0
20101217,,0.0,0.0
20101218,,0.0,0.0
20101219,,0.0,0.0
20101220,,0.0,0.0
20101221,,0.0,0.0
20101222,,0.0,0.0
20101223,0.091,11.46,0.0
20101224,,0.0,0.0
20101225,,0.0,0.0
20101226,,0.0,0.0
20101227,,0.0,0.0
20101228,,0.0,0.0
20101229,,0.0,0.0
20101230,,0.0,0.0
20101231,,0.0,0.0
20110101,,0.0,0.0
20110102,,0.0,0.0
20110103,,0.0,0.0
20110104,,0.0,0.0
20110105,,0.0,0.0
20110106,,0.0,0.0
20110107,,0.0,0.0
20110108,,0.0,0.0
20110109,,0.0,0.0
20110110,,0.0,0.0
20110111,,0.0,0.0
20110112,,0.0,0.0
20110113,,0.0,0.0
20110114,,0.0,0.0
20110115,,0.0,0.0
20110116,,0.0,0.0
20110117,,0.0,0.0
20110118,,0.0,0.0
20110119,0.088,8.69,2.74
20110120,,0.22,0.42
20110121,,0.0,0.0
20110122,,0.0,0.0
20110123,,0.0,0.0
20110124,,0.0,0.0
20110125,,0.0,0.0
20110126,,0.0,0.0
20110127,,0.0,0.0
20110128,,0.0,0.0
20110129,,0.0,0.0
20110130,,0.0,0.0
20110131,,0.0,0.0
20110201,,0.0,0.0
20110202,0.095,8.72,0.0
20110203,,4.91,6.24
20110204,,0.0,11.19
20110205,,0.0,0.0
20110206,,0.0,0.0
20110207,0.098,6.7,3.73
20110208,,0.24,5.46
20110209,,0.0,0.0
20110210,,0.0,0.0
20110211,,0.0,0.0
20110212,,0.0,0.0
20110213,,0.0,0.0
20110214,,0.0,0.0
20110215,,0.0,0.0
20110216,0.079,10.65,0.0
20110217,0.083,10.9,0.0
20110218,0.084:,4.23,6.59
20110219,,3.05,6.7
20110220,,0.22,9.32
20110221,,0.0,0.0
20110222,0.087,10.68,0.0
20110223,0.085,10.43,0.0
20110224,0.086,10.63,0.0
20110225,0.086,10.65,0.0
20110226,0.085,10.61,0.0
20110227,0.086,10.22,0.32
20110228,0.086,10.53,0.0
20110301,0.091,8.16,0.0
20110302,0.092,10.19,0.0
20110303,,0.0,0.0
20110304,,0.0,0.0
20110305,,0.19,0.0
20110306,,0.0,0.0
20110307,,0.0,0.0
20110308,,0.0,0.0
20110309,,0.0,0.0
20110310,,0.0,0.0
20110311,,0.0,0.0
20110312,,0.0,0.0
20110313,,0.0,0.0
20110314,,0.0,0.0
20110315,,0.0,0.0
20110316,,0.0,0.0
20110317,,0.0,0.0
20110318,,0.0,0.0
20110319,,0.0,0.0
20110320,,0.0,0.0
20110321,,0.0,0.0
20110322,,0.0,0.0
20110323,,0.0,0.0
20110324,,0.0,0.0
20110325,0.117,9.75,0.0
20110326,0.121,9.75,0.0
20110327,0.104,9.67,0.0
20110328,0.117,9.71,0.0
20110329,0.115,9.39,0.0
20110330,0.111,8.28,1.26
20110331,0.094,9.1,0.0
20110401,0.101,4.74,4.54
20110402,0.094,6.25,0.96
20110403,0.093,9.03,0.0
20110404,0.096,9.1,0.29
20110405,0.099:,3.05,6.35
20110406,0.094,9.38,0.0
20110407,0.106,4.63,1.86
20110408,0.098,9.27,0.0
20110409,0.104,9.23,0.0
20110410,0.094,9.21,0.0
20110411,0.090,9.17,0.0
20110412,0.090,8.9,0.01
20110413,0.094,9.12,0.0
20110414,0.125,5.09,4.0
20110415,,0.17,0.0
20110416,,0.0,0.0
20110417,,0.0,0.0
20110418,,0.0,0.0
20110419,,0.04,0.0
20110420,,0.0,0.0
20110421,,0.0,0.0
20110422,,0.0,0.0
20110423,,0.0,0.0
20110424,,0.0,0.0
20110425,,2.52,6.27
20110426,0.104,3.82,0.11
20110427,,0.0,0.0
20110428,,0.0,0.0
20110429,,0.0,0.0
20110430,,0.0,0.0
20110501,,0.0,0.0
20110502,0.102:,2.64,4.76
20110503,0.095,26.07,0.0
20110504,0.092,8.67,0.0
20110505,,0.0,8.64
20110506,0.096,7.48,0.0
20110507,0.102,8.58,0.0
20110508,0.089,7.38,1.0
20110509,0.111,5.97,2.45
20110510,0.105,8.4,0.0
20110511,0.182,7.21,0.0
20110512,0.131,8.4,0.0
20110513,0.100,4.49,3.89
20110514,0.107,8.15,0.0
20110515,0.095,5.18,3.15
20110516,0.104,3.71,1.76
20110517,0.094,4.46,2.69
20110518,0.096,3.37,0.66
20110519,,0.0,0.0
20110520,,0.0,0.0
20110521,0.087,8.21,0.0
20110522,0.087,5.23,2.95
20110523,,0.24,7.92
20110524,,1.46,6.69
20110525,0.095,5.44,0.0
20110526,0.093,2.52,0.0
20110527,0.089,8.03,0.0
20110528,0.085,8.06,0.0
20110529,0.091:,3.61,4.27
20110530,0.088,4.57,3.22
20110531,0.091,6.01,2.03
20110601,0.085,7.72,0.28
20110602,0.088,8.09,0.0
20110603,0.092,7.7,0.0
20110604,,0.0,0.0
20110605,,0.0,0.0
20110606,0.091,3.81,0.36
20110607,0.086,7.35,0.46
20110608,,0.0,0.0
20110609,0.138,5.36,2.42
20110610,,0.0,0.0
20110611,,0.0,0.0
20110612,,0.0,0.0
20110613,,0.0,0.0
20110614,,0.0,0.0
20110615,,0.0,0.0
20110616,,0.0,0.0
20110617,,0.0,0.0
20110618,,0.0,0.0
20110619,,0.0,0.0
20110620,,0.0,0.0
20110621,,0.0,0.0
20110622,,0.0,0.0
20110623,,0.0,0.0
20110624,,0.0,0.0
20110625,,0.0,0.0
20110626,,0.0,0.0
20110627,,0.0,0.0
20110628,,0.0,0.0
20110629,,0.0,0.0
20110630,,0.0,0.0
20110701,,0.0,0.0
20110702,,0.0,0.0
20110703,,0.0,0.0
20110704,,0.0,0.0
20110705,,0.0,0.0
20110706,,0.0,0.0
20110707,,0.0,0.0
20110708,,0.0,0.0
20110709,,0.0,0.0
20110710,,0.0,0.0
20110711,,0.0,0.0
20110712,,0.0,0.0
20110713,,0.0,0.0
20110714,,0.0,0.0
20110715,,0.0,0.0
20110716,,0.0,0.0
20110717,,0.0,0.0
20110718,,0.0,0.0
20110719,0.081,4.28,0.54
20110720,0.087,6.67,0.0
20110721,0.087,7.77,0.0
20110722,0.089,7.88,0.0
20110723,0.087,2.19,0.0
20110724,0.098,7.87,0.0
20110725,0.096,2.81,0.0
20110726,,0.0,0.0
20110727,,0.0,0.0
20110728,,0.0,0.0
20110729,,0.0,0.0
20110730,,0.0,0.0
20110731,,0.0,0.0
20110801,,0.0,0.0
20110802,,0.0,0.0
20110803,,0.0,0.0
20110804,,0.0,0.0
20110805,,0.0,0.0
20110806,,0.0,0.0
20110807,,0.0,0.0
20110808,,0.0,0.0
20110809,,0.0,0.0
20110810,,0.0,0.0
20110811,,0.0,0.0
20110812,,0.0,0.0
20110813,,0.0,0.0
20110814,,0.0,0.0
20110815,,0.0,0.0
20110816,,0.0,0.0
20110817,,0.0,0.0
20110818,,0.0,0.0
20110819,,0.0,0.0
20110820,,0.0,0.0
20110821,,0.0,0.0
20110822,,0.0,0.0
20110823,,0.0,0.0
20110824,,0.0,0.0
20110825,,0.0,0.0
20110826,,0.0,0.0
20110827,,0.0,0.0
20110828,,0.0,0.0
20110829,,0.0,0.0
20110830,,0.0,0.0
20110831,,0.0,0.0
20110901,,0.0,0.0
20110902,,0.0,0.0
20110903,,0.0,0.0
20110904,,0.0,0.0
20110905,,0.0,0.0
20110906,,0.0,0.0
20110907,,0.0,0.0
20110908,,0.0,0.0
20110909,,0.0,0.0
20110910,,0.0,0.0
20110911,,0.0,0.0
20110912,,0.0,0.0
20110913,,0.0,0.0
20110914,,0.0,0.0
20110915,,0.0,0.0
20110916,,0.0,0.0
20110917,,0.0,0.0
20110918,,0.0,0.0
20110919,,0.0,0.0
20110920,,0.0,0.0
20110921,,0.0,0.0
20110922,,0.0,0.0
20110923,,0.0,0.0
20110924,,0.0,0.0
20110925,,0.0,0.0
20110926,,0.0,0.0
20110927,,0.0,0.0
20110928,,0.0,0.0
20110929,,0.0,0.0
20110930,,0.0,0.0
20111001,,0.0,0.0
20111002,,0.0,0.0
20111003,,0.0,0.0
20111004,,0.0,0.0
20111005,,0.0,0.0
20111006,,0.0,0.0
20111007,,0.0,0.0
20111008,,0.0,0.0
20111009,,0.0,0.0
20111010,,0.0,0.0
20111011,,0.0,0.0
20111012,,0.0,0.0
20111013,,0.0,0.0
20111014,,0.0,0.0
20111015,,0.0,0.0
20111016,,0.0,0.0
20111017,,0.0,0.0
20111018,,0.0,0.0
20111019,,0.0,9.37
20111020,,0.0,4.3
20111021,,0.0,0.0
20111022,0.104,9.14,0.0
20111023,0.086,8.19,1.62
20111024,0.095,7.64,0.0
20111025,0.092,10.49,0.0
20111026,0.093,10.4,0.0
20111027,0.092,10.26,0.0
20111028,0.095,10.42,0.0
20111029,0.142:,4.27,6.15
20111030,0.101:,4.61,5.77
20111031,0.097,10.42,0.0
20111101,0.108,6.87,3.64
20111102,0.168,1.61,0.04
20111103,,0.0,0.0
20111104,,0.0,0.0
20111105,0.094,10.55,0.0
20111106,0.102,9.77,0.75
20111107,0.085:,3.35,7.18
20111108,0.090:,3.59,6.9
20111109,,0.0,0.04
20111110,,0.0,9.26
20111111,,0.0,0.0
20111112,,1.58,8.08
20111113,,0.63,0.0
20111114,0.088,10.2,0.57
20111115,0.087,8.49,2.17
20111116,0.110:,3.86,4.17
20111117,0.098,10.69,0.0
20111118,0.160:,6.52,2.55
20111119,,0.0,0.0
20111120,0.093,10.94,0.0
20111121,0.113:,2.17,3.24
20111122,0.093,5.75,0.54
20111123,0.100,4.89,0.0
20111124,0.408:,2.86,4.58
20111125,0.108:,2.81,4.37
20111126,0.096,7.44,0.99
20111127,0.096,11.17,0.0
20111128,0.095,11.25,0.0
20111129,0.096,10.96,0.0
20111130,0.097,11.01,0.0
20111201,0.129,10.54,0.55
20111202,0.095,11.05,0.0
20111203,,0.0,10.99
20111204,,0.0,0.0
20111205,0.081,10.46,0.59
20111206,,2.2,8.53
20111207,0.103,10.94,0.0
20111208,,0.04,0.0
20111209,0.127:,4.58,6.46
20111210,,0.74,10.47
20111211,0.104,9.67,0.66
20111212,0.103,10.18,1.04
20111213,,0.27,0.0
20111214,0.095,11.25,0.0
20111215,0.092,11.14,0.0
20111216,0.093,10.7,0.27
20111217,0.090,11.22,0.0
20111218,0.112,11.2,0.0
20111219,0.088,7.32,0.0
20111220,0.090,11.26,0.0
20111221,0.094,11.26,0.0
20111222,,0.0,0.0
20111223,0.091,11.33,0.0
20111224,0.089,11.05,0.01
20111225,0.094,11.33,0.0
20111226,0.094,11.31,0.0
20111227,0.095,11.33,0.0
20111228,0.106,7.68,1.87
20111229,0.095,10.83,0.52
20111230,0.092,11.42,0.0
20111231,0.093,11.32,0.0
20120101,0.091:,4.0,7.28
20120102,0.130:,3.87,7.39
20120103,0.125:,2.88,8.46
20120104,0.098,11.31,0.0
20120105,0.102,6.65,4.65
20120106,,0.0,11.18
20120107,0.116:,5.08,6.08
20120108,0.098,11.18,0.0
20120109,0.101,11.07,0.0
20120110,0.100,11.22,0.0
20120111,0.140,7.17,3.99
20120112,0.148:,4.51,6.71
20120113,0.170:,4.05,6.85
20120114,0.228:,1.22,9.87
20120115,0.102,11.08,0.0
20120116,0.101,9.68,0.0
