 543604 STD, EXTINCTION   6:52:05.04 -00:19:40.7 2000.00  00:39 1.189  WFC   30.1  180  V                                
 543605 STD, EXTINCTION   6:52:05.03 -00:19:40.7 2000.00  00:40 1.187  WFC   30.1  180  V                                
 543606 STD, EXTINCTION   6:52:05.03 -00:19:40.7 2000.00  00:42 1.185  WFC   30.1  180  r                                
 543607 STD, EXTINCTION   6:52:05.03 -00:19:40.8 2000.00  00:43 1.183  WFC   30.1  180  r                                
 543608 STD, EXTINCTION   6:52:05.03 -00:19:40.7 2000.00  00:45 1.179  WFC   30.1  180  i                                
 543609 STD, EXTINCTION   6:52:05.03 -00:19:40.7 2000.00  00:47 1.178  WFC   30.1  180  i                                
 543611 NGC 2403          7:36:51.40 +65:36:09.0 2000.00  01:02 1.287  WFC  200.0  180  r                                
 543613 NGC 2403          7:37:04.31 +65:36:08.9 2000.00  01:28 1.266  WFC  200.0  180  r                                
 543614 NGC 2403          7:37:04.31 +65:36:08.9 2000.00  01:35 1.259  WFC  999.5  180  Halpha                           
 543615 NGC 2403          7:37:04.31 +65:36:09.0 2000.00  01:56 1.252  WFC  999.4  180  Halpha                           
 543616 NGC 2403          7:37:04.30 +65:36:08.8 2000.00  02:16 1.249  WFC  999.5  180  [SII]6725                        
 543617 NGC 2403          7:37:04.30 +65:36:09.0 2000.00  02:34 1.250  WFC  999.5  180  [SII]6725                        
 543618 STD, EXTINCTION   8:13:00.41 +07:46:18.9 1950.00  02:56 1.073  WFC   30.1  180  [SII]6725                        
 543619 STD, EXTINCTION   8:13:00.41 +07:46:18.9 1950.00  02:58 1.073  WFC   30.1  180  [SII]6725                        
 543620 STD, EXTINCTION   8:13:00.41 +07:46:18.8 1950.00  02:59 1.072  WFC   20.0  180  [SII]6725                        
 543621 STD, EXTINCTION   8:13:00.41 +07:46:18.8 1950.00  03:01 1.072  WFC   30.1  180  Halpha                           
 543622 STD, EXTINCTION   8:13:00.42 +07:46:18.9 1950.00  03:03 1.072  WFC   29.6  180  Halpha                           
 543623 STD, EXTINCTION   6:52:05.03 -00:19:40.8 2000.00  03:10 1.236  WFC   30.1  180  i                                stretched stars
 543624 STD, EXTINCTION   6:52:05.03 -00:19:40.9 2000.00  03:12 1.239  WFC   30.1  180  V                                elongated images
 543625 STD, EXTINCTION   6:52:05.04 -00:19:40.8 2000.00  03:16 1.249  WFC   30.1  180  V                                
 543626 STD, EXTINCTION   6:52:05.03 -00:19:40.8 2000.00  03:21 1.261  WFC   29.5  180  V                                
 543627 STD, EXTINCTION   0:00:00.00 +00:00:00.0 2000.00  03:24 1.268  WFC   29.6  180  i                                still stretched stars
 543628 STD, EXTINCTION   6:52:05.03 -00:19:40.8 2000.00  03:27 1.278  WFC   30.1  180  i                                
 543629 STD, EXTINCTION   6:52:05.04 -00:19:40.8 2000.00  03:30 1.286  WFC   30.1  180  r                                
 543630 STD, EXTINCTION   6:52:05.03 -00:19:40.8 2000.00  03:33 1.294  WFC   29.6  180  B                                
 543631 STD, EXTINCTION   6:52:05.03 -00:19:40.8 2000.00  03:35 1.302  WFC   30.1  180  B                                
 543632 NGC 2403          7:36:51.40 +65:36:09.0 2000.00  03:58 1.296  WFC  200.0  180  i                                no offset applied
 543633 NGC 2403          7:37:04.31 +65:36:08.9 2000.00  04:06 1.304  WFC  199.9  180  i                                
 543634 NGC 2403          7:37:04.31 +65:36:08.9 2000.00  04:10 1.310  WFC  200.0  180  i                                
 543635 NGC 2403          7:37:04.31 +65:37:28.9 2000.00  04:19 1.321  WFC  200.0  180  i                                
 543636 NGC 2403          7:37:04.32 +65:37:29.0 2000.00  04:28 1.333  WFC  199.4  180  r                                
 543637 NGC 2403          7:37:04.32 +65:37:28.9 2000.00  04:39 1.354  WFC  499.8  180  Halpha                           
 543638 NGC 2403          7:37:04.32 +65:37:28.9 2000.00  04:49 1.371  WFC  499.8  180  Halpha                           guide star lost during integration time
 543639 J1004+4112       10:04:34.91 +41:12:42.8 2000.00  05:29 1.033  WFC  200.0  180  r                                
 543640 J1004+4112       10:04:34.90 +41:12:42.8 2000.00  05:41 1.040  WFC  200.0  180  i                                
 543641 J1004+4112       10:04:34.91 +41:12:42.7 2000.00  05:49 1.045  WFC  200.0  180  i                                
 543642 BIAS             10:04:34.90 +41:12:42.7 2000.00  06:28 1.085  WFC    0.0  180  V                                
