 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 776162 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:09 1.013  WFC    5.1  180  i                                
 776163 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:10 1.013  WFC    5.1  180  i                                
 776164 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:10 1.013  WFC    5.0  180  i                                
 776165 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:10 1.013  WFC    5.1  180  i                                
 776166 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:10 1.013  WFC    5.1  180  i                                
 776167 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:11 1.013  WFC    5.1  180  i                                
 776168 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:11 1.013  WFC    5.1  180  i                                
 776169 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 20:11 1.013  WFC    5.1  180  i                                
 776170 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:11 1.013  WFC    5.1  180  i                                
 776171 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:12 1.013  WFC    5.1  180  i                                
 776172 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:12 1.013  WFC    5.1  180  i                                
 776174 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:34 1.019  WFC    5.1  180  i                                
 776175 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:34 1.019  WFC    5.1  180  i                                
 776176 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:35 1.019  WFC    5.1  180  i                                
 776177 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:35 1.020  WFC    5.1  180  i                                
 776178 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:35 1.020  WFC    5.1  180  i                                
 776179 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:35 1.020  WFC    5.1  180  i                                
 776180 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:36 1.020  WFC    5.1  180  i                                
 776181 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:36 1.020  WFC    5.1  180  i                                
 776182 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:36 1.020  WFC    5.1  180  i                                
 776183 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:36 1.020  WFC    5.1  180  i                                
 776184 science WASP33b   2:26:10.49 +37:36:55.8  2000.00 20:37 1.020  WFC    5.0  180  i                                
 776185 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 20:37 1.021  WFC    5.1  180  i                                
 776186 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:37 1.021  WFC    5.1  180  i                                
 776187 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:38 1.021  WFC    5.0  180  i                                
