INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 15 07:16

TELESCOPE             INT
DATE                  20060714
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:20
EVENING TWILIGHT (UT) 21:44
MORNING TWILIGHT (UT) 04:51
SUNRISE (UT)          06:15
%ILLUM. LUNAR DISK    80
DARK TIME (HRS)       07:07
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         22:55
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
humid (60%), bit windy (40 km/h) but often good seeing and no time lost

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.52



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 514851 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  21:56 2.167  WFC   49.5  180  stromgren v                      
 514852 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  21:58 2.152  WFC   40.1  180  stromgren b                      
 514853 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  21:59 2.138  WFC   40.1  180  stromgren y                      
 514854 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  22:01 2.123  WFC   60.1  180  g                                
 514855 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  22:02 2.108  WFC   39.6  180  r                                
 514856 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  22:04 2.093  WFC   60.1  180  stromgren u                      
 514857 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  22:05 2.078  WFC   45.1  180  stromgren v                      
 514858 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  22:07 2.065  WFC   34.5  180  stromgren b                      
 514859 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  22:08 2.053  WFC   30.1  180  stromgren y                      
 514860 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  22:09 2.040  WFC   60.1  180  g                                
 514861 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  22:11 2.027  WFC   30.1  180  r                                
 514862 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  22:12 2.014  WFC   60.1  180  stromgren u                      
 514863 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  22:14 2.000  WFC   45.1  180  stromgren v                      
 514864 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  22:15 1.988  WFC   35.0  180  stromgren b                      
 514865 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  22:17 1.978  WFC   30.1  180  stromgren y                      
 514866 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  22:18 1.965  WFC   60.0  180  g                                
 514867 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  22:19 1.953  WFC   30.1  180  r                                
 514868 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  22:21 1.941  WFC   60.0  180  stromgren u                      
 514869 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  22:22 1.928  WFC   44.6  180  stromgren v                      
 514870 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  22:24 1.917  WFC   35.1  180  stromgren b                      
 514871 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  22:25 1.908  WFC   30.1  180  stromgren y                      
 514872 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  22:26 1.896  WFC   59.5  180  g                                
 514873 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  22:28 1.885  WFC   30.1  180  r                                
 514874 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  22:29 1.874  WFC   60.1  180  stromgren u                      
 514875 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  22:31 1.862  WFC   44.6  180  stromgren v                      
 514876 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  22:32 1.852  WFC   34.0  180  stromgren b                      
 514877 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  22:34 1.843  WFC   29.6  180  stromgren y                      
 514878 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  22:35 1.832  WFC   60.1  180  g                                
 514879 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  22:36 1.822  WFC   30.1  180  r                                
 514880 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  22:38 1.812  WFC   60.1  180  stromgren u                      
 514881 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  22:39 1.801  WFC   44.6  180  stromgren v                      
 514882 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  22:41 1.791  WFC   35.1  180  stromgren b                      
 514883 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  22:42 1.783  WFC   30.1  180  stromgren y                      
 514884 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  22:43 1.773  WFC   60.1  180  g                                
 514885 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  22:45 1.764  WFC   30.1  180  r                                
 514886 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  22:46 1.754  WFC   60.1  180  stromgren u                      
 514887 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  22:48 1.744  WFC   45.1  180  stromgren v                      
 514888 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  22:49 1.735  WFC   35.1  180  stromgren b                      
 514889 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  22:51 1.727  WFC   30.1  180  stromgren y                      
 514890 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  22:52 1.718  WFC   59.6  180  g                                
 514891 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  22:53 1.710  WFC   30.0  180  r                                
 514892 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  22:55 1.700  WFC   60.1  180  stromgren u                      
 514893 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  22:56 1.691  WFC   45.1  180  stromgren v                      
 514894 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  22:58 1.683  WFC   35.1  180  stromgren b                      
 514895 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  22:59 1.675  WFC   30.1  180  stromgren y                      
 514896 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  23:00 1.667  WFC   60.1  180  g                                
 514897 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  23:02 1.659  WFC   30.1  180  r                                
 514898 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  23:04 1.648  WFC   60.0  180  stromgren u                      
 514899 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  23:05 1.639  WFC   45.1  180  stromgren v                      
 514900 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  23:07 1.632  WFC   35.1  180  stromgren b                      
 514901 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  23:08 1.625  WFC   30.1  180  stromgren y                      
 514902 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  23:09 1.618  WFC   60.1  180  g                                
 514903 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  23:11 1.610  WFC   30.1  180  r                                
 514904 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  23:12 1.602  WFC   60.1  180  stromgren u                      
 514905 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  23:14 1.594  WFC   45.1  180  stromgren v                      
 514906 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  23:15 1.587  WFC   35.1  180  stromgren b                      
 514907 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  23:17 1.581  WFC   30.1  180  stromgren y                      
 514908 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  23:18 1.574  WFC   60.1  180  g                                
 514909 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  23:20 1.567  WFC   29.5  180  r                                
 514910 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  23:21 1.560  WFC   59.5  180  stromgren u                      
 514911 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  23:22 1.553  WFC   45.1  180  stromgren v                      
 514912 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  23:24 1.546  WFC   35.1  180  stromgren b                      
 514913 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  23:25 1.540  WFC   30.1  180  stromgren y                      
 514914 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  23:26 1.534  WFC   59.5  180  g                                
 514915 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  23:28 1.527  WFC   30.1  180  r                                
 514916 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  23:29 1.521  WFC   60.1  180  stromgren u                      
 514917 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  23:31 1.514  WFC   45.1  180  stromgren v                      
 514918 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  23:32 1.508  WFC   35.1  180  stromgren b                      
 514919 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  23:34 1.502  WFC   30.1  180  stromgren y                      
 514920 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  23:35 1.496  WFC   60.1  180  g                                
 514921 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  23:37 1.490  WFC   29.5  180  r                                
 514922 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  23:38 1.484  WFC   60.1  180  stromgren u                      
 514923 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  23:39 1.477  WFC   44.5  180  stromgren v                      
 514924 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  23:41 1.472  WFC   35.1  180  stromgren b                      
 514925 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  23:42 1.467  WFC   30.1  180  stromgren y                      
 514926 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  23:43 1.461  WFC   60.1  180  g                                
 514927 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  23:45 1.456  WFC   30.1  180  r                                
 514928 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  23:46 1.450  WFC   60.1  180  stromgren u                      
 514929 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  23:48 1.444  WFC   45.1  180  stromgren v                      
