 435769 LeoII i 200s     11:13:29.20 +22:09:16.9 2000.00  04:23 1.059  WFC  200.0  180  i                                
 435770 Sa101-316 r 10s   9:54:52.03 -00:18:34.4 2000.00  04:31 1.144  WFC   10.1  180  r                                
 435771 Sa101-316 g 10s   9:54:52.02 -00:18:34.3 2000.00  04:32 1.144  WFC    9.6  180  g                                
 435772 Sa101-316 i 10s   9:54:52.02 -00:18:34.3 2000.00  04:34 1.145  WFC   10.1  180  i                                
 435773 UMinNE i 400s    15:12:06.59 +67:26:52.0 2000.00  04:53 1.815  WFC  399.9  180  i                                
 435774 UMinNE i 400s    15:12:06.60 +67:26:51.8 2000.00  05:00 1.781  WFC  399.9  180  i                                
 435775 UMinNE i 400s    15:12:06.60 +67:26:52.0 2000.00  05:08 1.749  WFC  399.8  180  i                                
 435776 sa104-598  i 10s 12:45:16.77 -00:16:40.4 2000.00  05:28 1.284  WFC   10.1  180  i                                
 435777 sa104-598  g 10s 12:45:16.78 -00:16:40.4 2000.00  05:29 1.282  WFC    9.5  180  g                                
 435778 sa104-598  r 10s 12:45:16.78 -00:16:40.3 2000.00  05:30 1.279  WFC    9.5  180  r                                
 435779  sa107-351 i 10s 15:38:45.74 -00:32:06.5 2000.00  06:15 2.217  WFC   10.1  180  i                                
 435780 sa107-351 g 10s  15:38:45.75 -00:32:06.5 2000.00  06:18 2.158  WFC   10.1  180  g                                
 435781 sa107-351 r 10s  15:38:45.74 -00:32:06.5 2000.00  06:19 2.142  WFC   10.1  180  r                                
 435782 10               10:59:09.99 +03:29:59.9 2000.00  07:00 1.193  WFC    0.0  180  r                                
 435783 Bias             10:59:09.99 +03:30:00.0 2000.00  07:03 1.199  WFC    0.0  180  r                                
 435784 Bias             10:59:09.99 +03:29:59.9 2000.00  07:03 1.200  WFC    0.0  180  r                                
 435785 Bias             10:59:10.00 +03:29:59.9 2000.00  07:04 1.201  WFC    0.1  180  Halpha                           
 435787 Bias             10:59:10.00 +03:30:00.0 2000.00  07:05 1.204  WFC    0.0  180  Halpha                           
 435788 Bias             10:59:10.00 +03:29:59.9 2000.00  07:06 1.205  WFC    0.0  180  Halpha                           
 435789 Bias             10:59:09.99 +03:29:59.9 2000.00  07:06 1.207  WFC    0.0  180  Halpha                           
