 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 722568 G234-4            7:33:30.88 +64:09:27.5  2000.00 21:44 1.227  WFC   30.1  180  V                                
 722569 G234-4            7:33:30.88 +64:09:27.6  2000.00 21:47 1.227  WFC   30.1  180  V                                
 722570 G234-4            7:33:30.87 +64:09:27.6  2000.00 21:48 1.226  WFC   30.1  180  V                                
 722571 ULAS0822+0730     8:22:58.96 +07:30:20.2  2000.00 21:54 1.100  WFC  180.0  180  z                                
 722572 ULAS0822+0730     8:22:58.96 +07:30:20.1  2000.00 21:58 1.096  WFC  180.1  180  z                                
 722573 WD0803+122        8:03:59.92 +12:29:43.9  2000.00 22:05 1.047  WFC   60.1  180  r                                
 722574 WD0803+122        8:03:59.92 +12:29:43.8  2000.00 22:08 1.046  WFC   60.1  180  r                                
 722575 WD0803+122        8:03:59.93 +12:29:43.8  2000.00 22:10 1.045  WFC   60.0  180  r                                
 722576 WD0851+120        8:51:06.11 +12:01:57.8  2000.00 22:13 1.081  WFC   60.1  180  r                                
 722577 WD0851+120        8:51:06.11 +12:01:57.8  2000.00 22:15 1.079  WFC   60.1  180  r                                
 722578 WD0851+120        8:51:06.12 +12:01:57.7  2000.00 22:16 1.076  WFC   60.0  180  r                                
 722579 LB8915            8:56:19.00 +16:11:04.9  2000.00 22:19 1.058  WFC   20.1  180  V                                
 722580 LB8915            8:56:19.00 +16:11:05.0  2000.00 22:21 1.057  WFC   20.1  180  V                                
 722581 LB8915            8:56:19.01 +16:11:05.0  2000.00 22:22 1.055  WFC   20.1  180  V                                
 722582 WD0837+185        8:40:13.29 +18:43:26.1  2000.00 22:25 1.028  WFC  180.0  180  i                                
 722583 WD0837+185        8:40:13.29 +18:43:26.0  2000.00 22:29 1.026  WFC  180.0  180  i                                
 722584 WD0855+416        8:58:30.84 +41:26:35.1  2000.00 22:35 1.040  WFC   30.1  180  r                                
