 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 540049 onc V             5:35:30.00 -05:22:59.9 2000.00  23:57 1.373  WFC   60.0  180  V                                
 540050 onc i             5:35:30.00 -05:22:59.9 2000.00  23:59 1.367  WFC   30.1  180  i                                
 540051 onc V             5:35:30.00 -05:23:00.6 2000.00  00:01 1.362  WFC   60.1  180  V                                
 540052 onc i             5:35:30.00 -05:23:00.0 2000.00  00:03 1.356  WFC   30.1  180  i                                
 540053 onc V             5:35:29.96 -05:23:00.0 2000.00  00:04 1.350  WFC   59.5  180  V                                
 540054 onc i             5:35:30.00 -05:22:59.9 2000.00  00:06 1.344  WFC   30.1  180  i                                
 540055 onc V             5:35:29.99 -05:22:59.9 2000.00  00:08 1.339  WFC   60.1  180  V                                
 540056 onc i             5:35:30.00 -05:22:59.5 2000.00  00:10 1.334  WFC   30.1  180  i                                
 540057 onc V             5:35:29.99 -05:23:00.1 2000.00  00:12 1.329  WFC   60.1  180  V                                
 540058 onc i             5:35:29.99 -05:23:00.0 2000.00  00:14 1.324  WFC   30.1  180  i                                
 540059 onc V             5:35:30.03 -05:23:00.4 2000.00  00:15 1.319  WFC   59.6  180  V                                
 540060 onc i             5:35:30.00 -05:23:00.0 2000.00  00:17 1.314  WFC   29.6  180  i                                
 540061 onc V             5:35:29.99 -05:22:59.9 2000.00  00:21 1.306  WFC   60.0  180  V                                
 540062 onc i             0:00:00.00 +00:00:00.0 2000.00  00:23 1.301  WFC   30.1  180  i                                
 540063 onc V             5:35:30.00 -05:23:00.0 2000.00  00:24 1.297  WFC   60.0  180  V                                
 540064 onc i             0:00:00.00 +00:00:00.0 2000.00  00:26 1.293  WFC   30.1  180  i                                
 540065 onc V             5:35:30.00 -05:23:00.0 2000.00  00:28 1.289  WFC   60.0  180  V                                
 540066 onc i             5:35:30.00 -05:23:00.0 2000.00  00:30 1.285  WFC   30.1  180  i                                
 540067 onc V             5:35:30.00 -05:22:59.9 2000.00  00:32 1.281  WFC   60.1  180  V                                
 540068 onc i             0:00:00.00 +00:00:00.0 2000.00  00:34 1.277  WFC   30.1  180  i                                
 540069 onc V             5:35:30.00 -05:22:59.9 2000.00  00:35 1.274  WFC   60.1  180  V                                
 540070 onc i             5:35:29.99 -05:23:00.0 2000.00  00:37 1.270  WFC   30.1  180  i                                
 540071 onc V             5:35:30.00 -05:23:00.5 2000.00  00:39 1.267  WFC   60.0  180  V                                
 540072 onc i             5:35:30.00 -05:22:59.5 2000.00  00:41 1.264  WFC   30.1  180  i                                
 540073 onc V             5:35:30.00 -05:23:00.0 2000.00  00:43 1.261  WFC   60.1  180  V                                
 540074 onc i             5:35:30.00 -05:22:59.8 2000.00  00:45 1.258  WFC   30.1  180  i                                
 540075 onc V             5:35:30.00 -05:23:00.4 2000.00  00:46 1.255  WFC   60.1  180  V                                
 540076 onc i             5:35:30.00 -05:23:00.0 2000.00  00:48 1.252  WFC   30.1  180  i                                
 540077 onc V             5:35:30.00 -05:23:00.0 2000.00  00:50 1.249  WFC   60.1  180  V                                
 540078 onc i             5:35:29.99 -05:22:59.7 2000.00  00:52 1.246  WFC   30.1  180  i                                
 540079 onc V             0:00:00.00 +00:00:00.0 2000.00  00:56 1.241  WFC   60.0  180  V                                
 540080 onc i             5:35:29.99 -05:22:59.8 2000.00  00:58 1.238  WFC   30.0  180  i                                
 540081 onc V             5:35:29.99 -05:23:00.4 2000.00  01:00 1.236  WFC   60.1  180  V                                
 540082 onc i             5:35:30.00 -05:22:59.9 2000.00  01:02 1.234  WFC   30.1  180  i                                
 540083 onc V             5:35:30.00 -05:23:00.3 2000.00  01:03 1.232  WFC   60.1  180  V                                
 540084 onc i             5:35:30.00 -05:22:59.5 2000.00  01:05 1.230  WFC   30.1  180  i                                
 540085 onc V             5:35:29.99 -05:23:00.0 2000.00  01:07 1.228  WFC   60.1  180  V                                
 540086 onc i             5:35:29.99 -05:22:59.9 2000.00  01:09 1.226  WFC   30.1  180  i                                
 540087 onc V             5:35:29.99 -05:23:00.4 2000.00  01:11 1.224  WFC   59.6  180  V                                
 540088 onc i             5:35:30.00 -05:23:00.0 2000.00  01:13 1.223  WFC   30.1  180  i                                
 540089 onc V             5:35:30.00 -05:23:00.2 2000.00  01:14 1.221  WFC   59.5  180  V                                
 540090 onc i             5:35:30.00 -05:23:00.0 2000.00  01:16 1.220  WFC   30.1  180  i                                
 540091 onc V             5:35:30.00 -05:23:00.0 2000.00  01:18 1.218  WFC   60.1  180  V                                
 540092 onc i             5:35:30.00 -05:22:59.5 2000.00  01:20 1.217  WFC   30.1  180  i                                
 540093 onc V             5:35:30.00 -05:23:00.0 2000.00  01:22 1.216  WFC   60.1  180  V                                
 540094 onc i             5:35:29.99 -05:23:00.0 2000.00  01:24 1.215  WFC   30.1  180  i                                
 540095 onc V             5:35:30.00 -05:22:59.9 2000.00  01:25 1.214  WFC   60.1  180  V                                
 540096 onc i             5:35:29.99 -05:22:59.7 2000.00  01:28 1.213  WFC   29.6  180  i                                
 540097 onc V             5:35:30.01 -05:23:00.6 2000.00  01:29 1.212  WFC   60.1  180  V                                
 540098 onc i             5:35:30.00 -05:22:59.2 2000.00  01:31 1.211  WFC   30.1  180  i                                
 540099 onc V             5:35:30.00 -05:22:59.9 2000.00  01:33 1.210  WFC   60.1  180  V                                
 540100 onc i             5:35:30.00 -05:22:59.4 2000.00  01:35 1.210  WFC   30.1  180  i                                
 540101 onc V             5:35:30.00 -05:22:59.9 2000.00  01:37 1.209  WFC   60.1  180  V                                
 540102 onc i             5:35:30.00 -05:22:59.9 2000.00  01:39 1.209  WFC   30.1  180  i                                
 540103 onc V             5:35:29.99 -05:23:00.4 2000.00  01:40 1.208  WFC   60.1  180  V                                
 540104 onc i             5:35:30.00 -05:22:59.4 2000.00  01:43 1.208  WFC   30.1  180  i                                
 540105 onc V             5:35:30.01 -05:23:00.3 2000.00  01:44 1.208  WFC   60.1  180  V                                
 540106 onc i             5:35:29.97 -05:22:59.3 2000.00  01:46 1.208  WFC   30.1  180  i                                
 540107 onc V             5:35:30.02 -05:23:00.3 2000.00  01:48 1.208  WFC   60.1  180  V                                
 540108 onc i             5:35:30.00 -05:22:59.9 2000.00  01:50 1.208  WFC   30.1  180  i                                
 540109 onc V             5:35:30.01 -05:23:00.3 2000.00  01:52 1.208  WFC   60.1  180  V                                
 540110 onc i             5:35:29.99 -05:22:59.5 2000.00  01:54 1.208  WFC   30.1  180  i                                
 540111 onc V             5:35:29.99 -05:23:00.0 2000.00  01:55 1.208  WFC   60.1  180  V                                
 540112 onc i             5:35:30.00 -05:22:59.4 2000.00  01:57 1.209  WFC   30.1  180  i                                
 540113 onc V             5:35:30.00 -05:22:59.9 2000.00  01:59 1.209  WFC   60.1  180  V                                
 540114 onc i             5:35:30.00 -05:22:59.2 2000.00  02:01 1.210  WFC   30.0  180  i                                
 540115 onc V             5:35:30.00 -05:22:59.9 2000.00  02:03 1.210  WFC   60.1  180  V                                
 540116 onc i             5:35:30.00 -05:22:59.6 2000.00  02:05 1.211  WFC   30.1  180  i                                
 540117 onc V             5:35:30.00 -05:22:59.9 2000.00  02:06 1.212  WFC   60.1  180  V                                
 540118 onc i             5:35:29.99 -05:23:00.0 2000.00  02:09 1.213  WFC   30.1  180  i                                
 540119 onc V             5:35:30.00 -05:23:00.0 2000.00  02:10 1.214  WFC   60.0  180  V                                
 540120 onc i             5:35:30.00 -05:22:59.9 2000.00  02:12 1.215  WFC   30.1  180  i                                
 540121 onc V             5:35:30.00 -05:23:00.0 2000.00  02:14 1.216  WFC   60.1  180  V                                
 540122 onc i             5:35:30.00 -05:22:59.3 2000.00  02:16 1.217  WFC   30.1  180  i                                
 540123 onc V             5:35:30.01 -05:23:00.2 2000.00  02:18 1.219  WFC   60.1  180  V                                
 540124 onc i             5:35:30.00 -05:22:59.9 2000.00  02:20 1.220  WFC   29.5  180  i                                
 540125 onc V             5:35:30.00 -05:23:00.0 2000.00  02:21 1.222  WFC   60.0  180  V                                
 540126 onc i             5:35:30.00 -05:22:59.9 2000.00  02:23 1.223  WFC   30.1  180  i                                
 540127 onc V             5:35:30.00 -05:23:00.2 2000.00  02:25 1.225  WFC   60.1  180  V                                
 540128 onc i             5:35:30.00 -05:22:59.4 2000.00  02:27 1.227  WFC   30.1  180  i                                
 540129 onc V             5:35:30.00 -05:22:59.9 2000.00  02:29 1.228  WFC   60.0  180  V                                
