 499756 USco11 Z         16:08:59.99 -23:57:48.0 2000.00  02:17 1.692  WFC  359.9  180  z                                
 499757 USco26 Z         16:13:29.99 -23:57:47.6 2000.00  02:25 1.685  WFC  359.8  180  z                                
 499758 USco26 Z         16:13:30.00 -23:57:47.9 2000.00  02:32 1.674  WFC  359.9  180  z                                
 499759 USco26 Z         16:13:30.00 -23:57:48.0 2000.00  02:38 1.665  WFC  359.9  180  z                                
 499760 USco26 Z         16:13:29.99 -23:57:47.9 2000.00  02:45 1.658  WFC  359.8  180  z                                
 499761 USco26 Z         16:13:30.00 -23:57:48.0 2000.00  02:51 1.653  WFC  359.9  180  z                                
 499762 USco31 Z         16:14:59.99 -23:57:47.7 2000.00  03:00 1.650  WFC  359.9  180  z                                
 499763 USco31 Z         16:15:00.00 -23:57:47.9 2000.00  03:07 1.649  WFC  359.8  180  z                                
 499764 USco31 Z         16:14:59.99 -23:57:48.0 2000.00  03:13 1.650  WFC  359.9  180  z                                
 499765 USco31 Z         16:14:59.99 -23:57:48.0 2000.00  03:20 1.652  WFC  359.9  180  z                                
 499766 USco31 Z         16:14:59.99 -23:57:48.0 2000.00  03:27 1.657  WFC  359.9  180  z                                
 499767 USco36 Z         16:16:29.99 -23:57:47.5 2000.00  03:35 1.663  WFC  359.4  180  z                                
 499768 USco36 Z         16:16:30.00 -23:57:48.0 2000.00  03:42 1.671  WFC  359.9  180  z                                
 499769 USco36 Z         16:16:30.00 -23:57:48.0 2000.00  03:48 1.682  WFC  359.8  180  z                                
 499770 USco36 Z         16:16:30.00 -23:57:47.9 2000.00  03:55 1.694  WFC  360.0  180  z                                
 499771 USco36 Z         16:16:29.99 -23:57:48.0 2000.00  04:01 1.708  WFC  359.9  180  z                                
 499772 USco38 Z         16:16:29.99 -22:50:11.9 2000.00  04:10 1.685  WFC  359.8  180  z                                
 499773 USco38 Z         16:16:30.00 -22:50:12.0 2000.00  04:16 1.703  WFC  359.9  180  z                                
 499774 USco38 Z         16:16:29.99 -22:50:12.0 2000.00  04:23 1.724  WFC  359.8  180  z                                
 499775 USco38 Z         16:16:29.99 -22:50:11.9 2000.00  04:30 1.748  WFC  359.9  180  z                                
 499776 USco38 Z         16:16:30.00 -22:50:12.0 2000.00  04:36 1.774  WFC  359.8  180  z                                
 499777 USco39 Z         16:16:30.00 -22:16:25.0 2000.00  04:45 1.787  WFC  359.3  180  z                                
 499778 USco39 Z         16:16:29.99 -22:16:24.9 2000.00  04:51 1.819  WFC  359.8  180  z                                
 499779 ngc6611 Z        18:18:40.80 -13:47:23.8 2000.00  05:03 1.357  WFC  299.9  180  z                                
 499780 ngc6611 Z norte  18:18:40.80 -13:46:54.2 2000.00  05:10 1.356  WFC  299.9  180  z                                
 499781 ngc6611 Z sur    18:18:40.80 -13:47:53.8 2000.00  05:18 1.357  WFC  299.9  180  z                                
 499782 ngc6611 Z este   18:18:42.79 -13:47:23.9 2000.00  05:25 1.359  WFC  299.9  180  z                                
 499783 ngc6611 Z oeste  18:18:38.79 -13:47:24.1 2000.00  05:36 1.366  WFC  299.9  180  z                                
