 562000 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:42 1.373  WFC   60.1  180  g                                
 562001 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:44 1.375  WFC   60.1  180  g                                
 562002 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:45 1.378  WFC   60.0  180  g                                
 562003 SDSS1146+67 g60  11:46:47.49 +67:59:09.7 2000.00  22:47 1.380  WFC   60.0  180  g                                
 562004 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:48 1.382  WFC   60.1  180  g                                
 562005 SDSS1146+67 g60  11:46:47.49 +67:59:09.7 2000.00  22:50 1.384  WFC   60.1  180  g                                
 562006 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  22:51 1.386  WFC   60.1  180  g                                
 562007 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:53 1.389  WFC   60.1  180  g                                
 562008 SDSS1146+67 g60  11:46:47.49 +67:59:09.6 2000.00  22:54 1.391  WFC   60.1  180  g                                
 562009 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:56 1.393  WFC   60.0  180  g                                
 562010 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:57 1.396  WFC   60.0  180  g                                
 562011 SDSS1146+67 g60  11:46:47.49 +67:59:09.7 2000.00  22:59 1.398  WFC   60.0  180  g                                
 562012 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:00 1.401  WFC   60.0  180  g                                
 562013 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  23:02 1.403  WFC   60.0  180  g                                
 562014 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  23:03 1.406  WFC   59.5  180  g                                
 562015 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:05 1.408  WFC   60.0  180  g                                
 562016 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:06 1.411  WFC   60.1  180  g                                
 562017 SDSS1146+67 g60  11:46:47.49 +67:59:09.7 2000.00  23:08 1.413  WFC   60.1  180  g                                
 562018 SDSS1146+67 g60  11:46:47.49 +67:59:09.6 2000.00  23:09 1.416  WFC   60.1  180  g                                
 562019 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:11 1.419  WFC   60.0  180  g                                
 562020 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:12 1.421  WFC   60.1  180  g                                
 562021 SDSS1146+67 g60  11:46:47.49 +67:59:09.7 2000.00  23:14 1.424  WFC   60.0  180  g                                
 562022 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  23:15 1.427  WFC   60.0  180  g                                
 562023 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:17 1.430  WFC   60.1  180  g                                
 562024 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  23:18 1.433  WFC   60.1  180  g                                
 562025 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:20 1.435  WFC   60.1  180  g                                
 562026 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:21 1.438  WFC   60.0  180  g                                
 562027 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:23 1.441  WFC   60.0  180  g                                
 562028 SDSS1146+67 g60  11:46:47.49 +67:59:09.7 2000.00  23:24 1.444  WFC   60.1  180  g                                
 562029 SDSS1146+67 g60  11:46:47.49 +67:59:09.6 2000.00  23:26 1.447  WFC   60.1  180  g                                
 562030 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  23:27 1.450  WFC   60.1  180  g                                
 562031 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  23:29 1.453  WFC   60.0  180  g                                
 562032 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:30 1.456  WFC   60.1  180  g                                
 562033 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:32 1.460  WFC   60.1  180  g                                
 562034 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  23:33 1.463  WFC   60.1  180  g                                
 562035 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:35 1.466  WFC   60.0  180  g                                
 562036 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:36 1.469  WFC   60.0  180  g                                
 562037 SDSS1146+67 g60  11:46:47.49 +67:59:09.7 2000.00  23:38 1.473  WFC   60.0  180  g                                
 562038 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:39 1.476  WFC   60.1  180  g                                
 562039 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:41 1.479  WFC   60.0  180  g                                
 562040 SDSS1146+67 g60  11:46:47.49 +67:59:09.7 2000.00  23:42 1.483  WFC   60.1  180  g                                
 562041 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  23:44 1.486  WFC   60.1  180  g                                
 562042 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  23:45 1.490  WFC   60.1  180  g                                
 562043 SDSS1146+67 g60  11:46:47.48 +67:59:09.7 2000.00  23:47 1.493  WFC   60.1  180  g                                
 562044 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  23:48 1.497  WFC   60.0  180  g                                
 562045 SDSS1146+67 g60  11:46:47.49 +67:59:09.7 2000.00  23:50 1.500  WFC   60.0  180  g                                
 562046 uvex_4603o He1   19:11:06.61 +13:46:59.9 2000.00  23:53 1.932  WFC  120.1  180  HeI 5870                         
 562047 uvex_4603o r     19:11:06.61 +13:46:59.9 2000.00  23:56 1.910  WFC   29.5  180  r                                
 562048 uvex_4603o U     19:11:06.60 +13:47:00.0 2000.00  23:57 1.888  WFC  120.0  180  U                                
 562049 uvex_4603o g     19:11:06.61 +13:47:00.0 2000.00  00:00 1.867  WFC   30.1  180  g                                
 562050 uvex_4604o He1   19:11:08.50 +12:19:00.2 2000.00  00:12 1.764  WFC  120.1  180  HeI 5870                         
 562051 uvex_4604o r     19:11:08.49 +12:18:59.9 2000.00  00:14 1.746  WFC   30.1  180  r                                
 562052 uvex_4604o U     19:11:08.50 +12:19:00.0 2000.00  00:15 1.729  WFC  120.1  180  U                                
 562053 uvex_4604o g     19:11:08.49 +12:18:59.9 2000.00  00:18 1.712  WFC   30.1  180  g                                
 562054 uvex_4614 He1    19:11:04.99 +20:07:00.2 2000.00  00:19 1.576  WFC  120.0  180  HeI 5870                         
 562055 uvex_4614 r      19:11:04.99 +20:06:59.9 2000.00  00:22 1.563  WFC   30.1  180  r                                
 562056 uvex_4614 U      19:11:04.99 +20:06:59.9 2000.00  00:23 1.550  WFC  120.0  180  U                                
 562057 uvex_4614 g      19:11:04.98 +20:06:59.9 2000.00  00:26 1.537  WFC   30.1  180  g                                
 562058 uvex_4614o He1   19:11:26.30 +20:11:59.9 2000.00  00:27 1.526  WFC  120.0  180  HeI 5870                         
 562059 uvex_4614o r     19:11:26.30 +20:11:59.8 2000.00  00:29 1.514  WFC   30.1  180  r                                
 562060 uvex_4614o U     19:11:26.29 +20:11:59.9 2000.00  00:30 1.502  WFC  119.5  180  U                                
 562061 uvex_4614o g     19:11:26.30 +20:11:59.9 2000.00  00:33 1.490  WFC   30.1  180  g                                
 562062 uvex_4615 He1    19:11:14.08 +18:39:00.0 2000.00  00:34 1.493  WFC  120.0  180  HeI 5870                         
 562063 uvex_4615 r      19:11:14.09 +18:38:59.8 2000.00  00:37 1.481  WFC   30.1  180  r                                
 562064 uvex_4615 U      19:11:14.10 +18:38:59.8 2000.00  00:38 1.469  WFC  120.0  180  U                                
 562065 uvex_4615 g      19:11:14.09 +18:38:59.9 2000.00  00:41 1.458  WFC   30.1  180  g                                
 562066 uvex_4615o He1   19:11:35.23 +18:43:59.8 2000.00  00:42 1.449  WFC  120.0  180  HeI 5870                         
 562067 uvex_4615o r     19:11:35.20 +18:43:59.9 2000.00  00:44 1.438  WFC   30.1  180  r                                
 562068 uvex_4615o U     19:11:35.21 +18:43:59.8 2000.00  00:45 1.427  WFC  120.0  180  U                                
