 545446 intphas_3484o r   6:26:47.96 +19:16:59.9 2000.00  23:21 1.069  WFC   30.1  180  r                                
 545447 intphas_3484o i   6:26:47.98 +19:16:59.8 2000.00  23:22 1.067  WFC    9.6  180  i                                
 545448 intphas_3485 Ha   6:26:32.88 +20:40:00.0 2000.00  23:23 1.060  WFC  120.0  180  Halpha                           
 545449 intphas_3485 r    6:26:32.87 +20:39:59.8 2000.00  23:25 1.057  WFC   30.1  180  r                                
 545450 intphas_3485 i    6:26:32.87 +20:39:59.9 2000.00  23:26 1.056  WFC   10.1  180  i                                
 545451 intphas_3485o Ha  6:26:54.27 +20:44:59.8 2000.00  23:27 1.054  WFC  120.0  180  Halpha                           
 545452 intphas_3485o r   6:26:54.26 +20:44:59.8 2000.00  23:30 1.052  WFC   29.6  180  r                                
 545453 intphas_3485o i   6:26:54.27 +20:44:59.8 2000.00  23:31 1.050  WFC   10.1  180  i                                
 545454 GK_PER            3:31:11.81 +43:54:16.7 2000.00  23:37 1.121  WFC   60.0  180  Halpha                           
 545455 GK_PER            3:31:11.81 +43:54:16.8 2000.00  23:42 1.132  WFC  299.9  180  Halpha                           
 545456 GK_PER            3:31:11.82 +43:54:16.7 2000.00  23:50 1.148  WFC  299.9  180  Halpha                           
 545457 G191B2B           5:05:30.60 +52:49:54.1 2000.00  00:11 1.111  WFC  149.5  180  Halpha                           
 545458 G191B2B           5:05:30.60 +52:49:54.1 2000.00  00:17 1.115  WFC   20.1  180  i                                
 545459 G191B2B           5:05:30.60 +52:49:54.2 2000.00  00:18 1.116  WFC   19.6  180  r                                
 545460 HZ4               3:55:21.70 +09:47:19.0 2000.00  00:25 1.251  WFC   20.1  180  r                                
 545461 HZ4               3:55:21.69 +09:47:18.9 2000.00  00:27 1.256  WFC   20.1  180  i                                
 545462 HZ4               3:55:21.69 +09:47:18.9 2000.00  00:28 1.262  WFC  100.0  180  Halpha                           
 545463 intphas_3625o Ha  6:33:58.84 +07:10:59.5 2000.00  00:34 1.077  WFC  120.0  180  Halpha                           Gem Field
 545464 intphas_3625o r   6:33:58.85 +07:10:59.9 2000.00  00:36 1.077  WFC   30.1  180  r                                
 545465 intphas_3625o i   6:33:58.84 +07:11:00.0 2000.00  00:37 1.076  WFC   10.1  180  i                                
 545466 intphas_3627 Ha   6:33:38.78 +11:30:00.0 2000.00  00:38 1.048  WFC  120.0  180  Halpha                           
 545467 intphas_3627 r    6:33:38.79 +11:30:00.0 2000.00  00:41 1.047  WFC   30.1  180  r                                
 545468 intphas_3627 i    6:33:38.78 +11:29:59.9 2000.00  00:42 1.047  WFC   10.1  180  i                                
 545469 intphas_3627o Ha  6:33:59.20 +11:35:00.0 2000.00  00:43 1.047  WFC  120.0  180  Halpha                           
