 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 623285 HZ43 He1         13:13:59.99 +29:21:49.0  2000.00 22:08 1.260  WFC   79.0  180  HeI 5870                         
 623286 HZ43 r           13:14:00.00 +29:21:49.0  2000.00 22:10 1.265  WFC    3.1  180  r                                
 623287 HZ43 U           13:14:00.00 +29:21:48.9  2000.00 22:11 1.269  WFC   60.1  180  U                                
 623288 HZ43 g           13:13:59.99 +29:21:49.0  2000.00 22:13 1.273  WFC    3.1  180  g                                
 623289 HZ44 He1         13:23:35.52 +36:07:59.9  2000.00 22:13 1.234  WFC   60.0  180  HeI 5870                         
 623290 HZ44 r           13:23:35.51 +36:07:59.9  2000.00 22:15 1.237  WFC    2.1  180  r                                
 623291 HZ44 U           13:23:35.51 +36:07:59.9  2000.00 22:16 1.241  WFC   60.0  180  U                                
 623292 HZ44 g           13:23:35.51 +36:07:59.8  2000.00 22:17 1.244  WFC    2.1  180  g                                
 623293 BD+332642 He1    15:51:59.76 +32:56:54.4  2000.00 22:18 1.007  WFC   30.1  180  HeI 5870                         
 623294 BD+332642 r      15:51:59.75 +32:56:54.2  2000.00 22:19 1.007  WFC    2.1  180  r                                
 623295 BD+332642 U      15:51:59.75 +32:56:54.2  2000.00 22:20 1.007  WFC   30.1  180  U                                
 623296 BD+332642 g      15:51:59.75 +32:56:54.1  2000.00 22:21 1.008  WFC    2.1  180  g                                
 623297 uvex_4154o He1   18:43:23.30 +01:41:00.0  2000.00 22:28 1.352  WFC  180.0  180  HeI 5870                         
 623298 uvex_4154o r     18:43:23.29 +01:41:00.0  2000.00 22:31 1.343  WFC   30.1  180  r                                
 623299 uvex_4154o U     18:43:23.29 +01:41:00.0  2000.00 22:32 1.336  WFC  120.0  180  U                                
 623300 uvex_4154o g     18:43:23.29 +01:41:00.0  2000.00 22:35 1.329  WFC   30.1  180  g                                
 623301 uvex_4175 He1    18:45:15.10 +01:47:00.0  2000.00 22:36 1.326  WFC  180.0  180  HeI 5870                         
 623302 uvex_4175 r      18:45:15.10 +01:47:00.0  2000.00 22:40 1.318  WFC   30.1  180  r                                
 623303 uvex_4175 U      18:45:15.11 +01:47:00.0  2000.00 22:41 1.311  WFC  120.1  180  U                                
 623304 uvex_4175 g      18:45:15.10 +01:46:59.9  2000.00 22:43 1.305  WFC   30.1  180  g                                
 623305 uvex_4175o He1   18:45:35.11 +01:51:59.9  2000.00 22:44 1.297  WFC  180.0  180  HeI 5870                         
 623306 uvex_4175o r     18:45:35.11 +01:52:00.0  2000.00 22:48 1.290  WFC   30.1  180  r                                
 623307 uvex_4175o U     18:45:35.11 +01:51:59.9  2000.00 22:49 1.284  WFC  120.0  180  U                                
 623308 uvex_4175o g     18:45:35.11 +01:51:59.9  2000.00 22:52 1.278  WFC   30.1  180  g                                
 623309 uvex_4180 He1    18:45:56.17 -02:03:59.8  2000.00 22:53 1.328  WFC  180.0  180  HeI 5870                         
 623310 uvex_4180 r      18:45:56.17 -02:04:00.0  2000.00 22:56 1.320  WFC   29.6  180  r                                
 623311 uvex_4180 U      18:45:56.17 -02:04:00.0  2000.00 22:58 1.315  WFC  119.5  180  U                                
 623312 uvex_4180 g      18:45:56.17 -02:04:00.0  2000.00 23:00 1.309  WFC   30.1  180  g                                
 623313 uvex_4180o He1   18:46:16.18 -01:59:00.1  2000.00 23:01 1.302  WFC  180.0  180  HeI 5870                         
 623314 uvex_4180o r     18:46:16.19 -01:58:59.9  2000.00 23:05 1.295  WFC   30.1  180  r                                
 623315 uvex_4180o U     18:46:16.18 -01:59:00.0  2000.00 23:06 1.290  WFC  119.5  180  U                                
 623316 uvex_4180o g     18:46:16.18 -01:59:00.0  2000.00 23:08 1.285  WFC   30.1  180  g                                
 623317 uvex_4293o He1   18:54:23.62 -03:15:59.8  2000.00 23:10 1.321  WFC  179.9  180  HeI 5870                         
 623318 uvex_4293o r     18:54:23.62 -03:15:59.9  2000.00 23:13 1.314  WFC   30.1  180  r                                
 623319 uvex_4293o U     18:54:23.62 -03:15:59.9  2000.00 23:14 1.309  WFC  120.0  180  U                                
 623320 uvex_4293o g     18:54:23.63 -03:16:00.0  2000.00 23:17 1.304  WFC   29.5  180  g                                
 623321 uvex_4377 He1    18:59:09.26 +00:30:00.2  2000.00 23:18 1.256  WFC  180.0  180  HeI 5870                         
 623322 uvex_4377 r      18:59:09.27 +00:29:59.9  2000.00 23:22 1.250  WFC   30.1  180  r                                
 623323 uvex_4377 U      18:59:09.27 +00:29:59.9  2000.00 23:23 1.245  WFC  120.0  180  U                                
 623324 uvex_4377 g      18:59:09.27 +00:30:00.0  2000.00 23:25 1.241  WFC   30.0  180  g                                
 623325 uvex_4377o He1   18:59:29.27 +00:34:59.8  2000.00 23:27 1.235  WFC  179.9  180  HeI 5870                         
 623326 uvex_4377o r     18:59:29.27 +00:34:59.9  2000.00 23:30 1.230  WFC   30.1  180  r                                
 623327 uvex_4377o U     18:59:29.26 +00:35:00.0  2000.00 23:31 1.226  WFC  120.0  180  U                                
 623328 uvex_4377o g     18:59:29.26 +00:35:00.0  2000.00 23:34 1.222  WFC   30.1  180  g                                
 623329 uvex_4378 He1    18:59:10.28 -00:58:00.1  2000.00 23:35 1.236  WFC  180.0  180  HeI 5870                         Autoguider was on (spontaneously)
 623330 uvex_4378 r      18:59:10.29 -00:57:59.9  2000.00 23:39 1.231  WFC   30.1  180  r                                
 623331 uvex_4378 U      18:59:10.28 -00:58:00.0  2000.00 23:40 1.227  WFC  120.0  180  U                                
 623332 uvex_4378 g      18:59:10.28 -00:58:00.0  2000.00 23:42 1.223  WFC   30.0  180  g                                
 623333 uvex_4378o He1   18:59:30.29 -00:53:00.1  2000.00 23:47 1.213  WFC  180.0  180  HeI 5870                         
 623334 uvex_4378o r     18:59:30.28 -00:52:59.9  2000.00 23:50 1.208  WFC   30.1  180  r                                
 623335 uvex_4378o U     18:59:30.29 -00:52:59.9  2000.00 23:51 1.205  WFC  120.1  180  U                                
 623336 uvex_4378o g     18:59:30.29 -00:53:00.0  2000.00 23:54 1.202  WFC   30.1  180  g                                
 623337 uvex_4380 He1    18:59:15.19 -03:53:59.8  2000.00 23:55 1.238  WFC  180.0  180  HeI 5870                         
 623338 uvex_4380 r      18:59:15.20 -03:53:59.8  2000.00 23:59 1.235  WFC   30.1  180  r                                
 623339 uvex_4380 U      18:59:15.20 -03:53:59.9  2000.00 00:00 1.232  WFC  120.0  180  U                                
 623340 uvex_4380 g      18:59:15.19 -03:54:00.0  2000.00 00:02 1.229  WFC   30.1  180  g                                
 623341 uvex_4380o He1   18:59:35.24 -03:49:00.1  2000.00 00:04 1.225  WFC  180.0  180  HeI 5870                         
 623342 uvex_4380o r     18:59:35.24 -03:48:59.9  2000.00 00:07 1.222  WFC   30.1  180  r                                
 623343 uvex_4380o U     18:59:35.23 -03:48:59.9  2000.00 00:08 1.219  WFC  120.0  180  U                                
 623344 uvex_4380o g     18:59:35.24 -03:48:59.9  2000.00 00:11 1.217  WFC   30.1  180  g                                
 623345 uvex_4391 He1    18:59:53.83 -00:24:59.9  2000.00 00:12 1.171  WFC  179.4  180  HeI 5870                         
 623346 uvex_4391 r      18:59:53.83 -00:24:59.9  2000.00 00:16 1.169  WFC   30.1  180  r                                
 623347 uvex_4391 U      18:59:53.84 -00:24:59.9  2000.00 00:17 1.167  WFC  120.0  180  U                                
 623348 uvex_4391 g      18:59:53.83 -00:25:00.0  2000.00 00:19 1.165  WFC   30.1  180  g                                
 623349 uvex_4392o He1   19:00:15.53 -01:47:59.8  2000.00 00:20 1.179  WFC  180.0  180  HeI 5870                         
