 724716 ULASJ1609+3041   16:09:34.43 +30:41:28.1  2000.00 02:22 1.203  WFC  599.7  180  z                                offset 10 10; sky 12000, FWHM=4.0 pix
 724717 ULASJ1533+0309   15:33:22.73 +03:10:05.3  2000.00 02:49 1.215  WFC   10.1  180  i                                test exposure
 724718 ULASJ1532+0240   15:32:10.01 +02:39:03.5  2000.00 02:56 1.193  WFC  599.7  180  i                                sky 9500, FWHM=3.4 pix
 724719 ULASJ1533+0309   15:33:22.73 +03:10:05.3  2000.00 03:12 1.162  WFC  599.3  180  i                                sky 9500, FWHM=3.3 pix
 724720 ULASJ1610+2323   16:10:49.73 +23:22:08.2  2000.00 03:25 1.077  WFC  599.6  180  i                                sky 15000, FWHM=3.3 pix
 724721 ULASJ1617+2352   16:17:10.13 +23:51:54.8  2000.00 03:39 1.064  WFC  599.7  180  i                                sky 17500, FWHM=3.4 pix
 724722 ULASJ1605+2856   16:05:33.01 +28:56:33.7  2000.00 03:52 1.029  WFC  599.7  180  i                                sky 8700, FWHM=3.4 pix
 724723 ULASJ1336+0649X  13:36:25.52 +06:49:30.0  2000.00 04:06 1.185  WFC  599.8  180  z                                sky 6000, FWHM=2.8 pix
 724724 ULASJ1642+2836   16:42:46.64 +28:37:30.3  2000.00 04:20 1.039  WFC  599.7  180  i                                sky 6000, FWHM=3.2 pix
 724725 ULASJ1603+2824   16:03:57.99 +28:24:20.0  2000.00 04:35 1.002  WFC  599.7  180  i                                sky 6000, FWHM=3.3 pix
 724726 ULASJ1618+2338   16:18:49.10 +23:38:00.6  2000.00 04:49 1.007  WFC  599.7  180  i                                sky 6000, FWHM=3.1 pix
 724727 ULASJ1623+3112   16:23:25.67 +31:12:43.0  2000.00 05:01 1.002  WFC  599.8  180  i                                sky 4500, FWHM=3.0 pix
 724728 ULASJ1625+2746   16:25:58.39 +27:44:39.5  2000.00 05:13 1.000  WFC  599.8  180  i                                sky 4100, FWHM=3.3 pix
 724729 ULASJ1630+2821   16:30:28.77 +28:22:43.8  2000.00 05:28 1.001  WFC  599.8  180  i                                sky 4100, FWHM=3.4 pix
 724730 ULASJ1637+3101   16:36:57.16 +31:03:26.1  2000.00 05:40 1.002  WFC  599.2  180  i                                sky 4200, FWHM=3.3 pix
 724731 ULASJ1641+3028   16:42:05.23 +30:30:14.4  2000.00 05:52 1.004  WFC  599.8  180  i                                sky 4500, FWHM=3.0 pix
 724732 ULASJ1643+3100   16:43:26.11 +30:58:35.0  2000.00 06:05 1.009  WFC  599.7  180  i                                sky 8300, FWHM=3.0 pix
