 458559 9P V             13:38:01.68 -09:31:10.8 2000.00  23:53 2.630  WFC   20.1   90  V                                
 458560 9P r'            13:38:01.68 -09:31:50.9 2000.00  23:57 2.723  WFC   19.6   90  r                                
 458561 9P i'            13:38:01.68 -09:31:50.8 2000.00  23:58 2.757  WFC   20.1   90  i                                
 458562 9P U             13:38:01.68 -09:31:50.9 2000.00  00:00 2.791  WFC   20.1   90  U                                
 458563 9P B             13:38:01.68 -09:31:50.8 2000.00  00:01 2.826  WFC   20.1   90  B                                
 458564 9P V             13:38:01.68 -09:31:50.8 2000.00  00:02 2.863  WFC   20.1   90  V                                
 458565 40P r'           21:01:31.33 -14:57:46.3 2000.00  00:11 2.252  WFC   85.0   90  r                                
 458566 40P r'           21:01:30.99 -14:57:41.8 2000.00  00:14 2.222  WFC   84.5   90  r                                
 458567 40P r'           21:01:31.33 -14:57:51.2 2000.00  00:16 2.194  WFC   85.0   90  r                                
 458568 40P r'           21:01:32.02 -14:57:51.2 2000.00  00:18 2.167  WFC   85.0   90  r                                
 458569 40P r'           21:01:30.30 -14:57:46.2 2000.00  00:24 2.092  WFC   85.1   90  r                                
 458570 40P r'           21:01:30.99 -14:57:30.8 2000.00  00:26 2.068  WFC   84.5   90  r                                
 458571 40P r'           21:01:32.02 -14:57:56.6 2000.00  00:29 2.045  WFC   85.0   90  r                                
 458572 40P r'           21:01:32.03 -14:57:36.0 2000.00  00:31 2.022  WFC   85.0   90  r                                
 458573 4P r'            18:06:12.91 -12:03:00.6 2000.00  00:40 1.322  WFC   65.1   90  r                                
 458574 4P r'            18:06:12.71 -12:02:48.9 2000.00  00:42 1.323  WFC   65.0   90  r                                
 458575 4P r'            18:06:14.08 -12:03:01.1 2000.00  00:44 1.324  WFC   65.1   90  r                                
 458576 4P r'            18:06:14.42 -12:02:45.3 2000.00  00:46 1.324  WFC   65.1   90  r                                
 458577 STD PG1657 U     17:00:20.09 +07:37:59.7 2000.00  00:57 1.162  WFC   50.1   90  U                                
 458578 STD PG1657 B     17:00:20.09 +07:37:59.7 2000.00  00:59 1.166  WFC   50.1   90  B                                
 458579 STD PG1657 V     17:00:20.09 +07:37:59.7 2000.00  01:01 1.170  WFC   50.1   90  V                                
 458580 STD MARK U       20:44:47.54 -10:53:06.7 2000.00  01:07 1.528  WFC   50.0   90  U                                
 458581 STD MARK B       20:44:47.53 -10:53:06.7 2000.00  01:08 1.519  WFC   50.1   90  B                                
 458582 STD MARK V       20:44:47.54 -10:53:06.7 2000.00  01:10 1.511  WFC   50.1   90  V                                
 458583 STD SA112_223 r' 20:43:01.66 +00:03:34.9 2000.00  01:15 1.286  WFC    5.1   90  r                                
 458584 STD SA112_223 i' 20:43:01.66 +00:03:34.9 2000.00  01:16 1.283  WFC    4.6   90  i                                
 458585 STD PG1528 r'    15:31:37.92 +05:55:25.9 2000.00  01:23 1.705  WFC    5.1   90  r                                
 458586 STD PG1528 i'    15:31:37.92 +05:55:25.9 2000.00  01:24 1.715  WFC    5.1   90  i                                
