INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 08 09 05:30

TELESCOPE             INT
DATE                  20050808
OBSERVER/S            JBA 
PROGRAMME             C122
PROPOSAL REF          service
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:05
EVENING TWILIGHT (UT) 21:24
MORNING TWILIGHT (UT) 05:11
SUNRISE (UT)          06:30
%ILLUM. LUNAR DISK    13
DARK TIME (HRS)       07:47
TWILIGHT TIME (HRS)   02:38
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          22:08

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  17.2    5    18.3  20.3  243   772.5   17.2  19.4    20.5    5     1 
22:00  16.2    7    20.0  21.0  252   772.7   16.2  18.0    20.3    7     3 
23:00  16.5    6    18.5  19.9  253   773.2   16.5  17.8    20.0    6     1 
00:00  16.0    7    19.5  20.1  276   773.1   16.0  17.2    19.1    7     3 
01:00  16.1    6    16.9  17.4  261   772.9   16.1  17.4    19.3    6     3 
02:00  15.6    9    12.8  13.3  256   772.7   15.6  16.9    19.3    9     5 
03:00  15.6    9    10.0  11.4  256   772.6   15.6  16.9    19.1    9     5 
04:00  15.8    9    11.7  13.9  259   772.2   15.8  16.7    18.3    9     5 
05:00  15.4    9    15.5  17.1  252   772.0   15.4  16.4    17.9    9     5 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
OK

COMMENTS (causes of time lost, setup information eg CCD windows):
No problems



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 466215 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:15 1.066  WFC   80.1  180  r                                
 466216 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:17 1.067  WFC   80.0  180  r                                
 466217 KEPLER           19:42:00.00 +48:00:00.0 2000.00  00:19 1.067  WFC   80.0  180  r                                
 466218 KEPLER           19:41:59.99 +47:59:59.9 2000.00  00:21 1.068  WFC   80.0  180  r                                
 466219 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:23 1.069  WFC   80.1  180  r                                
 466220 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:25 1.070  WFC   80.0  180  r                                
 466221 KEPLER           19:41:59.99 +48:00:00.0 2000.00  00:26 1.072  WFC   80.0  180  r                                
 466222 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:28 1.073  WFC   79.5  180  r                                
 466223 KEPLER           19:41:59.99 +48:00:00.0 2000.00  00:30 1.074  WFC   80.1  180  r                                
 466224 KEPLER           19:41:59.99 +48:00:00.0 2000.00  00:32 1.075  WFC   80.0  180  r                                
 466225 KEPLER           19:41:59.99 +47:59:59.9 2000.00  00:34 1.076  WFC   80.0  180  r                                
 466226 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:36 1.078  WFC   80.0  180  r                                
 466227 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:38 1.079  WFC   80.0  180  r                                
 466228 KEPLER           19:42:00.00 +48:00:00.0 2000.00  00:40 1.080  WFC   80.0  180  r                                
 466229 KEPLER           19:41:59.99 +48:00:00.0 2000.00  00:42 1.082  WFC   80.0  180  r                                
 466230 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:44 1.084  WFC   80.1  180  r                                
 466231 KEPLER           19:42:00.00 +48:00:00.0 2000.00  00:46 1.085  WFC   80.0  180  r                                
