 501204 DM-122669         8:46:39.58 -13:21:25.4 2000.00  21:31 1.805  WFC   10.1  180  stromgren b                      
 501205 DM-122669         8:46:39.57 -13:21:25.4 2000.00  21:32 1.816  WFC   16.1  180  stromgren b                      
 501206 DM-122669         8:46:39.57 -13:21:25.3 2000.00  21:34 1.828  WFC   30.1  180  stromgren v                      
 501207 DM-122669         8:46:39.58 -13:21:25.4 2000.00  21:36 1.849  WFC  119.5  180  stromgren u                      
 501208 DM-122669         8:46:39.57 -13:21:25.3 2000.00  21:39 1.882  WFC  159.5  180  stromgren u                      
 501209 DM-93102         10:34:43.32 -10:06:34.4 2000.00  21:44 1.336  WFC   12.1  180  stromgren y                      
 501210 DM-93102         10:34:43.32 -10:06:34.4 2000.00  21:46 1.339  WFC   15.1  180  stromgren b                      
 501211 DM-93102         10:34:43.32 -10:06:34.4 2000.00  21:47 1.342  WFC   35.1  180  stromgren v                      
 501212 DM-93102         10:34:43.33 -10:06:34.4 2000.00  21:49 1.347  WFC  120.0  180  stromgren u                      
 501213 DM-93102         10:34:43.33 -10:06:34.5 2000.00  21:53 1.355  WFC  150.0  180  stromgren u                      
 501214 DM-12457         10:52:36.28 -02:06:39.9 2000.00  21:58 1.203  WFC    6.1  180  stromgren y                      
 501215 DM-12457         10:52:36.28 -02:06:39.7 2000.00  22:00 1.205  WFC    9.5  180  stromgren b                      
 501216 DM-12457         10:52:36.28 -02:06:39.8 2000.00  22:03 1.209  WFC   30.1  180  stromgren v                      
 501217 DM-12457         10:52:36.28 -02:06:39.8 2000.00  22:06 1.214  WFC  120.0  180  stromgren u                      
 501218 DM-12457         10:52:36.28 -02:06:39.7 2000.00  22:09 1.220  WFC  150.0  180  stromgren u                      
 501219 HD100363         11:32:51.56 -12:02:06.3 2000.00  22:13 1.335  WFC    2.1  180  stromgren y                      
 501220 HD100363         11:32:51.56 -12:02:06.3 2000.00  22:15 1.336  WFC    2.5  180  stromgren b                      
 501221 HD100363         11:32:51.56 -12:02:06.3 2000.00  22:16 1.338  WFC    8.1  180  stromgren v                      
 501222 HD100363         11:32:51.57 -12:02:06.3 2000.00  22:17 1.339  WFC    4.1  180  stromgren v                      
 501223 HD100363         11:32:51.56 -12:02:06.3 2000.00  22:18 1.340  WFC   25.1  180  stromgren u                      
 501224 HD108754         12:29:42.73 -03:19:58.6 2000.00  22:21 1.184  WFC    2.5  180  stromgren y                      
 501225 HD108754         12:29:42.74 -03:19:58.6 2000.00  22:23 1.183  WFC    4.1  180  stromgren y                      
 501226 HD108754         12:29:42.73 -03:19:58.6 2000.00  22:24 1.183  WFC    5.1  180  stromgren b                      
 501227 HD108754         12:29:42.73 -03:19:58.6 2000.00  22:26 1.182  WFC   10.1  180  stromgren v                      
 501228 HD108754         12:29:42.74 -03:19:58.6 2000.00  22:27 1.182  WFC   40.1  180  stromgren u                      
 501229 HD107853         12:23:29.82 +26:33:56.6 2000.00  22:31 1.001  WFC    2.1  180  stromgren y                      
 501230 HD107853         12:23:29.82 +26:33:56.6 2000.00  22:32 1.001  WFC    3.1  180  stromgren y                      
 501231 HD107853         12:23:29.83 +26:33:56.6 2000.00  22:35 1.001  WFC    5.1  180  stromgren y                      
 501232 HD107853         12:23:29.83 +26:33:56.6 2000.00  22:38 1.001  WFC    5.1  180  stromgren b                      
 501233 HD107853         12:23:29.82 +26:33:56.6 2000.00  22:41 1.001  WFC    5.1  180  stromgren b                      
 501234 HD123265         14:06:41.28 -05:31:05.9 2000.00  22:47 1.312  WFC    2.1  180  stromgren y                      
 501235 HD123265         14:06:41.27 -05:31:05.9 2000.00  22:49 1.306  WFC    2.1  180  stromgren b                      
 501236 HD123265         14:06:41.28 -05:31:06.0 2000.00  22:54 1.296  WFC    2.1  180  stromgren b                      
 501237 HD123265         14:06:41.28 -05:31:06.0 2000.00  22:55 1.293  WFC    5.1  180  stromgren v                      
 501238 HD123265         14:06:41.28 -05:31:05.9 2000.00  22:56 1.290  WFC   25.1  180  stromgren u                      
 501239 HD158226         17:26:43.20 +31:04:37.8 2000.00  23:08 1.831  WFC    3.1  180  stromgren y                      
 501240 HD158226         17:26:43.20 +31:04:37.8 2000.00  23:10 1.820  WFC    2.1  180  stromgren y                      
 501241 HD158226         17:26:43.19 +31:04:37.8 2000.00  23:11 1.809  WFC    2.1  180  stromgren b                      
 501242 HD158226         17:26:43.20 +31:04:37.9 2000.00  23:12 1.792  WFC    3.1  180  stromgren v                      
 501243 HD158226         17:26:43.20 +31:04:37.9 2000.00  23:14 1.772  WFC   15.1  180  stromgren u                      
 501244 HD107853         12:23:29.83 +26:33:56.6 2000.00  23:19 1.017  WFC    3.1  180  stromgren y                      
 501245 HD107853         12:23:29.82 +26:33:56.7 2000.00  23:21 1.019  WFC    5.1  180  stromgren b                      
 501246 HD107853         12:23:29.82 +26:33:56.6 2000.00  23:22 1.020  WFC    5.1  180  stromgren y                      
 501247 HD107853         12:23:29.82 +26:33:56.6 2000.00  23:24 1.021  WFC   12.1  180  stromgren v                      
 501248 HD107853         12:23:29.82 +26:33:56.7 2000.00  23:25 1.022  WFC   30.1  180  stromgren u                      
 501249 DRACOA1          17:25:40.00 +58:10:00.0 2000.00  23:30 1.537  WFC 1199.0  180  stromgren b                      
 501250 HD158226         17:26:43.19 +31:04:37.8 2000.00  23:53 1.486  WFC    2.1  180  stromgren y                      
 501251 HD158226         17:26:43.20 +31:04:37.9 2000.00  23:54 1.476  WFC    2.1  180  stromgren b                      
 501252 HD158226         17:26:43.20 +31:04:37.9 2000.00  23:56 1.469  WFC    4.1  180  stromgren v                      
 501253 HD158226         17:26:43.19 +31:04:37.9 2000.00  23:57 1.461  WFC    6.1  180  stromgren v                      
 501254 HD158226         17:26:43.19 +31:04:37.8 2000.00  23:58 1.454  WFC   25.1  180  stromgren u                      
 501255 DRACOA1          17:25:40.00 +58:09:59.9 2000.00  00:03 1.420  WFC 1199.6  180  stromgren v                      
 501256 DRACOA1          17:25:39.99 +58:10:00.0 2000.00  00:24 1.359  WFC 1198.9  180  stromgren v                      
 501257 HD134439         15:10:13.09 -16:22:45.8 2000.00  00:46 1.434  WFC    3.1  180  stromgren y                      
 501258 HD134439         15:10:13.09 -16:22:45.8 2000.00  00:47 1.433  WFC    3.1  180  stromgren b                      
 501259 HD134439         15:10:13.08 -16:22:45.8 2000.00  00:48 1.432  WFC    9.5  180  stromgren v                      
 501260 HD134439         15:10:13.09 -16:22:45.9 2000.00  00:50 1.430  WFC   30.1  180  stromgren u                      
 501261 DRACOA1          17:25:40.00 +58:10:00.0 2000.00  00:54 1.289  WFC 1199.5  180  stromgren u                      
 501262 DRACOA1          17:25:39.99 +58:09:59.9 2000.00  01:15 1.250  WFC 1199.4  180  stromgren u                      
 501263 G166-045         14:49:02.00 +25:42:08.6 2000.00  01:37 1.014  WFC    5.1  180  stromgren y                      
 501264 G166-045         14:49:02.00 +25:42:09.0 2000.00  01:39 1.015  WFC    7.1  180  stromgren y                      
 501265 G166-045         14:49:01.99 +25:42:08.9 2000.00  01:40 1.016  WFC    7.1  180  stromgren y                      
 501266 G166-045         14:49:02.00 +25:42:09.0 2000.00  01:42 1.017  WFC    5.6  180  stromgren b                      
 501267 G166-045         14:49:01.99 +25:42:08.9 2000.00  01:44 1.018  WFC   12.1  180  stromgren v                      
 501268 G166-045         14:49:01.99 +25:42:09.0 2000.00  01:45 1.019  WFC   24.5  180  stromgren u                      
 501269 HD107853         12:23:29.82 +26:33:56.7 2000.00  01:48 1.370  WFC    3.1  180  stromgren y                      
 501270 HD107853         12:23:29.82 +26:33:56.6 2000.00  01:49 1.376  WFC    4.1  180  stromgren b                      
 501271 HD107853         12:23:29.82 +26:33:56.7 2000.00  01:50 1.382  WFC   10.1  180  stromgren v                      
 501272 HD107853         12:23:29.83 +26:33:56.7 2000.00  01:52 1.389  WFC   24.6  180  stromgren u                      
 501273 DRACOA1          17:25:40.00 +58:09:59.9 2000.00  01:56 1.194  WFC 1199.4  180  stromgren u                      
