 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 663483 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:22 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663484 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:22 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663485 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:22 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663486 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:22 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663487 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:23 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663488 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:23 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663489 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:23 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663490 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:23 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663491 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:23 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663492 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:23 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663493 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:23 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663494 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:24 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663495 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:24 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663496 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:24 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663497 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:24 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663498 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:24 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663499 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:24 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663500 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:24 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663501 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:24 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663502 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:25 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663503 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:25 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663504 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:25 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663505 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:25 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
