 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 610800 Bias              0:00:00.00 +00:00:00.0  2008.22 19:30 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610801 Bias              0:00:00.00 +00:00:00.0  2008.22 19:30 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610802 Bias              0:00:00.00 +00:00:00.0  2008.22 19:31 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610803 Bias              0:00:00.00 +00:00:00.0  2008.22 19:31 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610804 Bias              0:00:00.00 +00:00:00.0  2008.22 19:31 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610805 Bias              0:00:00.00 +00:00:00.0  2008.22 19:31 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610806 Bias              0:00:00.00 +00:00:00.0  2008.22 19:31 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610807 Bias              0:00:00.00 +00:00:00.0  2008.22 19:32 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610808 Bias              0:00:00.00 +00:00:00.0  2008.22 19:32 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610809 Bias              0:00:00.00 +00:00:00.0  2008.22 19:32 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610810 Bias              0:00:00.00 +00:00:00.0  2008.22 19:32 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610811 Bias              0:00:00.00 +00:00:00.0  2008.22 19:33 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610812 W Flat            0:00:00.00 +00:00:00.0  2008.22 19:33 1.000  IDS   30.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610813 W Flat            0:00:00.00 +00:00:00.0  2008.22 19:34 1.000  IDS   30.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610814 W Flat            0:00:00.00 +00:00:00.0  2008.22 19:35 1.000  IDS   30.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610815 W Flat            0:00:00.00 +00:00:00.0  2008.22 19:35 1.000  IDS   30.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610816 W Flat            0:00:00.00 +00:00:00.0  2008.22 19:36 1.000  IDS   30.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610817 W Flat            0:00:00.00 +00:00:00.0  2008.22 19:37 1.000  IDS   30.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610818 W Flat            0:00:00.00 +00:00:00.0  2008.22 19:38 1.000  IDS   30.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610819 W Flat            0:00:00.00 +00:00:00.0  2008.22 19:38 1.000  IDS   30.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610820 W Flat            0:00:00.00 +00:00:00.0  2008.22 19:39 1.000  IDS   30.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610821 W Flat            0:00:00.00 +00:00:00.0  2008.22 19:40 1.000  IDS   30.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610822 BD +08 2015 slit  8:13:00.40 +07:46:18.8  1950.00 20:07 1.141  IDS  240.0   -0  Clear+Clear   5.0  55.5 4504.8   
 610823 BD +08 2015       8:13:00.39 +07:46:19.0  1950.00 20:13 1.132  IDS  240.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610824 CuAr Arc          8:13:00.40 +07:46:18.7  1950.00 20:18 1.125  IDS  120.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610825 CuAr Arc         10:21:10.00 -04:56:12.0  2000.00 20:28 1.804  IDS  120.0  330  Clear+Clear   1.0  55.5 4504.8   
 610826 PG1018-047       10:21:09.99 -04:56:11.9  2000.00 20:31 1.710  IDS 1200.0  330  Clear+Clear   1.0  55.5 4504.8   Closed due to high humidity
 610828 CuAr Arc         10:21:10.00 -04:56:12.0  2000.00 20:55 1.604  IDS  120.0  330  Clear+Clear   1.0  55.5 4504.8   
