 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 771584 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:42 1.037  WFC    9.6  180  i                                
 771585 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:42 1.037  WFC    9.6  180  i                                
 771586 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:42 1.037  WFC   10.1  180  i                                
 771587 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:43 1.036  WFC   10.1  180  i                                
 771588 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:43 1.036  WFC   10.1  180  i                                
 771589 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:43 1.036  WFC    9.6  180  i                                
 771590 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:43 1.035  WFC    9.6  180  i                                
 771591 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:44 1.035  WFC   10.1  180  i                                
 771592 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:44 1.035  WFC   10.1  180  i                                
 771593 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:44 1.035  WFC   10.1  180  i                                
 771594 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:45 1.034  WFC   10.1  180  i                                
 771595 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:45 1.034  WFC   10.1  180  i                                
 771596 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:45 1.034  WFC   10.1  180  i                                
 771597 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:45 1.033  WFC   10.1  180  i                                
 771598 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:46 1.033  WFC    9.6  180  i                                
 771599 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:46 1.033  WFC   10.1  180  i                                
 771600 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:46 1.032  WFC   10.1  180  i                                
 771601 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:47 1.032  WFC   10.1  180  i                                
 771602 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:47 1.032  WFC   10.1  180  i                                
 771603 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:47 1.032  WFC   10.1  180  i                                
 771604 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:47 1.031  WFC   10.1  180  i                                
 771605 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:48 1.031  WFC    9.6  180  i                                
 771606 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:48 1.031  WFC   10.1  180  i                                
 771607 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:48 1.030  WFC   10.1  180  i                                
 771608 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:49 1.030  WFC   10.1  180  i                                
 771609 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:49 1.030  WFC    9.6  180  i                                
 771610 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:49 1.030  WFC   10.1  180  i                                
 771611 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:49 1.029  WFC    9.5  180  i                                
 771612 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:50 1.029  WFC   10.1  180  i                                
 771613 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:50 1.029  WFC   10.1  180  i                                
 771614 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:50 1.028  WFC   10.1  180  i                                
 771615 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:51 1.028  WFC   10.1  180  i                                
 771616 WASP12b science   6:30:39.00 +29:39:58.1  2000.00 00:51 1.028  WFC   10.1  180  i                                
 771617 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:51 1.028  WFC   10.1  180  i                                
 771618 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:51 1.027  WFC    9.6  180  i                                
 771619 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:52 1.027  WFC   10.1  180  i                                
 771620 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:52 1.027  WFC   10.1  180  i                                
 771621 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:52 1.027  WFC   10.1  180  i                                
 771622 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:53 1.026  WFC   10.1  180  i                                
 771623 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:53 1.026  WFC   10.1  180  i                                
 771624 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:53 1.026  WFC   10.1  180  i                                
 771625 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:54 1.026  WFC   10.1  180  i                                
 771626 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:54 1.025  WFC   10.1  180  i                                
 771627 WASP12b science   6:30:38.99 +29:39:58.1  2000.00 00:54 1.025  WFC   10.1  180  i                                
 771628 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:54 1.025  WFC   10.1  180  i                                
 771629 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:55 1.025  WFC   10.1  180  i                                
 771630 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:55 1.024  WFC   10.1  180  i                                
 771631 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:55 1.024  WFC   10.1  180  i                                
 771632 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:56 1.024  WFC   10.1  180  i                                
 771633 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:56 1.023  WFC   10.1  180  i                                
