INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 16 07:14

TELESCOPE             INT
DATE                  20060715
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:20
EVENING TWILIGHT (UT) 21:44
MORNING TWILIGHT (UT) 04:52
SUNRISE (UT)          06:16
%ILLUM. LUNAR DISK    70
DARK TIME (HRS)       07:08
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         23:28
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
slightly humid but good seeing

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.6



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 515333 3CVs             20:15:24.99 +37:05:59.9 2000.00  02:21 1.017  WFC  199.4  180  r                                
 515334 3CVs             20:15:24.99 +37:05:59.9 2000.00  02:24 1.019  WFC  200.0  180  r                                
 515335 3CVs             20:15:24.99 +37:06:00.0 2000.00  02:28 1.021  WFC  200.0  180  r                                
 515336 3CVs             20:15:24.99 +37:06:00.0 2000.00  02:32 1.023  WFC  199.5  180  r                                
 515337 3CVs             20:15:24.99 +37:05:59.9 2000.00  02:36 1.026  WFC  200.0  180  r                                
 515338 3CVs             20:15:25.00 +37:05:59.9 2000.00  02:40 1.028  WFC  199.5  180  r                                
 515339 3CVs             20:15:24.99 +37:05:59.9 2000.00  02:44 1.031  WFC  199.4  180  r                                
 515340 3CVs             20:15:24.99 +37:06:00.0 2000.00  02:48 1.034  WFC  200.0  180  r                                
 515341 3CVs             20:15:24.99 +37:06:00.0 2000.00  02:52 1.038  WFC  200.0  180  r                                
 515342 3CVs             20:15:24.99 +37:06:00.0 2000.00  02:56 1.041  WFC  199.5  180  r                                
 515343 3CVs             20:15:24.99 +37:05:59.9 2000.00  03:00 1.045  WFC  200.0  180  r                                
 515344 3CVs             20:15:24.99 +37:05:59.9 2000.00  03:04 1.049  WFC  200.0  180  r                                
