 502608 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  21:52 1.180  WFC   40.1  180  Unknown                          
 502609 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  21:53 1.183  WFC   40.1  180  Unknown                          
 502610 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  21:54 1.186  WFC   40.0  180  Unknown                          
 502611 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  21:56 1.189  WFC   40.1  180  Unknown                          
 502612 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  21:57 1.193  WFC   39.5  180  Unknown                          
 502613 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  21:58 1.196  WFC   40.0  180  Unknown                          
 502614 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  22:00 1.199  WFC   40.1  180  Unknown                          
 502615 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  22:01 1.203  WFC   40.1  180  Unknown                          
 502616 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  22:02 1.206  WFC   39.5  180  Unknown                          
 502617 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  22:04 1.210  WFC   40.1  180  Unknown                          
 502618 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  22:05 1.213  WFC   40.0  180  Unknown                          
 502619 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  22:06 1.217  WFC   40.1  180  Unknown                          
 502620 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  22:07 1.220  WFC   40.1  180  Unknown                          
 502621 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  22:09 1.224  WFC   40.1  180  Unknown                          
 502622 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  22:10 1.228  WFC   40.1  180  Unknown                          
 502623 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  22:11 1.232  WFC   40.1  180  Unknown                          
 502624 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  22:13 1.236  WFC   40.1  180  Unknown                          
 502625 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  22:14 1.240  WFC   40.1  180  Unknown                          
 502626 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  22:15 1.244  WFC   40.1  180  Unknown                          
 502627 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  22:16 1.248  WFC   39.5  180  Unknown                          
 502628 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  22:18 1.252  WFC   39.6  180  Unknown                          
 502629 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  22:19 1.256  WFC   40.1  180  Unknown                          
 502630 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  22:20 1.260  WFC   40.1  180  Unknown                          
 502631 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  22:22 1.265  WFC   40.1  180  Unknown                          
 502632 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  22:23 1.269  WFC   39.5  180  Unknown                          
 502633 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  22:24 1.274  WFC   40.1  180  Unknown                          
 502634 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  22:25 1.278  WFC   40.1  180  Unknown                          
 502635 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  22:27 1.283  WFC   40.1  180  Unknown                          
 502636 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  22:28 1.287  WFC   40.1  180  Unknown                          
 502637 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  22:29 1.292  WFC   40.1  180  Unknown                          
 502638 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  22:31 1.297  WFC   39.6  180  Unknown                          
 502639 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  22:32 1.302  WFC   40.1  180  Unknown                          
 502640 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  22:33 1.307  WFC   40.1  180  Unknown                          
 502641 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  22:34 1.312  WFC   39.5  180  Unknown                          
 502642 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  22:36 1.317  WFC   40.1  180  Unknown                          
 502643 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  22:37 1.322  WFC   40.1  180  Unknown                          
 502644 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  22:38 1.328  WFC   39.5  180  Unknown                          
 502645 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  22:40 1.333  WFC   40.1  180  Unknown                          
 502646 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  22:41 1.338  WFC   40.1  180  Unknown                          
 502647 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  22:42 1.344  WFC   40.0  180  Unknown                          
 502648 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  22:43 1.350  WFC   40.1  180  Unknown                          
 502649 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  22:45 1.355  WFC   40.1  180  Unknown                          
 502650 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  22:46 1.361  WFC   40.1  180  Unknown                          
 502651 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  22:47 1.367  WFC   39.5  180  Unknown                          
 502652 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  22:49 1.373  WFC   40.1  180  Unknown                          
 502653 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  22:50 1.379  WFC   40.1  180  Unknown                          
 502654 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  22:51 1.385  WFC   40.1  180  Unknown                          
 502655 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  22:52 1.391  WFC   40.1  180  Unknown                          
 502656 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  22:54 1.398  WFC   40.1  180  Unknown                          
 502657 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  22:55 1.404  WFC   40.1  180  Unknown                          
 502658 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  22:56 1.411  WFC   40.1  180  Unknown                          
 502659 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  22:58 1.417  WFC   40.1  180  Unknown                          
 502660 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  22:59 1.424  WFC   40.1  180  Unknown                          
 502661 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  23:00 1.431  WFC   40.1  180  Unknown                          
 502662 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  23:01 1.438  WFC   40.1  180  Unknown                          
 502663 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  23:03 1.445  WFC   40.1  180  Unknown                          
 502664 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  23:04 1.452  WFC   40.1  180  Unknown                          
 502665 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  23:05 1.459  WFC   40.1  180  Unknown                          
 502666 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  23:07 1.467  WFC   40.0  180  Unknown                          
 502667 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  23:08 1.474  WFC   40.1  180  Unknown                          
 502668 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  23:09 1.482  WFC   40.1  180  Unknown                          
 502669 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  23:10 1.490  WFC   40.1  180  Unknown                          
 502670 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  23:12 1.498  WFC   40.1  180  Unknown                          
 502671 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  23:13 1.506  WFC   39.5  180  Unknown                          
 502672 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  23:14 1.514  WFC   40.1  180  Unknown                          
 502673 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  23:16 1.522  WFC   40.1  180  Unknown                          
 502674 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  23:17 1.531  WFC   40.1  180  Unknown                          
 502675 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  23:18 1.539  WFC   39.5  180  Unknown                          
 502676 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  23:19 1.548  WFC   39.5  180  Unknown                          
 502677 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  23:21 1.557  WFC   40.1  180  Unknown                          
 502678 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  23:22 1.566  WFC   40.1  180  Unknown                          
 502680 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  23:26 1.591  WFC   40.1  180  Unknown                          
 502681 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  23:27 1.600  WFC   40.1  180  Unknown                          
 502682 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  23:28 1.610  WFC   40.0  180  Unknown                          
 502683 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  23:29 1.620  WFC   40.0  180  Unknown                          
