 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 786832 short flat W      0:00:00.00 +00:00:00.0  2000.00 06:41 1.000  IDS    3.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786833 short flat W      0:00:00.00 +00:00:00.0  2000.00 06:41 1.000  IDS    3.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786834 short flat W      0:00:00.00 +00:00:00.0  2000.00 06:41 1.000  IDS    3.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786835 short flat W      0:00:00.00 +00:00:00.0  2000.00 06:41 1.000  IDS    3.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786836 short flat W      0:00:00.00 +00:00:00.0  2000.00 06:42 1.000  IDS    3.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786837 short flat W      0:00:00.00 +00:00:00.0  2000.00 06:42 1.000  IDS    3.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786838 short flat W      0:00:00.00 +00:00:00.0  2000.00 06:42 1.000  IDS    3.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786839 short flat W      0:00:00.00 +00:00:00.0  2000.00 06:42 1.000  IDS    3.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786840 long flat W       0:00:00.00 +00:00:00.0  2000.00 06:43 1.000  IDS    7.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786841 long flat W       0:00:00.00 +00:00:00.0  2000.00 06:43 1.000  IDS    7.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786842 long flat W       0:00:00.00 +00:00:00.0  2000.00 06:43 1.000  IDS    7.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786843 long flat W       0:00:00.00 +00:00:00.0  2000.00 06:44 1.000  IDS    7.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786844 long flat W       0:00:00.00 +00:00:00.0  2000.00 06:44 1.000  IDS    7.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786845 long flat W       0:00:00.00 +00:00:00.0  2000.00 06:44 1.000  IDS    7.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786846 long flat W       0:00:00.00 +00:00:00.0  2000.00 06:45 1.000  IDS    7.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786847 long flat W       0:00:00.00 +00:00:00.0  2000.00 06:45 1.000  IDS    7.0   -0  Clear+Clear   1.1  65.3 5505.4   
