 468495 NGC6822 r 300s   19:44:57.39 -14:47:24.0 2000.00  00:23 1.557  WFC  299.9  180  r                                
 468496 NGC6822 B 300s   19:44:57.39 -14:47:23.4 2000.00  00:29 1.583  WFC  299.8  180  B                                
 468497 NGC6822 r 300s   19:44:57.40 -14:47:23.9 2000.00  00:35 1.609  WFC  299.9  180  r                                
 468498 NGC6822 B 300s   19:44:57.39 -14:47:23.5 2000.00  00:41 1.639  WFC  299.9  180  B                                
 468499 NGC6822 r 300s   19:44:57.39 -14:47:24.0 2000.00  00:47 1.670  WFC  300.0  180  r                                
 468500 NGC6822 B 300s   19:44:57.40 -14:47:23.4 2000.00  00:54 1.706  WFC  299.9  180  B                                
 468501 NGC6822 r 300s   19:44:57.39 -14:47:24.0 2000.00  01:00 1.742  WFC  299.9  180  r                                
 468502 IC1613 B 300s     1:04:53.99 +02:07:59.4 2000.00  01:08 1.516  WFC  300.0  180  B                                
 468503 IC1613 r 300s     1:04:54.00 +02:08:00.0 2000.00  01:14 1.482  WFC  299.9  180  r                                
 468504 IC1613 B 300s     1:04:53.99 +02:07:59.5 2000.00  01:20 1.448  WFC  299.9  180  B                                
 468505 IC1613 r 300s     1:04:53.99 +02:07:59.9 2000.00  01:26 1.419  WFC  299.9  180  r                                
 468506 IC1613 B 300s     1:04:54.00 +02:07:59.5 2000.00  01:33 1.390  WFC  299.9  180  B                                
 468507 IC1613 r 300s     1:04:54.00 +02:08:00.0 2000.00  01:38 1.364  WFC  299.9  180  r                                
 468508 IC1613 B 300s     1:04:54.00 +02:07:59.4 2000.00  01:45 1.339  WFC  299.9  180  B                                
 468509 IC1613 r 300s     1:04:54.00 +02:08:00.0 2000.00  01:51 1.317  WFC  299.9  180  r                                
 468510 IC1613 B 300s     1:04:53.99 +02:07:59.9 2000.00  01:57 1.296  WFC  299.9  180  B                                
 468511 IC1613 r 300s     1:04:54.00 +02:08:00.0 2000.00  02:03 1.277  WFC  299.9  180  r                                
 468512 IC1613 B 300s     1:04:54.00 +02:07:59.9 2000.00  02:12 1.251  WFC  299.9  180  B                                
 468513 IC1613 r 300s     1:04:53.99 +02:08:00.0 2000.00  02:18 1.235  WFC  299.9  180  r                                
 468514 BD+45_3260 r 10s 20:45:35.27 +46:21:01.6 2000.00  02:25 1.238  WFC   10.1  180  r                                
 468515 BD+45_3260 r 1s  20:45:35.27 +46:21:01.9 2000.00  02:26 1.240  WFC    1.0  180  r                                
 468516 BD+45_3260 i 10s 20:45:35.26 +46:21:02.0 2000.00  02:27 1.243  WFC   10.1  180  i                                
 468517 BD+45_3260 i 1s  20:45:35.26 +46:21:02.0 2000.00  02:28 1.245  WFC    1.0  180  i                                
 468519 M31 i 300s        0:44:45.99 +41:38:19.9 2000.00  02:32 1.056  WFC  299.9  180  i                                
 468520 M31 i 300s        0:44:46.00 +41:38:20.0 2000.00  02:38 1.051  WFC  299.4  180  i                                
 468521 M31 i 300s        0:44:46.00 +41:38:20.0 2000.00  02:44 1.047  WFC  299.4  180  i                                
 468522 NGC147 B 300s     0:00:00.00 +00:00:00.0 2000.00  02:51 1.071  WFC  299.4  180  B                                ra/dec as before FIX HEADER
 468524 IC1613 B 300s     0:00:00.00 +00:00:00.0 2000.00  02:59 1.158  WFC  299.9  180  B                                as ra/dec above FIX HEADER 
 468525 IC1613 r 300s     1:04:53.99 +02:08:00.0 2000.00  03:05 1.150  WFC  299.9  180  r                                
 468526 IC1613 B 300s     1:04:54.00 +02:07:59.9 2000.00  03:11 1.143  WFC  299.9  180  B                                
 468527 IC1613 r 300s     1:04:54.00 +02:07:59.9 2000.00  03:17 1.138  WFC  299.5  180  r                                
 468528 IC1613 B 300s     1:04:53.99 +02:07:59.6 2000.00  03:25 1.131  WFC  299.9  180  B                                
 468529 IC1613 r 300s     1:04:54.00 +02:08:00.0 2000.00  03:31 1.127  WFC  299.9  180  r                                
 468530 IC1613 B 300s     1:04:53.99 +02:08:00.0 2000.00  03:37 1.124  WFC  299.9  180  B                                
 468531 IC1613 r 300s     1:04:54.00 +02:08:00.0 2000.00  03:43 1.121  WFC  300.0  180  r                                
 468532 IC1613 B 300s     1:04:54.00 +02:07:59.9 2000.00  03:49 1.119  WFC  299.9  180  B                                
 468533 IC1613 r 300s     1:04:53.99 +02:08:00.0 2000.00  03:55 1.118  WFC  299.9  180  r                                
 468534 IC1613 B 300s     1:04:54.00 +02:08:00.0 2000.00  04:00 1.118  WFC  299.9  180  B                                
 468535 IC1613 r 300s     1:04:53.99 +02:08:00.0 2000.00  04:06 1.119  WFC  299.9  180  r                                
 468536 IC1613 V 300s     1:04:53.99 +02:08:00.0 2000.00  04:13 1.120  WFC  299.9  180  V                                
 468537 IC1613 i 300s     1:04:54.00 +02:08:00.0 2000.00  04:19 1.122  WFC  300.0  180  i                                
 468538 M31 i 300s        0:00:00.00 +00:00:00.0 2000.00  04:26 1.040  WFC  299.9  180  i                                FIX HEADER
 468539 M31 i 300s        0:44:45.99 +41:38:20.0 2000.00  04:31 1.044  WFC  299.9  180  i                                
 468540 M31 i 300s        0:44:46.00 +41:38:19.9 2000.00  04:37 1.048  WFC  299.9  180  i                                
 468541 IC1613 B 300s     1:04:53.99 +02:07:59.3 2000.00  04:44 1.139  WFC  299.9  180  B                                
 468542 IC1613 r 300s     1:04:53.99 +02:08:00.0 2000.00  04:50 1.146  WFC  299.9  180  r                                
 468543 IC1613 B 300s     1:04:53.99 +02:07:59.8 2000.00  04:56 1.152  WFC  299.9  180  B                                
 468544 IC1613 r 300s     1:04:53.99 +02:08:00.0 2000.00  05:02 1.160  WFC  299.4  180  r                                patchy cloud coming in. no more stds
 468545 IC1613 B 300s     1:04:54.00 +02:07:59.9 2000.00  05:08 1.169  WFC  299.9  180  B                                
 468546 IC1613 r 300s     1:04:54.00 +02:08:00.2 2000.00  05:14 1.178  WFC  299.8  180  r                                
 468547 IC1613 B 300s     1:04:53.99 +02:08:00.1 2000.00  05:22 1.193  WFC  299.9  180  B                                
 468548 IC1613 r 300s     1:04:54.00 +02:08:00.1 2000.00  05:28 1.205  WFC  299.4  180  r                                
 468549 IC1613 B 300s     1:04:54.00 +02:08:00.0 2000.00  05:34 1.218  WFC  299.3  180  B                                
 468550 IC1613 r 300s     1:04:53.99 +02:08:00.1 2000.00  05:40 1.232  WFC  299.9  180  r                                
 468551 IC1613 B 300s     1:04:54.00 +02:08:00.0 2000.00  05:46 1.248  WFC  299.4  180  B                                
 468552 IC1613 r 300s     1:04:54.00 +02:08:00.0 2000.00  05:52 1.264  WFC  299.8  180  r                                
 468553 92-248 B 120s     0:54:30.69 +00:40:16.8 2000.00  05:58 1.333  WFC  119.5  180  B                                
 468554 92-248 B 30s      0:54:30.70 +00:40:16.9 2000.00  06:01 1.340  WFC   30.1  180  B                                
 468555 92-248 V 90s      0:54:30.70 +00:40:17.1 2000.00  06:02 1.347  WFC   89.5  180  V                                
 468556 92-248 V 30s      0:54:30.70 +00:40:17.0 2000.00  06:04 1.353  WFC   30.1  180  V                                
 468557 92-248 r 60s      0:54:30.69 +00:40:16.9 2000.00  06:06 1.359  WFC   59.5  180  r                                
 468558 92-248 r 30s      0:54:30.70 +00:40:17.1 2000.00  06:07 1.365  WFC   29.5  180  r                                
 468559 92-248 i 40s      0:54:30.70 +00:40:16.9 2000.00  06:09 1.370  WFC   40.1  180  i                                
 468560 92-248 i 30s      0:54:30.70 +00:40:16.9 2000.00  06:10 1.375  WFC   30.1  180  i                                
 468561 Sky background    4:29:44.99 +54:15:35.9 2000.00  06:13 1.140  WFC   15.1  180  i                                
 468562 Sky background    4:29:44.99 +54:15:45.8 2000.00  06:15 1.139  WFC   10.1  180  i                                
 468563 Sky background    4:29:46.14 +54:15:35.9 2000.00  06:16 1.138  WFC    7.6  180  i                                
 468564 Sky background    4:29:46.13 +54:15:46.3 2000.00  06:17 1.137  WFC    5.0  180  i                                
 468565 Sky background    4:29:44.99 +54:15:35.8 2000.00  06:18 1.136  WFC    9.1  180  r                                
 468566 Sky background    4:29:44.99 +54:15:46.1 2000.00  06:19 1.135  WFC    4.1  180  r                                
 468567 Sky background    4:29:44.99 +54:15:35.9 2000.00  06:20 1.134  WFC    7.1  180  V                                
 468568 Sky background    4:29:44.99 +54:15:45.9 2000.00  06:21 1.134  WFC    5.1  180  V                                
 468569 Sky background    4:29:45.00 +54:15:35.9 2000.00  06:22 1.133  WFC    2.1  180  B                                
 468570 Sky background    4:29:45.00 +54:15:46.1 2000.00  06:23 1.132  WFC    1.6  180  B                                
 468571 Bias              4:29:45.00 +54:15:46.0 2000.00  06:25 1.131  WFC    0.0  180  [OIII]5007                       
 468572 Bias              4:29:45.00 +54:15:45.9 2000.00  06:25 1.131  WFC    0.0  180  [OIII]5007                       
 468573 Bias              4:29:44.99 +54:15:46.0 2000.00  06:26 1.130  WFC    0.0  180  [OIII]5007                       
