 387247 B21128+31        11:31:21.10 +31:16:07.0 J2000.00 04:19 1.001  WFC  120.2  180  r                                sg=1.4"
 387248 NGC3921          11:51:24.46 +55:06:45.1 J2000.00 04:24 1.117  WFC  599.8  180  g                                sg=1.2"
 387249 103-626          11:56:46.09 -00:23:13.9 J2000.00 04:39 1.147  WFC    5.1  180  i                                15000cts
 387250 103-626          11:56:46.10 -00:23:14.0 J2000.00 04:42 1.146  WFC   10.1  180  r                                satd
 387251 103-626          11:56:46.10 -00:23:14.0 J2000.00 04:45 1.145  WFC   10.1  180  g                                satd
 387252 103-626          11:56:46.10 -00:23:14.0 J2000.00 04:47 1.145  WFC    5.1  180  r                                25000cts
 387253 103-626          11:56:46.10 -00:23:13.9 J2000.00 04:48 1.145  WFC    4.6  180  g                                26000cts
 387254 103-626          11:56:46.09 -00:23:13.9 J2000.00 04:51 1.145  WFC    7.6  180  z                                6500cts
 387255 103-626          11:56:46.10 -00:23:14.0 J2000.00 04:52 1.145  WFC   19.5  180  U                                14000cts
 387256 103-626          11:56:46.10 -00:23:13.9 J2000.00 04:54 1.145  WFC   20.1  180  Halpha                           9500cts
 387257 103-626          11:56:46.09 -00:23:14.0 J2000.00 04:56 1.145  WFC   15.1  180  z                                26000cts
 387258 MKN205           12:22:23.42 +75:20:37.2 J2000.00 05:06 1.453  WFC  120.5  180  r                                sg=1.4"
 387259 MKN205           12:22:23.42 +75:20:36.8 J2000.00 05:09 1.453  WFC  599.6  180  g                                sg=1.1"
 387260 ARP270           10:50:04.72 +33:00:56.4 J2000.00 05:24 1.075  WFC  120.0  180  r                                sg=1.1"
 387261 ARP270           10:50:04.72 +33:00:56.5 J2000.00 05:27 1.081  WFC  120.0  180  i                                sg=1.1"
 387262 DPLEO            11:17:26.51 +17:59:41.0 J2000.00 05:34 1.075  WFC  120.0  180  r                                sg=1.0"
 387263 NGC4494          12:31:34.59 +25:48:31.9 J2000.00 05:38 1.002  WFC  120.0  180  i                                sg=1.1"
 387264 MS1229.2+6430    12:31:55.01 +64:16:20.8 J2000.00 05:49 1.230  WFC  120.0  180  r                                Trailed
 387265 MS1229.2+6430    12:31:55.00 +64:16:21.0 J2000.00 05:52 1.231  WFC  120.1  180  i                                sg=1.2"
 387266 MS1229.2+6430    12:31:55.00 +64:16:20.9 J2000.00 05:56 1.232  WFC  120.0  180  U                                sg=1.4"
 387267 MS1229.2+6430    12:31:55.01 +64:16:21.0 J2000.00 05:59 1.233  WFC  120.0  180  r                                sg=1.4"
 387268 GPCOM            13:05:54.04 +18:03:02.0 J2000.00 06:05 1.018  WFC  120.0  180  i                                sg=1.6"
 387269 QSO1345+584      13:47:59.97 +58:14:42.0 J2000.00 06:11 1.154  WFC  120.1  180  r                                sg=1.7"
 387270 A1837            14:01:44.86 -11:05:37.2 J2000.00 06:22 1.319  WFC  120.1  180  r                                sg=1.1"
 387271 H1413+117        14:15:56.19 +11:31:43.9 J2000.00 06:28 1.064  WFC  120.0  180  r                                sg=1.5"
 387272 Q1442+2931       14:45:05.16 +29:21:05.4 J2000.00 06:33 1.033  WFC  120.0  180  r                                sg=1.1"
 387273 NGC5846          15:06:39.25 +01:38:20.7 J2000.00 06:38 1.200  WFC  120.0  180  r                                sg=1.3
 387274 MKW3S            15:22:00.09 +07:43:27.0 J2000.00 06:44 1.158  WFC  120.0  180  r                                sg=1.6
 387275 IRAS15250+36     15:27:11.86 +36:00:37.6 J2000.00 06:51 1.067  WFC  120.0  180  i                                sg=1.4
 387276 105-437          13:37:16.70 -00:37:55.9 J2000.00 06:55 1.153  WFC   10.1  180  i                                20000cts
 387277 105-437          13:37:16.70 -00:37:56.0 J2000.00 06:57 1.154  WFC   10.1  180  g                                45000cts
 387278 105-437          13:37:16.70 -00:37:56.0 J2000.00 06:59 1.155  WFC   10.1  180  r                                19000cts
 387280 105-437          13:37:16.70 -00:37:56.0 J2000.00 07:01 1.157  WFC   20.1  180  z                                6000cts
 387281 105-437          13:37:16.70 -00:37:55.9 J2000.00 07:03 1.158  WFC   30.1  180  U                                6000cts
 387282 105-437          13:37:16.69 -00:37:55.9 J2000.00 07:04 1.159  WFC   30.1  180  z                                7000cts
 387283 105-437          13:37:16.70 -00:37:56.0 J2000.00 07:07 1.161  WFC   30.1  180  Halpha                           3000cts
 387284 Flat field       13:47:42.00 +05:37:36.0 J2000.00 07:23 1.104  WFC  103.8  180  i                                
 387285 Flat field       13:47:42.66 +05:37:46.1 J2000.00 07:26 1.106  WFC   58.5  180  i                                
 387286 Flat field       13:47:42.67 +05:37:56.2 J2000.00 07:28 1.108  WFC   35.6  180  i                                
 387287 Flat field       13:47:42.66 +05:37:55.9 J2000.00 07:30 1.109  WFC   27.8  180  r                                
 387288 Flat field       13:47:42.67 +05:37:45.9 J2000.00 07:31 1.111  WFC   19.2  180  r                                
 387289 Flat field       13:47:42.67 +05:38:06.0 J2000.00 07:33 1.112  WFC   16.1  180  r                                
 387290 Flat field       13:47:42.66 +05:38:06.0 J2000.00 07:34 1.113  WFC    6.9  180  g                                
 387291 Flat field       13:47:42.67 +05:37:56.0 J2000.00 07:35 1.115  WFC    7.4  180  g                                
 387292 Flat field       13:47:42.67 +05:37:46.0 J2000.00 07:36 1.116  WFC    4.5  180  g                                
 387293 Flat field       13:47:42.67 +05:37:46.0 J2000.00 07:38 1.117  WFC   12.9  180  z                                
 387294 Flat field       13:47:42.67 +05:37:56.0 J2000.00 07:39 1.119  WFC    9.0  180  z                                
 387295 Flat field       13:47:42.67 +05:38:05.9 J2000.00 07:40 1.120  WFC    5.9  180  z                                
 387296 Flat field       13:47:42.67 +05:38:06.0 J2000.00 07:41 1.122  WFC    5.6  180  U                                
 387297 Flat field       13:47:42.67 +05:37:56.0 J2000.00 07:43 1.123  WFC    5.8  180  U                                
 387298 Flat field       13:47:42.67 +05:37:46.0 J2000.00 07:44 1.125  WFC    4.0  180  U                                
 387299 Flat field       13:47:42.67 +05:37:45.9 J2000.00 07:45 1.126  WFC    5.7  180  Halpha                           
 387300 Flat field       13:47:42.67 +05:37:45.9 J2000.00 07:46 1.128  WFC    4.2  180  Halpha                           
 387301 Flat field       13:47:42.66 +05:38:16.0 J2000.00 07:48 1.130  WFC    3.5  180  Halpha                           
