 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 754447 WASP-1            0:20:40.08 +32:01:13.8  2000.00 01:36 1.074  WFC  100.0  180  i                                
 754448 WASP-1            0:20:40.08 +32:01:13.8  2000.00 01:39 1.070  WFC  100.0  180  i                                
 754449 WASP-1            0:20:40.07 +32:01:13.7  2000.00 01:41 1.067  WFC   99.5  180  i                                
 754450 WASP-1            0:20:40.08 +32:01:13.7  2000.00 01:43 1.064  WFC  100.0  180  i                                
 754451 WASP-1            0:20:40.07 +32:01:13.7  2000.00 01:45 1.061  WFC  100.0  180  i                                
 754452 WASP-1            0:20:40.07 +32:01:13.7  2000.00 01:47 1.058  WFC  100.0  180  i                                
 754453 WASP-1            0:20:40.07 +32:01:13.7  2000.00 01:49 1.055  WFC  100.0  180  i                                
 754454 WASP-1            0:20:40.07 +32:01:13.8  2000.00 01:52 1.052  WFC  100.0  180  i                                
 754455 WASP-1            0:20:40.08 +32:01:13.8  2000.00 01:54 1.050  WFC  100.0  180  i                                
 754456 WASP-1            0:20:40.07 +32:01:13.8  2000.00 01:56 1.047  WFC  100.0  180  i                                
 754457 WASP-1            0:20:40.07 +32:01:13.7  2000.00 01:58 1.044  WFC  100.0  180  i                                
 754458 WASP-1            0:20:40.07 +32:01:13.7  2000.00 02:01 1.042  WFC  100.0  180  i                                
 754459 WASP-1            0:20:40.08 +32:01:13.8  2000.00 02:03 1.039  WFC  100.0  180  i                                
 754460 WASP-1            0:20:40.08 +32:01:13.8  2000.00 02:05 1.037  WFC  100.0  180  i                                
 754461 WASP-1            0:20:40.08 +32:01:13.7  2000.00 02:07 1.035  WFC  100.0  180  i                                
 754462 WASP-1            0:20:40.07 +32:01:13.7  2000.00 02:09 1.033  WFC  100.0  180  i                                
 754463 WASP-1            0:20:40.08 +32:01:13.7  2000.00 02:11 1.030  WFC  100.0  180  i                                
 754464 WASP-1            0:20:40.07 +32:01:13.7  2000.00 02:14 1.029  WFC  100.0  180  i                                
 754465 WASP-1            0:20:40.07 +32:01:13.7  2000.00 02:16 1.027  WFC  100.0  180  i                                
 754466 WASP-1            0:20:40.07 +32:01:13.7  2000.00 02:18 1.025  WFC  100.0  180  i                                
 754467 WASP-1            0:20:40.07 +32:01:13.7  2000.00 02:20 1.023  WFC   99.5  180  i                                
 754468 WASP-1            0:20:40.08 +32:01:13.8  2000.00 02:22 1.021  WFC  100.0  180  i                                
 754469 WASP-1            0:20:40.07 +32:01:13.8  2000.00 02:25 1.020  WFC  100.0  180  i                                
 754470 WASP-1            0:20:40.07 +32:01:13.7  2000.00 02:27 1.018  WFC  100.0  180  i                                
 754471 WASP-1            0:20:40.08 +32:01:13.8  2000.00 02:29 1.017  WFC  100.0  180  i                                
 754472 WASP-1            0:20:40.07 +32:01:13.8  2000.00 02:31 1.015  WFC  100.0  180  i                                
 754473 WASP-1            0:20:40.08 +32:01:13.7  2000.00 02:33 1.014  WFC  100.0  180  i                                
 754474 WASP-1            0:20:40.08 +32:01:13.8  2000.00 02:35 1.013  WFC  100.0  180  i                                
 754475 WASP-1            0:20:40.08 +32:01:13.8  2000.00 02:38 1.011  WFC  100.0  180  i                                
 754476 WASP-1            0:20:40.08 +32:01:13.7  2000.00 02:40 1.010  WFC  100.0  180  i                                
 754477 WASP-1            0:20:40.07 +32:01:13.8  2000.00 02:42 1.009  WFC  100.0  180  i                                
 754478 WASP-1            0:20:40.08 +32:01:13.7  2000.00 02:47 1.007  WFC  100.0  180  i                                
 754479 WASP-1            0:20:40.07 +32:01:13.7  2000.00 02:49 1.006  WFC  100.0  180  i                                
 754480 WASP-1            0:20:40.07 +32:01:13.8  2000.00 02:51 1.005  WFC  100.0  180  i                                
 754481 WASP-1            0:20:40.07 +32:01:13.7  2000.00 02:54 1.005  WFC  100.0  180  i                                
 754483 WASP-1            0:20:40.07 +32:01:13.7  2000.00 02:57 1.004  WFC   95.0  180  i                                
 754485 WASP-1            0:20:40.08 +32:01:13.8  2000.00 02:59 1.003  WFC   90.0  180  i                                
 754486 WASP-1            0:20:40.07 +32:01:13.8  2000.00 03:01 1.003  WFC   90.0  180  i                                
 754487 WASP-1            0:20:40.07 +32:01:13.8  2000.00 03:04 1.003  WFC   90.0  180  i                                
 754488 WASP-1            0:20:40.07 +32:01:13.8  2000.00 03:06 1.002  WFC   90.0  180  i                                
 754489 WASP-1            0:20:40.08 +32:01:13.8  2000.00 03:08 1.002  WFC   87.0  180  i                                
 754490 WASP-1            0:20:40.08 +32:01:13.8  2000.00 03:10 1.002  WFC   87.0  180  i                                
 754491 WASP-1            0:20:40.07 +32:01:13.8  2000.00 03:12 1.002  WFC   85.0  180  i                                
 754492 WASP-1            0:20:40.08 +32:01:13.8  2000.00 03:14 1.002  WFC   85.0  180  i                                
 754493 WASP-1            0:20:40.07 +32:01:13.8  2000.00 03:16 1.002  WFC   85.0  180  i                                
