 439349 m67_4 i           8:52:54.99 +12:04:41.1 2000.00  03:10 1.082  WFC   60.0  180  i                                
 439350 m67_1 i           8:50:44.99 +11:32:41.3 2000.00  03:13 1.092  WFC   60.0  180  i                                
 439351 m67_2 i           8:52:55.00 +11:32:41.0 2000.00  03:15 1.092  WFC   60.1  180  i                                
 439352 m67_3 i           8:50:44.99 +12:04:41.1 2000.00  03:18 1.096  WFC   60.1  180  i                                
 439353 m67_4 i           8:52:54.99 +12:04:41.2 2000.00  03:20 1.096  WFC   60.1  180  i                                
 439354 m67_1 V           8:50:44.99 +11:32:41.3 2000.00  03:24 1.112  WFC  399.9  180  V                                elongated stars
 439355 m67_1 V           8:50:44.99 +11:32:41.0 2000.00  03:31 1.125  WFC  399.8  180  V                                
 439356 m67_2 V           8:52:55.00 +11:32:41.0 2000.00  03:39 1.136  WFC  399.3  180  V                                
 439357 m67_2 V           8:52:55.00 +11:32:40.9 2000.00  03:46 1.152  WFC  399.9  180  V                                
 439358 m67_3 V           8:50:45.00 +12:04:40.7 2000.00  03:55 1.172  WFC  399.8  180  V                                
 439359 m67_3 V           8:50:44.99 +12:04:41.0 2000.00  04:02 1.191  WFC  399.9  180  V                                
 439360 m67_4 V           8:52:55.00 +12:04:41.0 2000.00  04:10 1.208  WFC  399.9  180  V                                
 439361 m67_4 V           8:52:54.99 +12:04:40.9 2000.00  04:18 1.230  WFC  399.9  180  V                                
 439362 m67_1 i           8:50:45.00 +11:32:40.9 2000.00  04:26 1.262  WFC   60.0  180  i                                
 439363 m67_2 i           8:52:55.00 +11:32:41.0 2000.00  04:29 1.264  WFC   60.1  180  i                                
 439364 m67_3 i           8:50:45.00 +12:04:40.6 2000.00  04:32 1.276  WFC   60.1  180  i                                
 439365 m67_4 i           8:52:54.99 +12:04:41.3 2000.00  04:35 1.279  WFC   60.0  180  i                                
 439366 sa101-427 Ha      9:57:26.00 -00:17:16.0 2000.00  04:38 1.235  WFC   30.1  180  Halpha                           
 439367 sa101-427 i       9:57:26.00 -00:17:15.9 2000.00  04:39 1.237  WFC   10.1  180  i                                
 439368 sa101-427 V       9:57:25.99 -00:17:16.0 2000.00  04:40 1.239  WFC    9.6  180  V                                
 439369 m67_1 i           8:50:44.99 +11:32:40.8 2000.00  04:44 1.329  WFC   59.5  180  i                                
 439370 m67_2 i           8:52:55.00 +11:32:40.8 2000.00  04:47 1.331  WFC   60.0  180  i                                
 439371 m67_3 i           8:50:44.99 +12:04:40.8 2000.00  04:49 1.347  WFC   59.5  180  i                                
 439372 m67_4 i           8:52:54.99 +12:04:41.1 2000.00  04:52 1.350  WFC   60.0  180  i                                
 439373 m67_1 i           8:50:44.99 +11:32:40.9 2000.00  04:55 1.379  WFC   60.1  180  i                                
 439374 m67_2 i           8:52:54.99 +11:32:40.8 2000.00  04:58 1.382  WFC   60.0  180  i                                
 439375 m67_3 i           8:50:45.00 +12:04:41.0 2000.00  05:00 1.400  WFC   60.0  180  i                                
 439376 m67_4 i           8:52:55.00 +12:04:41.0 2000.00  05:03 1.403  WFC   60.0  180  i                                
 439377 m67_1 i           8:50:45.00 +11:32:40.8 2000.00  05:06 1.436  WFC   60.0  180  i                                
 439378 m67_2 i           8:52:54.99 +11:32:40.9 2000.00  05:09 1.440  WFC   60.1  180  i                                
 439379 m67_3 i           8:50:45.00 +12:04:41.0 2000.00  05:11 1.461  WFC   59.5  180  i                                
 439380 m67_4 i           8:52:55.00 +12:04:41.0 2000.00  05:14 1.464  WFC   60.1  180  i                                
 439381 m67_1 i           8:50:45.00 +11:32:40.8 2000.00  05:17 1.502  WFC   60.1  180  i                                
 439382 m67_2 i           8:52:54.99 +11:32:40.9 2000.00  05:20 1.505  WFC   59.5  180  i                                
 439383 m67_3 i           8:50:45.00 +12:04:41.0 2000.00  05:22 1.529  WFC   60.0  180  i                                
 439384 m67_4 i           8:52:54.99 +12:04:40.9 2000.00  05:25 1.534  WFC   60.1  180  i                                
 439385 m67_1 i           8:50:44.99 +11:32:41.0 2000.00  05:28 1.579  WFC   60.0  180  i                                
 439386 m67_2 i           8:52:55.00 +11:32:40.9 2000.00  05:31 1.584  WFC   59.5  180  i                                
 439387 m67_3 i           8:50:44.99 +12:04:41.0 2000.00  05:34 1.612  WFC   59.5  180  i                                
 439388 m67_4 i           8:52:54.99 +12:04:40.8 2000.00  05:36 1.616  WFC   59.5  180  i                                
 439389 m67_1 i           8:50:45.00 +11:32:41.0 2000.00  05:39 1.667  WFC   60.1  180  i                                
 439390 m67_2 i           8:52:55.00 +11:32:40.8 2000.00  05:42 1.671  WFC   60.1  180  i                                
 439391 m67_3 i           8:50:44.99 +12:04:41.0 2000.00  05:45 1.703  WFC   60.1  180  i                                
 439392 m67_4 i           8:52:54.99 +12:04:41.0 2000.00  05:48 1.709  WFC   60.0  180  i                                
 439393 sa104-334 Ha     12:42:21.00 -00:40:28.0 2000.00  05:51 1.148  WFC   29.5  180  Halpha                           
 439394 sa104-334 i      12:42:21.00 -00:40:27.9 2000.00  05:52 1.148  WFC   10.1  180  i                                
 439395 sa104-334 V      12:42:20.99 -00:40:28.0 2000.00  05:53 1.148  WFC   10.1  180  V                                
 439396 sa104-334 Ha     12:42:21.00 -00:40:28.0 2000.00  05:54 1.148  WFC   30.1  180  Halpha                           
 439397 sa104-334 i      12:42:20.99 -00:40:28.0 2000.00  05:55 1.148  WFC   10.1  180  i                                
 439398 sa104-334 V      12:42:21.00 -00:40:28.0 2000.00  05:56 1.148  WFC   10.1  180  V                                
 439399 scratch          13:06:56.00 +29:34:47.9 2000.00  06:11 1.001  WFC   10.1  180  V                                
 439400 scratch          13:06:56.00 +29:34:47.9 2000.00  06:41 1.004  WFC   10.1  180  V                                
 439401 scratch          13:06:56.00 +29:34:48.0 2000.00  06:50 1.007  WFC   10.1  180  i                                
 439402 test flat V      13:06:56.00 +29:34:48.0 2000.00  07:11 1.021  WFC   60.1  180  V                                junk
 439403 skyflat V        13:06:55.99 +29:34:48.0 2000.00  07:28 1.036  WFC   95.0  180  V                                
 439404 Flat field       13:06:56.76 +29:34:58.0 2000.00  07:30 1.038  WFC   52.1  180  V                                
 439405 Flat field       13:06:56.76 +29:34:58.1 2000.00  07:32 1.041  WFC   87.7  180  i                                
 439406 sky i 34         13:06:56.00 +29:34:38.0 2000.00  07:35 1.043  WFC   34.1  180  i                                
 439407 sky i            13:06:55.23 +29:34:48.0 2000.00  07:36 1.045  WFC   14.1  180  i                                
 439408 sky i            13:06:55.23 +29:34:47.9 2000.00  07:38 1.047  WFC    9.5  180  i                                
