 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 711227 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 19:57 1.125  WFC   30.1  180  CLEAR                            
 711228 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 19:58 1.125  WFC   30.1  180  CLEAR                            
 711229 FIELD1_1          0:00:59.99 +55:59:59.9  2000.00 19:59 1.125  WFC   30.1  180  CLEAR                            
 711230 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 20:01 1.125  WFC   30.1  180  CLEAR                            
 711231 FIELD1_1          0:00:59.99 +55:59:59.9  2000.00 20:02 1.125  WFC   30.1  180  CLEAR                            
 711232 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 20:03 1.125  WFC   30.0  180  CLEAR                            
 711233 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 20:05 1.125  WFC   29.5  180  CLEAR                            
 711234 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 20:06 1.125  WFC   29.5  180  CLEAR                            
 711235 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 20:07 1.125  WFC   30.1  180  CLEAR                            
 711236 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 20:08 1.125  WFC   30.0  180  CLEAR                            
 711237 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 20:10 1.125  WFC   30.1  180  CLEAR                            
 711238 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 20:11 1.126  WFC   29.5  180  CLEAR                            
 711239 FIELD1_1          0:00:59.99 +55:59:59.9  2000.00 20:12 1.126  WFC   30.1  180  CLEAR                            
 711240 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 20:14 1.126  WFC   30.1  180  CLEAR                            
 711241 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 20:15 1.126  WFC   30.1  180  CLEAR                            
 711242 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 20:16 1.126  WFC   30.1  180  CLEAR                            
 711243 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 20:18 1.127  WFC   30.1  180  CLEAR                            
 711244 FIELD1_1          0:00:59.99 +55:59:59.9  2000.00 20:19 1.127  WFC   29.6  180  CLEAR                            
 711245 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 20:20 1.127  WFC   30.1  180  CLEAR                            
 711246 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 20:21 1.127  WFC   29.5  180  CLEAR                            
 711247 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 20:23 1.128  WFC   30.1  180  CLEAR                            
 711248 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 20:24 1.128  WFC   30.1  180  CLEAR                            
 711249 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 20:25 1.128  WFC   30.1  180  CLEAR                            
 711250 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 20:27 1.129  WFC   30.1  180  CLEAR                            
 711251 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 20:28 1.129  WFC   30.1  180  CLEAR                            
 711252 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 20:29 1.130  WFC   30.1  180  CLEAR                            
 711253 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 20:31 1.130  WFC   30.1  180  CLEAR                            
 711254 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 20:32 1.131  WFC   30.1  180  CLEAR                            
 711255 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 20:33 1.131  WFC   29.5  180  CLEAR                            
 711256 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 20:35 1.132  WFC   30.1  180  CLEAR                            
 711257 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 20:36 1.132  WFC   30.1  180  CLEAR                            
 711258 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 20:37 1.133  WFC   30.0  180  CLEAR                            
 711259 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 20:38 1.133  WFC   30.1  180  CLEAR                            
 711260 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 20:40 1.134  WFC   30.1  180  CLEAR                            
 711261 FIELD1_1          0:01:00.00 +56:00:00.3  2000.00 20:41 1.134  WFC   30.1  180  CLEAR                            
 711262 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 20:42 1.135  WFC   30.1  180  CLEAR                            
 711263 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 20:44 1.136  WFC   30.1  180  CLEAR                            
 711264 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 20:45 1.136  WFC   30.1  180  CLEAR                            
 711265 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 20:46 1.137  WFC   30.1  180  CLEAR                            
 711266 FIELD1_1          0:00:59.99 +55:59:59.9  2000.00 20:48 1.138  WFC   30.1  180  CLEAR                            
 711267 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 20:49 1.139  WFC   29.1  180  CLEAR                            
 711268 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 20:50 1.139  WFC   30.1  180  CLEAR                            
 711269 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 20:52 1.140  WFC   30.1  180  CLEAR                            
 711270 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 20:53 1.141  WFC   30.1  180  CLEAR                            
 711271 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 20:54 1.142  WFC   30.1  180  CLEAR                            
 711272 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 20:55 1.143  WFC   30.1  180  CLEAR                            
 711273 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 20:57 1.143  WFC   30.0  180  CLEAR                            
 711274 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 20:58 1.144  WFC   30.1  180  CLEAR                            
 711275 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 20:59 1.145  WFC   30.1  180  CLEAR                            
 711276 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:01 1.146  WFC   29.5  180  CLEAR                            
 711277 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 21:02 1.147  WFC   30.1  180  CLEAR                            
 711278 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:03 1.148  WFC   29.5  180  CLEAR                            
 711279 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:05 1.149  WFC   30.0  180  CLEAR                            
 711280 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:06 1.150  WFC   30.1  180  CLEAR                            
 711281 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 21:07 1.151  WFC   30.1  180  CLEAR                            
 711282 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:09 1.152  WFC   30.1  180  CLEAR                            
 711283 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 21:10 1.153  WFC   30.1  180  CLEAR                            
 711284 FIELD1_1          0:00:59.99 +55:59:59.9  2000.00 21:11 1.154  WFC   30.1  180  CLEAR                            
 711285 FIELD1_1          0:00:59.99 +55:59:59.9  2000.00 21:12 1.155  WFC   30.1  180  CLEAR                            
 711286 FIELD1_1          0:00:59.99 +55:59:59.9  2000.00 21:14 1.157  WFC   30.1  180  CLEAR                            
 711287 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 21:15 1.158  WFC   30.0  180  CLEAR                            
 711288 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:16 1.159  WFC   30.1  180  CLEAR                            
 711289 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:18 1.160  WFC   30.1  180  CLEAR                            
