 505246 calib6 I 3       15:28:13.40 -07:16:01.0 2000.00  01:12 1.326  WFC    3.1  180  i                                
 505247 DDO154 B         12:55:06.86 +27:14:09.8 2000.00  01:15 1.656  WFC  499.8  180  B                                
 505248 UGC11583 I       20:30:09.65 +60:16:57.9 2000.00  01:33 1.422  WFC  249.9  180  i                                
 505249 UGC11583 I       20:32:20.34 +60:23:57.9 2000.00  01:39 1.412  WFC  249.9  180  i                                
 505251 UGC11583 I       20:31:03.51 +60:17:32.8 2000.00  01:46 1.390  WFC  250.0  180  i                                
 505252 UGC11583 I       20:31:18.63 +60:34:28.4 2000.00  01:52 1.378  WFC  249.9  180  i                                
 505253 UGC11583 I       20:30:34.61 +60:20:01.8 2000.00  01:58 1.359  WFC  249.5  180  i                                
 505254 UGC11583 I       20:31:47.51 +60:31:59.6 2000.00  02:04 1.350  WFC  249.9  180  i                                
 505255 UGC11583 I       20:30:05.72 +60:22:30.8 2000.00  02:10 1.331  WFC  249.9  180  i                                
 505256 UGC11583 I       20:29:40.77 +60:19:27.0 2000.00  02:16 1.317  WFC  249.9  180  i                                
 505257 UGC11583 I       20:32:16.41 +60:29:30.5 2000.00  02:22 1.312  WFC  249.9  180  i                                
 505258 UGC11583 I       20:29:36.83 +60:24:59.6 2000.00  02:28 1.295  WFC  249.9  180  i                                
 505259 UGC11583 I       20:30:51.71 +60:34:11.1 2000.00  02:34 1.288  WFC  249.9  180  i                                
 505260 UGC11583 I       20:31:20.60 +60:31:42.1 2000.00  02:40 1.278  WFC  249.9  180  i                                
 505261 UGC11583 B       20:30:39.19 +60:12:37.1 2000.00  02:46 1.259  WFC  599.8  180  B                                
 505262 UGC11583 B       20:29:53.23 +60:38:13.2 2000.00  02:58 1.246  WFC  599.8  180  B                                
 505263 UGC11583 B       20:30:30.00 +60:25:34.1 2000.00  03:10 1.229  WFC  599.7  180  B                                
 505264 UGC11583 B       20:31:00.67 +60:21:33.0 2000.00  03:22 1.216  WFC  599.2  180  B                                
 505265 UGC11583 B       20:29:59.34 +60:29:35.3 2000.00  03:34 1.205  WFC  599.7  180  B                                
 505266 UGC11583 B       20:31:46.68 +60:35:05.6 2000.00  03:46 1.200  WFC  401.7  180  B                                
 505267 UGC11583 B       20:31:16.02 +60:39:06.9 2000.00  03:55 1.195  WFC  299.6  180  B                                
 505268 UGC11583 B       20:31:52.79 +60:26:27.7 2000.00  04:02 1.189  WFC  299.9  180  B                                
 505269 UGC11583 B       20:30:05.46 +60:20:57.1 2000.00  04:09 1.183  WFC  300.0  180  B                                
 505270 UGC11583 B       20:31:22.14 +60:30:28.9 2000.00  04:16 1.182  WFC  299.9  180  B                                
 505271 UGC11583 B       20:30:36.13 +60:16:56.1 2000.00  04:23 1.177  WFC  300.0  180  B                                
 505272 UGC11583 B       20:30:51.47 +60:34:29.9 2000.00  04:29 1.179  WFC  299.9  180  B                                
 505273 UGC11583 B       20:31:06.79 +60:12:55.0 2000.00  04:37 1.173  WFC  299.3  180  B                                
 505276 calib7 B 20      21:42:40.99 +00:16:07.6 2000.00  04:46 1.206  WFC   20.1  180  B                                dome was not yet in position
 505277 calib7 B 5       21:42:41.00 +00:16:07.9 2000.00  04:47 1.204  WFC    5.1  180  B                                
 505278 calib7 B 3       21:42:41.00 +00:16:08.0 2000.00  04:48 1.203  WFC    3.1  180  B                                
 505279 calib7 B 20      21:42:40.99 +00:16:08.0 2000.00  04:49 1.201  WFC   20.1  180  B                                
 505280 calib7 I 20      21:42:41.00 +00:16:08.0 2000.00  04:50 1.199  WFC   19.6  180  i                                
 505281 calib7 I 5       21:42:41.00 +00:16:07.9 2000.00  04:51 1.198  WFC    5.1  180  i                                
 505282 calib7 I 3       21:42:40.99 +00:16:07.9 2000.00  04:51 1.196  WFC    3.1  180  i                                
