INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 09 30 07:44

TELESCOPE             INT
DATE                  20060929
OBSERVER/S            Yogesh Joshi
PROGRAMME             Eclipsing binaries in nearby galaxies
PROPOSAL REF          P3
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.62
INSTRUMENT/S          WFC

SUNSET (UT)           19:08
EVENING TWILIGHT (UT) 20:19
MORNING TWILIGHT (UT) 05:45
SUNRISE (UT)          06:57
%ILLUM. LUNAR DISK    45
DARK TIME (HRS)       09:26
TWILIGHT TIME (HRS)   02:23
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          23:39

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  10.9   47    13.6  15.4  293   773.1   10.9  16.1    16.2   47    39 
21:00  10.9   45    21.7  23.4  298   773.5   10.9  12.6    15.6   45    40 
22:00  10.5   56    29.3  31.7  296   773.7   10.5  12.0    15.4   56    53 
23:00  10.5   57    31.6  33.7  302   773.9   10.5  11.6    15.1   57    56 
00:00  10.5   54    34.0  35.2  294   773.7   10.5  11.8    15.2   54    52 
01:00   9.9   45    32.3  33.0  304   773.3    9.9  11.4    14.3   45    43 
02:00   9.8   27    26.0  28.8  312   772.8    9.8  11.0    14.6   27    28 
03:00   9.8   39    29.2  33.0  337   772.6    9.8  10.6    14.4   39    37 
04:00   9.7   42    24.0  27.1  334   772.5    9.7  10.6    14.3   42    41 
05:00   9.7   48    23.0  26.7  318   772.2    9.7  10.6    13.9   48    46 
06:00   9.6   48    19.5  20.9  331   772.1    9.6  10.6    13.4   48    47 

TIME LOST weather           03:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
cloud in the first half of night, typical seeing during the night was 1.2-1.5 arcsec.

COMMENTS (causes of time lost, setup information eg CCD windows):
three hours lost due to bad weather



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 527494 Bias              0:00:00.00 +00:00:00.0 2006.744 14:35 1.000  WFC    0.0  180  V                                test bias
 527555 IC1613            1:04:54.19 +02:07:59.9 2000.00  04:23 1.481  WFC  499.8  180  B                                
 527556 IC1613            1:04:54.20 +02:07:59.9 2000.00  04:32 1.533  WFC  499.8  180  B                                
 527557 IC1613            1:04:54.19 +02:07:59.9 2000.00  04:41 1.592  WFC  499.3  180  B                                
 527558 IC1613            1:04:54.19 +02:08:00.0 2000.00  04:50 1.658  WFC  499.8  180  B                                
 527559 IC1613            1:04:54.20 +02:07:59.9 2000.00  04:59 1.734  WFC  499.3  180  B                                
 527560 IC1613            1:04:54.20 +02:07:59.9 2000.00  05:08 1.819  WFC  499.7  180  B                                
 527561 NGC2403           7:36:50.60 +65:36:09.6 2000.00  05:21 1.416  WFC  299.9  180  B                                
 527562 NGC2403           7:36:50.61 +65:36:09.6 2000.00  05:26 1.405  WFC  299.9  180  B                                
 527563 NGC2403           7:36:50.61 +65:36:09.4 2000.00  05:32 1.393  WFC  299.9  180  B                                
 527564 NGC2403           7:36:50.61 +65:36:09.6 2000.00  05:38 1.383  WFC  299.9  180  B                                
 527565 NGC2403           7:36:50.61 +65:36:09.6 2000.00  05:43 1.372  WFC  299.9  180  B                                
 527566 NGC2403           7:36:50.61 +65:36:09.5 2000.00  05:49 1.363  WFC  299.9  180  B                                
 527567 NGC2403           7:36:50.60 +65:36:09.6 2000.00  05:54 1.353  WFC  299.9  180  B                                
 527568 NGC2403           7:36:50.60 +65:36:09.6 2000.00  06:00 1.344  WFC  299.9  180  B                                
 527569 Bias              7:36:50.61 +65:36:09.5 2000.00  06:06 1.339  WFC    0.0  180  B                                
 527570 Bias              7:36:50.61 +65:36:09.6 2000.00  06:06 1.338  WFC    0.0  180  B                                
 527571 Bias              7:36:50.60 +65:36:09.5 2000.00  06:07 1.337  WFC    0.0  180  B                                
 527572 Bias              7:36:50.61 +65:36:09.6 2000.00  06:08 1.337  WFC    0.0  180  B                                
 527573 Bias              7:36:50.61 +65:36:09.6 2000.00  06:08 1.336  WFC    0.0  180  B                                
 527574 Bias              7:36:50.60 +65:36:09.5 2000.00  06:09 1.335  WFC    0.0  180  B                                
 527575 Bias              7:36:50.61 +65:36:09.6 2000.00  06:09 1.334  WFC    0.0  180  B                                
 527576 Bias              7:36:50.60 +65:36:09.5 2000.00  06:10 1.333  WFC    0.0  180  B                                
 527577 Bias              7:36:50.61 +65:36:09.5 2000.00  06:11 1.332  WFC    0.0  180  B                                
 527578 Bias              7:36:50.61 +65:36:09.5 2000.00  06:11 1.332  WFC    0.0  180  B                                
 527579 Flat field        5:55:59.99 +04:08:59.9 2000.00  06:30 1.100  WFC   50.1  180  B                                
 527580 Flat field        5:56:00.00 +04:09:19.8 2000.00  06:32 1.100  WFC   35.1  180  B                                
 527581 Flat field        5:56:01.34 +04:09:20.0 2000.00  06:33 1.100  WFC   25.1  180  B                                
 527582 Flat field        5:56:01.33 +04:09:00.1 2000.00  06:35 1.100  WFC   18.1  180  B                                
 527583 Flat field        5:56:01.33 +04:08:39.8 2000.00  06:36 1.100  WFC   12.1  180  B                                
 527584 Flat field        5:55:58.66 +04:08:39.9 2000.00  06:37 1.100  WFC    8.1  180  B                                
 527585 Flat field        5:55:59.99 +04:08:40.0 2000.00  06:38 1.100  WFC    6.1  180  B                                
 527586 Flat field        5:56:00.00 +04:08:40.1 2000.00  06:39 1.100  WFC    5.1  180  B                                
 527587 Flat field        5:55:59.99 +04:08:40.0 2000.00  06:40 1.100  WFC    4.1  180  B                                
 527588 Flat field        5:55:59.99 +04:08:39.9 2000.00  06:41 1.101  WFC    4.1  180  B                                
