 447374 qso1156 120 s g  11:59:31.90 +29:14:43.8 2000.00  23:14 1.002  WFC  119.5  180  g                                
 447375 qso1156 120 s g  11:59:31.90 +29:14:43.7 2000.00  23:16 1.003  WFC  120.0  180  g                                
 447376 qso1156 120 s i  11:59:31.90 +29:14:43.7 2000.00  23:19 1.003  WFC  120.1  180  i                                
 447377 qso1156 120 s i  11:59:31.89 +29:14:43.8 2000.00  23:22 1.004  WFC  120.0  180  i                                
 447378 2004dw-24042005   9:25:19.38 -03:28:58.7 2000.00  23:27 1.725  WFC  180.0  180  r                                
 447379 macholz 300s i   12:03:59.70 +64:27:20.9 2000.00  23:34 1.236  WFC  299.8  180  i                                
 447380 macholz 1s r     12:03:59.73 +64:27:12.7 2000.00  23:40 1.238  WFC    1.0  180  r                                
 447381 macholz 2s r     12:03:59.74 +64:27:11.5 2000.00  23:41 1.238  WFC    2.1  180  r                                
 447382 macholz 4s r     12:03:59.74 +64:27:10.4 2000.00  23:42 1.238  WFC    4.1  180  r                                
 447383 macholz 6s r     12:03:59.74 +64:27:09.2 2000.00  23:43 1.239  WFC    5.5  180  r                                
 447384 macholz 8s r     12:03:59.75 +64:27:08.0 2000.00  23:43 1.239  WFC    7.5  180  r                                
 447385 macholz 12s r    12:03:59.75 +64:27:06.6 2000.00  23:45 1.240  WFC   12.1  180  r                                
 447386 macholz 16s r    12:03:59.76 +64:27:05.3 2000.00  23:46 1.240  WFC   16.1  180  r                                
 447387 macholz 25s r    12:03:59.77 +64:27:03.6 2000.00  23:47 1.241  WFC   25.1  180  r                                
 447388 macholz 30s r    12:03:59.77 +64:27:01.8 2000.00  23:48 1.241  WFC   30.1  180  r                                
 447389 macholz 12s r    12:03:59.78 +64:27:00.1 2000.00  23:49 1.242  WFC   12.1  180  r                                
 447390 2004dw-24042005   9:25:19.37 -03:28:58.7 2000.00  23:53 1.980  WFC  128.5  180  r                                
 447391 2004dw-24042005   9:25:19.37 -03:28:58.8 2000.00  23:57 2.036  WFC  180.0  180  r                                
 447392 2004dw-24042005   9:25:19.37 -03:28:58.6 2000.00  00:01 2.092  WFC  180.0  180  r                                
 447393 2004dw-24042005   9:25:19.37 -03:28:58.7 2000.00  00:05 2.144  WFC  180.0  180  r                                
 447394 tuboo R 1s       14:04:59.00 +29:59:59.7 2000.00  00:12 1.020  WFC    1.0  180  r                                
