 568050 field23          18:17:59.00 +07:35:40.9 2000.00  23:22 1.273  WFC   29.5  180  CLEAR                            
 568051 field23          18:17:59.00 +07:35:40.9 2000.00  23:23 1.270  WFC   30.1  180  CLEAR                            
 568052 field23          18:17:59.00 +07:35:40.9 2000.00  23:24 1.266  WFC   30.1  180  CLEAR                            
 568053 field23          18:17:58.99 +07:35:40.9 2000.00  23:25 1.263  WFC   30.1  180  CLEAR                            
 568054 field23          18:17:59.00 +07:35:41.0 2000.00  23:26 1.260  WFC   29.5  180  CLEAR                            
 568055 field23          18:17:58.99 +07:35:41.0 2000.00  23:27 1.257  WFC   30.1  180  CLEAR                            
 568056 field23          18:17:59.00 +07:35:41.0 2000.00  23:28 1.253  WFC   30.1  180  CLEAR                            
 568057 field23          18:17:58.99 +07:35:41.0 2000.00  23:29 1.250  WFC   30.1  180  CLEAR                            
 568058 field23          18:17:58.99 +07:35:40.9 2000.00  23:30 1.247  WFC   30.1  180  CLEAR                            
 568059 field23          18:17:59.00 +07:35:41.0 2000.00  23:31 1.244  WFC   30.1  180  CLEAR                            
 568060 field23          18:17:59.00 +07:35:41.0 2000.00  23:32 1.241  WFC   29.5  180  CLEAR                            
 568061 field23          18:17:59.00 +07:35:41.0 2000.00  23:33 1.238  WFC   30.1  180  CLEAR                            
 568062 field23          18:17:59.00 +07:35:41.0 2000.00  23:34 1.235  WFC   30.1  180  CLEAR                            
 568063 field23          18:17:59.00 +07:35:41.0 2000.00  23:35 1.232  WFC   30.1  180  CLEAR                            
 568064 field23          18:17:58.99 +07:35:41.0 2000.00  23:36 1.229  WFC   30.1  180  CLEAR                            
 568065 field23          18:17:59.00 +07:35:40.9 2000.00  23:37 1.226  WFC   30.1  180  CLEAR                            
 568066 field23          18:17:59.00 +07:35:41.0 2000.00  23:38 1.223  WFC   30.1  180  CLEAR                            
 568067 field23          18:17:59.00 +07:35:40.9 2000.00  23:39 1.220  WFC   30.0  180  CLEAR                            
 568068 field23          18:17:59.00 +07:35:41.0 2000.00  23:40 1.218  WFC   29.5  180  CLEAR                            
 568069 field23          18:17:59.00 +07:35:41.0 2000.00  23:41 1.215  WFC   30.1  180  CLEAR                            
 568070 field23          18:17:58.99 +07:35:40.9 2000.00  23:42 1.212  WFC   30.1  180  CLEAR                            
 568071 field23          18:17:59.00 +07:35:41.0 2000.00  23:43 1.210  WFC   30.1  180  CLEAR                            
 568072 field23          18:17:59.00 +07:35:40.9 2000.00  23:44 1.207  WFC   30.1  180  CLEAR                            
 568073 field23          18:17:59.00 +07:35:40.9 2000.00  23:45 1.204  WFC   30.1  180  CLEAR                            
 568074 field23          18:17:59.00 +07:35:40.9 2000.00  23:46 1.202  WFC   30.1  180  CLEAR                            
 568075 field23          18:17:58.99 +07:35:41.0 2000.00  23:47 1.199  WFC   29.5  180  CLEAR                            
 568076 field23          18:17:59.00 +07:35:41.0 2000.00  23:48 1.197  WFC   30.0  180  CLEAR                            
 568077 field23          18:17:58.99 +07:35:41.0 2000.00  23:49 1.194  WFC   30.1  180  CLEAR                            
 568078 field23          18:17:59.00 +07:35:40.9 2000.00  23:50 1.192  WFC   30.1  180  CLEAR                            
 568079 field23          18:17:59.00 +07:35:41.0 2000.00  23:51 1.189  WFC   30.1  180  CLEAR                            
 568080 field23          18:17:58.99 +07:35:41.0 2000.00  23:52 1.187  WFC   29.5  180  CLEAR                            
 568081 field23          18:17:59.01 +07:35:41.0 2000.00  23:54 1.184  WFC   30.1  180  CLEAR                            
 568082 field23          18:17:58.99 +07:35:40.9 2000.00  23:55 1.182  WFC   30.1  180  CLEAR                            
 568083 field23          18:17:58.99 +07:35:40.9 2000.00  23:56 1.180  WFC   30.1  180  CLEAR                            
 568084 field23          18:17:59.00 +07:35:41.0 2000.00  23:57 1.177  WFC   29.5  180  CLEAR                            
 568085 field 23 U       18:17:59.00 +07:35:41.0 2000.00  23:58 1.170  WFC  240.0  180  U                                
 568086 field 23 g       18:17:59.00 +07:35:41.0 2000.00  00:03 1.162  WFC  119.5  180  g                                
 568087 field 23 r       18:17:59.00 +07:35:40.9 2000.00  00:05 1.157  WFC  120.1  180  r                                
 568088 SA107 r          15:39:18.00 -00:15:46.9 2000.00  00:10 1.201  WFC   12.1  180  r                                
 568089 SA107 g          15:39:17.99 -00:15:47.0 2000.00  00:11 1.202  WFC   12.1  180  g                                
 568090 SA107 g          15:39:18.00 -00:15:46.9 2000.00  00:12 1.204  WFC    4.1  180  g                                
 568091 SA107 r          15:39:17.99 -00:15:47.0 2000.00  00:13 1.205  WFC    4.1  180  r                                
 568092 SA107 U          15:39:17.99 -00:15:47.0 2000.00  00:13 1.206  WFC   20.1  180  U                                
 568093 field24          18:18:18.00 +06:31:14.9 2000.00  00:24 1.133  WFC  239.9  180  U                                
 568094 field24 g        18:18:18.00 +06:31:14.9 2000.00  00:28 1.128  WFC  120.0  180  g                                
 568095 field24 r        18:18:17.99 +06:31:14.9 2000.00  00:31 1.124  WFC  120.0  180  r                                
 568096 field24 clear    18:18:17.99 +06:31:14.9 2000.00  00:34 1.121  WFC   30.0  180  CLEAR                            
 568097 field24 clear    18:18:18.00 +06:31:14.9 2000.00  00:35 1.120  WFC   30.1  180  CLEAR                            
 568098 field24 clear    18:18:18.00 +06:31:14.9 2000.00  00:36 1.119  WFC   30.1  180  CLEAR                            
 568099 field24 clear    18:18:18.00 +06:31:15.0 2000.00  00:37 1.117  WFC   30.1  180  CLEAR                            
 568100 field24 clear    18:18:17.99 +06:31:15.0 2000.00  00:38 1.116  WFC   30.1  180  CLEAR                            
 568101 field24 clear    18:18:18.00 +06:31:14.9 2000.00  00:39 1.115  WFC   30.0  180  CLEAR                            
 568102 field24 clear    18:18:17.99 +06:31:15.0 2000.00  00:40 1.114  WFC   30.1  180  CLEAR                            
 568103 field24 clear    18:18:18.00 +06:31:15.0 2000.00  00:41 1.113  WFC   30.1  180  CLEAR                            
 568104 field24 clear    18:18:18.00 +06:31:14.9 2000.00  00:42 1.111  WFC   30.1  180  CLEAR                            
 568105 field24 clear    18:18:17.99 +06:31:15.0 2000.00  00:43 1.110  WFC   30.1  180  CLEAR                            
 568106 field24 clear    18:18:18.00 +06:31:14.9 2000.00  00:44 1.109  WFC   30.1  180  CLEAR                            
 568107 field24 clear    18:18:17.99 +06:31:15.0 2000.00  00:45 1.108  WFC   30.1  180  CLEAR                            
