 488691 corot1 b 20       6:45:06.00 +00:47:38.0 2000.00  22:44 1.466  WFC   19.5  180  stromgren b                      
 488692 corot1 y 20       6:45:06.00 +00:47:38.1 2000.00  22:45 1.458  WFC   20.1  180  stromgren y                      
 488693 corot2 r 5        6:42:36.00 +00:46:34.0 2000.00  22:48 1.434  WFC    5.1  180  r                                
 488694 corot2 ha 60      6:42:36.00 +00:46:33.9 2000.00  22:49 1.426  WFC   60.1  180  Halpha                           
 488695 corot2 u 80       6:42:36.00 +00:46:34.0 2000.00  22:51 1.416  WFC   80.0  180  stromgren u                      
 488696 corot2 v 40       6:42:36.00 +00:46:34.0 2000.00  22:53 1.406  WFC   40.1  180  stromgren v                      
 488697 corot2 b 20       6:42:36.00 +00:46:34.0 2000.00  22:55 1.400  WFC   20.1  180  stromgren b                      
 488698 corot2 y 20       6:42:36.00 +00:46:34.2 2000.00  22:56 1.393  WFC   20.1  180  stromgren y                      
 488699 corot3 r 5        6:45:11.00 +00:08:37.9 2000.00  22:59 1.403  WFC    5.1  180  r                                
 488700 corot3 ha 60      6:45:10.99 +00:08:38.2 2000.00  23:01 1.395  WFC   60.1  180  Halpha                           
 488701 corot3 u 80       6:45:10.99 +00:08:38.0 2000.00  23:03 1.385  WFC   80.0  180  stromgren u                      
 488702 corot3 v 40       6:45:10.99 +00:08:37.9 2000.00  23:05 1.377  WFC   40.1  180  stromgren v                      
 488703 corot3 b 20       6:45:11.00 +00:08:38.0 2000.00  23:07 1.371  WFC   20.1  180  stromgren b                      
 488704 corot3 y 20       6:45:10.99 +00:08:38.0 2000.00  23:08 1.366  WFC   20.1  180  stromgren y                      
 488705 corot4 r 5        6:42:40.00 +00:07:26.0 2000.00  23:11 1.347  WFC    5.1  180  r                                
 488706 corot4 ha 60      6:42:40.00 +00:07:26.0 2000.00  23:12 1.341  WFC   60.1  180  Halpha                           
 488707 corot4 u 80       6:42:39.99 +00:07:26.0 2000.00  23:14 1.331  WFC   80.0  180  stromgren u                      
 488708 corot4 v 40       6:42:40.00 +00:07:26.0 2000.00  23:17 1.325  WFC   40.0  180  stromgren v                      
 488709 corot4 b 20       6:42:39.99 +00:07:26.0 2000.00  23:18 1.320  WFC   19.6  180  stromgren b                      
 488710 corot4 y 20       6:42:39.99 +00:07:25.9 2000.00  23:20 1.315  WFC   20.1  180  stromgren y                      
 488711 corot5 r 5        6:45:15.99 -00:33:00.0 2000.00  23:22 1.325  WFC    5.1  180  r                                
 488712 corot5 ha 60      6:45:16.00 -00:33:00.2 2000.00  23:23 1.320  WFC   60.1  180  Halpha                           
 488713 corot5 u 80       6:45:16.00 -00:33:00.0 2000.00  23:25 1.313  WFC   80.0  180  stromgren u                      
 488714 corot5 v 40       6:45:15.99 -00:33:00.0 2000.00  23:28 1.307  WFC   40.1  180  stromgren v                      
 488715 corot5 b 20       6:45:16.00 -00:33:00.0 2000.00  23:29 1.303  WFC   20.1  180  stromgren b                      
 488716 corot5 y 20       6:45:16.00 -00:32:59.8 2000.00  23:30 1.299  WFC   20.1  180  stromgren y                      
 488717 corot6 r 5        6:42:45.99 -00:34:40.0 2000.00  23:34 1.283  WFC    5.1  180  r                                
 488718 corot6 ha 60      6:42:46.00 -00:34:39.9 2000.00  23:35 1.279  WFC   60.1  180  Halpha                           
 488719 corot6 u 80       6:42:46.00 -00:34:40.0 2000.00  23:37 1.273  WFC   80.0  180  stromgren u                      
 488720 corot6 v 40       6:42:46.00 -00:34:40.0 2000.00  23:39 1.268  WFC   39.6  180  stromgren v                      
 488721 corot6 b 20       6:42:46.00 -00:34:40.0 2000.00  23:40 1.264  WFC   20.0  180  stromgren b                      
 488722 corot6 y 20       6:42:46.00 -00:34:40.0 2000.00  23:42 1.260  WFC   19.6  180  stromgren y                      
 488723 corot7 r 5        6:45:22.99 -01:13:26.0 2000.00  23:46 1.267  WFC    5.1  180  r                                
 488724 corot7 ha 60      6:45:22.99 -01:13:26.0 2000.00  23:47 1.263  WFC   60.1  180  Halpha                           
