 444151 v139 Ha          12:47:20.90 +07:30:00.0 2000.00  01:36 1.075  WFC 1199.4  180  Halpha                           
 444152 v140 R           12:49:26.00 +07:30:00.0 2000.00  01:58 1.080  WFC  300.0  180  R                                
 444153 v140 Ha          12:49:26.00 +07:29:59.9 2000.00  02:04 1.083  WFC  399.8  180  Halpha                           
 444154 v140 Ha          12:49:26.00 +07:30:00.0 2000.00  02:11 1.089  WFC  399.3  180  Halpha                           
 444155 v140 Ha          12:49:25.99 +07:30:00.1 2000.00  02:18 1.095  WFC  399.8  180  Halpha                           
 444156 pg1323-085 R     13:25:39.39 -08:49:19.9 2000.00  02:27 1.265  WFC    3.5  180  R                                
 444157 v162 R           12:11:53.00 +08:10:00.0 2000.00  02:30 1.161  WFC  299.9  180  R                                
 444158 v163 R           12:13:58.19 +08:10:00.0 2000.00  02:37 1.172  WFC  299.8  180  R                                
 444159 v164 R           12:16:03.50 +08:10:00.0 2000.00  02:45 1.184  WFC  299.4  180  R                                
 444160 v165 R           12:18:08.80 +08:10:00.1 2000.00  02:52 1.197  WFC  299.8  180  R                                
 444161 v166 R           12:20:14.10 +08:10:00.0 2000.00  03:00 1.211  WFC  299.9  180  R                                
 444162 v167 R           12:22:19.30 +08:09:59.9 2000.00  03:07 1.226  WFC  299.9  180  R                                
 444163 v168 R           12:24:24.60 +08:10:00.0 2000.00  03:15 1.244  WFC  299.5  180  R                                
 444164 v169 R           12:26:29.89 +08:10:00.0 2000.00  03:24 1.266  WFC  299.9  180  R                                
 444165 pg1323-085 R     13:25:39.39 -08:49:20.0 2000.00  03:31 1.351  WFC    4.1  180  R                                
 444166 ngc5033 R        13:13:27.50 +36:35:38.0 2000.00  03:34 1.079  WFC  298.9  180  R                                
 444167 ngc5033 Ha       13:13:27.50 +36:35:38.0 2000.00  03:42 1.099  WFC  899.6  180  Halpha                           
 444168 ngc5278 R        13:41:39.60 +55:40:15.0 2000.00  04:00 1.177  WFC  299.9  180  R                                
 444169 ngc5278 SII      13:41:39.59 +55:40:15.0 2000.00  04:07 1.193  WFC  899.5  180  [SII]6725                        
 444170 ngc5777 R        14:51:17.80 +58:58:41.0 2000.00  04:24 1.172  WFC  299.9  180  R                                
 444171 ngc5777 Ha       14:51:17.79 +58:58:41.0 2000.00  04:30 1.175  WFC  300.0  180  Halpha                           
