 458353 9P i'            13:37:04.77 -09:01:34.2 2000.00  23:58 2.636  WFC   20.1  180  i                                
 458354 9P O+            13:37:04.77 -09:01:34.2 2000.00  23:59 2.668  WFC   20.1  180  [OII]3727                        
 458355 9P V             13:37:04.77 -09:01:34.2 2000.00  00:00 2.699  WFC   20.1  180  V                                
 458356 9P U             13:37:02.08 -09:03:14.4 2000.00  00:03 2.757  WFC   20.1  180  U                                
 458357 9P B             13:37:02.08 -09:03:14.3 2000.00  00:04 2.791  WFC   20.1  180  B                                
 458358 9P r'            13:37:02.08 -09:03:14.3 2000.00  00:05 2.826  WFC   20.1  180  r                                
 458359 9P i'            13:37:02.08 -09:03:14.3 2000.00  00:07 2.863  WFC   20.0  180  i                                
 458361 9P V              0:00:00.00 +00:00:00.0 2000.00  00:09 2.916  WFC   20.1  180  V                                at low pointing limit
 458362 75P r'           19:22:17.69 -19:52:06.7 2000.00  00:17 1.672  WFC   75.0  180  r                                
 458363 75P r'           19:22:17.69 -19:52:06.7 2000.00  00:23 1.650  WFC   75.0  180  r                                
 458364 75P r'           19:22:18.04 -19:51:56.8 2000.00  00:25 1.643  WFC   75.0  180  r                                
 458365 P2001X2 r'       17:59:31.26 -20:46:35.3 2000.00  00:31 1.539  WFC   79.5  180  r                                no stars
 458366 test             17:59:31.25 -20:46:35.3 2000.00  00:35 1.540  WFC    5.1  180  r                                
 458367 test             17:59:31.25 -20:46:35.3 2000.00  00:37 1.541  WFC    5.1  180  r                                
 458368 P2001X2 r'       17:59:31.61 -20:46:30.5 2000.00  00:39 1.542  WFC   80.0  180  r                                
 458369 P2001X2 r'       17:59:30.89 -20:46:45.5 2000.00  00:41 1.544  WFC   80.1  180  r                                
 458370 STD PG1657 U     17:01:02.82 +07:43:24.3 2000.00  00:50 1.139  WFC   49.6  180  U                                
 458371 STD PG1657 B     17:01:02.82 +07:43:24.2 2000.00  00:54 1.146  WFC   50.1  180  B                                
 458372 STD PG1657 V     17:01:02.82 +07:43:24.2 2000.00  00:56 1.150  WFC   50.1  180  V                                
 458373 STD MARK U       20:45:30.62 -10:47:41.1 2000.00  01:02 1.569  WFC   50.1  180  U                                
 458374 STD MARK B       20:45:30.61 -10:47:41.1 2000.00  01:04 1.560  WFC   50.1  180  B                                
 458375 STD MARK V       20:45:30.62 -10:47:41.1 2000.00  01:06 1.551  WFC   50.1  180  V                                
 458376 STD SA112_223 r' 20:43:43.99 +00:08:59.9 2000.00  01:12 1.307  WFC    5.1  180  r                                
