 489399 IC2179 U 360_5    7:15:33.99 +64:55:12.0 2000.00  01:41 1.238  WFC  359.8  180  U                                
 489400 RU-149B           7:24:17.59 -00:33:04.8 2000.00  01:50 1.147  WFC   59.6  180  U                                landolt
 489401 RU-149B B         7:24:17.59 -00:33:04.9 2000.00  01:53 1.147  WFC   29.6  180  B                                
 489402 RU-149B B         7:24:17.59 -00:33:04.9 2000.00  01:55 1.148  WFC   10.1  180  B                                
 489403 RU-149B V         7:24:17.59 -00:33:04.9 2000.00  01:56 1.148  WFC    5.1  180  V                                
 489404 RU-149B R         7:24:17.60 -00:33:05.0 2000.00  01:58 1.148  WFC    3.1  180  R                                
 489405 RU-149B I         7:24:17.60 -00:33:04.9 2000.00  01:59 1.149  WFC    3.1  180  I                                
 489406 NGC2749 U 360_1   9:05:21.00 +18:18:47.1 2000.00  02:02 1.073  WFC  359.8  180  U                                
 489407 NGC2749 U 360_2   9:05:21.00 +18:18:47.0 2000.00  02:09 1.063  WFC  359.8  180  U                                
 489408 NGC2749 U 360_3   9:05:21.00 +18:18:46.9 2000.00  02:17 1.054  WFC  359.9  180  U                                
 489409 NGC2749 U 360_4   9:05:21.00 +18:18:47.0 2000.00  02:24 1.047  WFC  359.9  180  U                                
 489410 NGC2749 U 360_5   9:05:20.99 +18:18:46.8 2000.00  02:31 1.040  WFC  359.9  180  U                                
 489411 NGC2810 U 360_1   9:22:05.00 +71:50:37.9 2000.00  02:45 1.383  WFC  359.9  180  U                                
 489412 NGC2810 U 360_2   9:22:05.00 +71:50:38.0 2000.00  02:52 1.379  WFC  359.4  180  U                                
 489413 NGC2810 U 360_3   9:22:04.99 +71:50:37.9 2000.00  02:59 1.376  WFC  359.9  180  U                                
 489414 NGC2810 U 360_4   9:22:05.00 +71:50:37.9 2000.00  03:06 1.373  WFC  359.8  180  U                                
 489415 NGC2810 U 360_5   9:22:05.00 +71:50:38.0 2000.00  03:13 1.371  WFC  359.8  180  U                                
 489416 NGC3348 U 360_1  10:47:10.00 +72:50:22.9 2000.00  03:23 1.441  WFC  359.9  180  U                                
 489417 NGC3348 U 360_2  10:47:10.00 +72:50:22.9 2000.00  03:30 1.434  WFC  359.8  180  U                                
 489418 NGC3348 U 360_3  10:47:10.00 +72:50:22.9 2000.00  03:37 1.427  WFC  359.3  180  U                                
 489419 NGC3348 U 360_4  10:47:09.99 +72:50:22.9 2000.00  03:44 1.421  WFC  359.8  180  U                                
 489420 NGC3348 U 360_5  10:47:09.99 +72:50:23.0 2000.00  03:52 1.416  WFC  359.2  180  U                                
 489421 NGC3348 B 240_1  10:47:10.00 +72:50:23.0 2000.00  04:00 1.411  WFC  239.9  180  B                                moved
 489422 NGC3348 B 240_2  10:47:10.00 +72:50:22.9 2000.00  04:05 1.408  WFC  240.0  180  B                                
 489423 NGC3348 B 240_3  10:47:10.00 +72:50:22.9 2000.00  04:10 1.405  WFC  239.9  180  B                                
 489424 NGC3348 B 240_4  10:47:10.00 +72:50:22.9 2000.00  04:16 1.402  WFC  240.0  180  B                                
 489425 NGC3348 B 240_5  10:47:10.00 +72:50:22.9 2000.00  04:21 1.400  WFC  240.0  180  B                                
 489426 0942-029D U       9:45:08.60 -03:05:54.7 2000.00  04:28 1.183  WFC   60.1  180  U                                
