 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 441607 saturn_o3_1       7:29:59.99 +21:53:00.1 2000.00  01:17 1.323  WFC    1.0  180  [OIII]5007                       
 441608 saturn_o3_1       7:29:59.99 +21:53:00.2 2000.00  01:18 1.328  WFC    0.7  180  [OIII]5007                       
 441609 saturn_o3_1       7:30:00.00 +21:53:00.2 2000.00  01:19 1.332  WFC    1.4  180  [OIII]5007                       
 441610 saturn_o3_1       7:30:00.00 +21:52:59.9 2000.00  01:20 1.336  WFC    1.0  180  [OIII]5007                       
 441611 saturn_o3_1       7:30:00.00 +21:52:59.9 2000.00  01:21 1.341  WFC    1.0  180  [OIII]5007                       
 441612 saturn_o3_1       7:29:59.99 +21:53:00.3 2000.00  01:23 1.348  WFC    1.0  180  [OIII]5007                       
 441613 saturn_o3_1       7:29:59.99 +21:53:00.2 2000.00  01:24 1.353  WFC    0.9  180  [OIII]5007                       
 441614 saturn_o3_1       7:30:00.00 +21:53:00.1 2000.00  01:24 1.357  WFC    1.0  180  [OIII]5007                       
 441615 saturn_o3_1       7:29:59.99 +21:53:00.3 2000.00  01:25 1.361  WFC    1.0  180  [OIII]5007                       
 441616 NGC 4038 B 300s  12:01:53.00 -18:52:10.0 2000.00  01:35 1.577  WFC  299.4  180  B                                
 441617 NGC 4038 I 300s  12:01:53.00 -18:52:09.9 2000.00  01:45 1.551  WFC  300.0  180  I                                
 441618 NGC 4038 I 300s  12:01:52.99 -18:52:09.9 2000.00  01:53 1.534  WFC  300.0  180  I                                
 441619 NGC 4038 I 300s  12:01:53.00 -18:52:10.0 2000.00  02:00 1.522  WFC  300.0  180  I                                
 441620 NGC 4038 V 300s  12:01:53.00 -18:52:10.0 2000.00  02:06 1.512  WFC  299.9  180  V                                
 441621 NGC 4038 V 300s  12:01:52.99 -18:52:10.0 2000.00  02:12 1.504  WFC  299.9  180  V                                
 441622 NGC 4038 V 300s  12:01:52.99 -18:52:10.0 2000.00  02:18 1.498  WFC  300.0  180  V                                
 441623 NGC 4038 B 300s  12:01:53.00 -18:52:09.9 2000.00  02:23 1.492  WFC  299.9  180  B                                
 441624 NGC 4038 B 300s  12:01:52.99 -18:52:10.0 2000.00  02:29 1.488  WFC  299.9  180  B                                
 441625 coma_R_10        12:59:00.00 +27:58:00.0 2000.00  02:42 1.031  WFC   10.1  180  R                                
 441626 coma_R_100       12:58:59.99 +27:58:00.0 2000.00  02:45 1.027  WFC  100.0  180  R                                
 441627 coma_R_600       12:59:00.00 +27:58:00.0 2000.00  02:51 1.019  WFC  599.2  180  R                                
 441628 coma_I_600       12:59:00.00 +27:57:59.9 2000.00  03:07 1.009  WFC  599.8  180  I                                
 441629 m81_R_10          9:54:59.99 +69:03:55.0 2000.00  03:39 1.482  WFC   10.1  180  R                                
 441630 m81_B_200         9:55:00.00 +69:03:55.0 2000.00  03:48 1.504  WFC  200.0  180  B                                
 441631 m81_B_60          9:55:00.00 +69:03:54.9 2000.00  03:54 1.517  WFC   60.1  180  B                                
 441632 m81_R_200         9:55:00.00 +69:03:54.9 2000.00  04:10 1.560  WFC  199.4  180  R                                
 441633 m81_R_60          9:54:59.99 +69:03:55.0 2000.00  04:30 1.613  WFC   60.1  180  R                                
 441634 m81_R_200         9:54:59.99 +69:03:55.0 2000.00  04:41 1.650  WFC  199.9  180  R                                
 441635 m81_R_60          9:54:59.99 +69:03:55.0 2000.00  04:46 1.663  WFC   60.1  180  R                                
 441636 m81_B_60          9:55:00.00 +69:03:55.0 2000.00  04:49 1.671  WFC   60.1  180  B                                
 441637 m81_B_200         9:55:00.00 +69:03:54.9 2000.00  04:51 1.682  WFC  199.4  180  B                                
 441638 M82_B_60          9:55:52.00 +69:40:47.0 2000.00  04:57 1.703  WFC   60.1  180  B                                
