 508224 Dol_Dzim6 g      16:45:24.84 +38:20:59.9 2000.00  23:01 1.035  WFC   40.1  180  g                                
 508225 Dol_Dzim6 g      16:45:23.99 +38:21:09.8 2000.00  23:02 1.034  WFC   39.6  180  g                                
 508226 Dol_Dzim6 g      16:45:24.84 +38:21:09.9 2000.00  23:03 1.033  WFC   40.1  180  g                                
 508227 Dol_Dzim6 g      16:45:23.98 +38:21:00.3 2000.00  23:05 1.032  WFC   40.1  180  g                                
 508228 Dol_Dzim6 g      16:45:24.84 +38:20:59.9 2000.00  23:06 1.031  WFC   40.1  180  g                                
 508229 Dol_Dzim6 g      16:45:23.98 +38:21:09.9 2000.00  23:08 1.030  WFC   40.1  180  g                                
 508230 Dol_Dzim6 g      16:45:24.84 +38:21:10.0 2000.00  23:09 1.029  WFC   40.1  180  g                                
 508231 Dol_Dzim6 g      16:45:23.99 +38:21:00.3 2000.00  23:10 1.028  WFC   40.1  180  g                                
 508232 Dol_Dzim6 g      16:45:24.85 +38:20:59.9 2000.00  23:12 1.028  WFC   40.1  180  g                                
 508233 Dol_Dzim6 g      16:45:23.98 +38:21:09.9 2000.00  23:13 1.027  WFC   40.1  180  g                                
 508234 Dol_Dzim6 g      16:45:24.85 +38:21:09.9 2000.00  23:15 1.026  WFC   39.5  180  g                                
 508235 Dol_Dzim6 g      16:45:23.99 +38:21:00.3 2000.00  23:16 1.025  WFC   40.1  180  g                                
 508236 Dol_Dzim6 g      16:45:24.85 +38:21:00.0 2000.00  23:17 1.024  WFC   40.1  180  g                                
 508237 Dol_Dzim6 g      16:45:23.99 +38:21:09.8 2000.00  23:19 1.024  WFC   40.1  180  g                                
 508238 Dol_Dzim6 g      16:45:24.84 +38:21:09.9 2000.00  23:20 1.023  WFC   40.1  180  g                                
 508239 Dol_Dzim6 g      16:45:23.99 +38:21:00.1 2000.00  23:22 1.022  WFC   40.1  180  g                                
 508240 Dol_Dzim6 g      16:45:24.84 +38:21:00.0 2000.00  23:23 1.022  WFC   40.0  180  g                                
 508241 Dol_Dzim6 g      16:45:23.98 +38:21:10.0 2000.00  23:24 1.021  WFC   40.0  180  g                                
 508242 Dol_Dzim6 g      16:45:24.84 +38:21:09.9 2000.00  23:26 1.020  WFC   40.1  180  g                                
 508243 Dol_Dzim6 g      16:45:23.98 +38:21:00.0 2000.00  23:27 1.020  WFC   40.1  180  g                                
 508244 Dol_Dzim6 g      16:45:24.84 +38:20:59.9 2000.00  23:29 1.019  WFC   40.1  180  g                                
 508245 Dol_Dzim6 g      16:45:23.99 +38:21:09.8 2000.00  23:30 1.019  WFC   39.5  180  g                                
 508246 Dol_Dzim6 g      16:45:24.84 +38:21:10.0 2000.00  23:31 1.018  WFC   40.1  180  g                                
 508247 Dol_Dzim6 g      16:45:24.00 +38:21:00.0 2000.00  23:34 1.017  WFC   40.1  180  g                                
 508248 Dol_Dzim6 g      16:45:24.84 +38:20:59.9 2000.00  23:36 1.017  WFC   40.1  180  g                                
 508249 Dol_Dzim6 g      16:45:23.99 +38:21:09.7 2000.00  23:37 1.017  WFC   40.1  180  g                                
 508250 Dol_Dzim6 g      16:45:24.84 +38:21:10.0 2000.00  23:38 1.016  WFC   40.1  180  g                                
 508251 Dol_Dzim6 g      16:45:23.99 +38:21:00.2 2000.00  23:40 1.016  WFC   40.1  180  g                                
 508252 Dol_Dzim6 g      16:45:24.85 +38:21:00.0 2000.00  23:41 1.016  WFC   40.1  180  g                                
 508253 Dol_Dzim6 g      16:45:23.99 +38:21:09.9 2000.00  23:43 1.015  WFC   40.1  180  g                                
 508254 Dol_Dzim6 g      16:45:24.85 +38:21:10.0 2000.00  23:44 1.015  WFC   40.1  180  g                                
 508255 Dol_Dzim6 g      16:45:23.99 +38:21:00.2 2000.00  23:45 1.015  WFC   40.1  180  g                                
 508256 Dol_Dzim6 g      16:45:24.84 +38:20:59.9 2000.00  23:47 1.015  WFC   40.1  180  g                                
 508257 Dol_Dzim6 g      16:45:23.98 +38:21:09.8 2000.00  23:48 1.015  WFC   40.0  180  g                                
 508258 Dol_Dzim6 g      16:45:24.84 +38:21:10.0 2000.00  23:50 1.014  WFC   40.1  180  g                                
 508259 Dol_Dzim6 g      16:45:23.98 +38:21:00.1 2000.00  23:51 1.014  WFC   40.1  180  g                                
 508261 sa110-246 HeI    18:41:50.88 +00:05:08.9 2000.00  23:56 1.303  WFC   30.1  180  HeI 5870                         
 508262 sa110-246 r      18:41:50.87 +00:05:09.0 2000.00  23:58 1.300  WFC   10.1  180  r                                
 508263 sa110-246 U      18:41:50.87 +00:05:09.0 2000.00  23:59 1.296  WFC   30.1  180  U                                
 508264 sa110-246 g      18:41:50.88 +00:05:09.0 2000.00  00:00 1.293  WFC   10.1  180  g                                
 508265 uvex_4141 He1    18:41:32.36 -00:58:00.0 2000.00  00:02 1.299  WFC  120.0  180  HeI 5870                         
 508266 uvex_4141 r      18:41:32.36 -00:57:59.9 2000.00  00:04 1.293  WFC   30.1  180  r                                
 508267 uvex_4141 U      18:41:32.36 -00:57:59.9 2000.00  00:06 1.288  WFC  120.0  180  U                                
 508268 uvex_4141 g      18:41:32.36 -00:58:00.0 2000.00  00:08 1.282  WFC   30.1  180  g                                
 508269 uvex_4141o He1   18:41:52.36 -00:52:59.9 2000.00  00:10 1.276  WFC  119.5  180  HeI 5870                         
 508270 uvex_4141o r     18:41:52.35 -00:53:00.0 2000.00  00:12 1.271  WFC   30.1  180  r                                
 508271 uvex_4141o U     18:41:52.35 -00:52:59.9 2000.00  00:13 1.266  WFC  120.0  180  U                                
 508272 uvex_4141o g     18:41:52.36 -00:53:00.0 2000.00  00:16 1.261  WFC   30.1  180  g                                
 508273 uvex_4153 He1    18:43:01.62 +00:07:59.9 2000.00  00:17 1.246  WFC  119.6  180  HeI 5870                         
 508274 uvex_4153 r      18:43:01.62 +00:08:00.0 2000.00  00:20 1.241  WFC   30.1  180  r                                
 508275 uvex_4153 U      18:43:01.62 +00:08:00.0 2000.00  00:21 1.237  WFC  120.0  180  U                                
 508276 uvex_4153 g      18:43:01.61 +00:08:00.0 2000.00  00:24 1.233  WFC   30.1  180  g                                
 508277 uvex_4154 He1    18:43:03.28 +01:36:00.2 2000.00  00:25 1.211  WFC  120.0  180  HeI 5870                         
 508278 uvex_4154 r      18:43:03.29 +01:36:00.0 2000.00  00:28 1.207  WFC   30.1  180  r                                
 508279 uvex_4154 U      18:43:03.29 +01:35:59.9 2000.00  00:29 1.203  WFC  119.5  180  U                                
 508280 uvex_4154 g      18:43:03.29 +01:36:00.0 2000.00  00:32 1.199  WFC   30.0  180  g                                
 508281 uvex_4182o He1   18:46:18.23 +00:57:00.0 2000.00  00:33 1.209  WFC  120.1  180  HeI 5870                         
 508282 uvex_4182o r     18:46:18.23 +00:56:59.9 2000.00  00:35 1.205  WFC   30.1  180  r                                
 508283 uvex_4182o U     18:46:18.23 +00:57:00.0 2000.00  00:37 1.201  WFC  120.0  180  U                                
 508284 uvex_4182o g     18:46:18.23 +00:57:00.0 2000.00  00:39 1.198  WFC   29.6  180  g                                
 508285 uvex_4183 He1    18:45:59.41 +02:20:00.2 2000.00  00:41 1.178  WFC  120.0  180  HeI 5870                         
 508286 uvex_4183 r      18:45:59.40 +02:19:59.9 2000.00  00:43 1.175  WFC   30.1  180  r                                
 508287 uvex_4183 U      18:45:59.41 +02:19:59.9 2000.00  00:44 1.172  WFC  120.0  180  U                                
 508288 uvex_4183 g      18:45:59.41 +02:20:00.1 2000.00  00:47 1.169  WFC   30.1  180  g                                
 508289 uvex_4183o He1   18:46:19.42 +02:25:00.1 2000.00  00:48 1.165  WFC  120.0  180  HeI 5870                         
 508290 uvex_4183o r     18:46:19.43 +02:25:00.0 2000.00  00:51 1.162  WFC   30.1  180  r                                
 508291 uvex_4183o U     18:46:19.42 +02:25:00.1 2000.00  00:52 1.160  WFC  119.5  180  U                                
 508292 uvex_4183o g      0:00:00.00 +00:00:00.0 2000.00  00:55 1.157  WFC   30.1  180  g                                
 508293 uvex_4188 He1    18:46:40.25 -02:59:00.3 2000.00  00:56 1.219  WFC  120.0  180  HeI 5870                         
 508294 uvex_4188 r      18:46:40.25 -02:58:59.9 2000.00  00:59 1.216  WFC   30.1  180  r                                
 508295 uvex_4188 U      18:46:40.25 -02:58:59.9 2000.00  01:00 1.213  WFC  119.4  180  U                                
 508296 uvex_4188 g      18:46:40.25 -02:58:59.8 2000.00  01:03 1.211  WFC   30.1  180  g                                
 508297 uvex_4188o He1   18:47:00.28 -02:53:59.9 2000.00  01:04 1.208  WFC  120.0  180  HeI 5870                         
 508298 uvex_4188o r     18:47:00.28 -02:54:00.0 2000.00  01:07 1.205  WFC   30.1  180  r                                
 508299 uvex_4188o U     18:47:00.28 -02:53:59.9 2000.00  01:08 1.203  WFC  120.0  180  U                                
 508300 uvex_4188o g     18:47:00.27 -02:53:59.9 2000.00  01:10 1.201  WFC   30.1  180  g                                
 508301 uvex_4189 He1    18:46:40.62 -01:31:00.0 2000.00  01:12 1.181  WFC  120.0  180  HeI 5870                         
 508302 uvex_4189 r      18:46:40.62 -01:30:59.9 2000.00  01:14 1.179  WFC   30.1  180  r                                
 508303 uvex_4189 U      18:46:40.62 -01:31:00.0 2000.00  01:16 1.177  WFC  120.0  180  U                                
 508304 uvex_4189 g      18:46:40.62 -01:31:00.0 2000.00  01:18 1.175  WFC   30.1  180  g                                
 508305 uvex_4189o He1   18:47:00.63 -01:25:59.9 2000.00  01:19 1.172  WFC  120.1  180  HeI 5870                         
 508306 uvex_4189o r     18:47:00.63 -01:25:59.9 2000.00  01:22 1.171  WFC   30.1  180  r                                
 508307 uvex_4189o U     18:47:00.62 -01:26:00.0 2000.00  01:23 1.169  WFC  120.0  180  U                                
 508308 uvex_4189o g     18:47:00.62 -01:26:00.0 2000.00  01:26 1.168  WFC   29.5  180  g                                
 508309 uvex_4190 He1    18:46:41.45 -00:03:00.2 2000.00  01:27 1.150  WFC  120.0  180  HeI 5870                         
 508310 uvex_4190 r      18:46:41.44 -00:03:00.0 2000.00  01:30 1.149  WFC   30.1  180  r                                
 508311 uvex_4190 U      18:46:41.45 -00:03:00.0 2000.00  01:31 1.148  WFC  120.0  180  U                                
 508312 uvex_4190 g      18:46:41.45 -00:03:00.0 2000.00  01:34 1.147  WFC   30.1  180  g                                
 508313 uvex_4190o He1   18:47:01.44 +00:02:00.0 2000.00  01:35 1.145  WFC  120.0  180  HeI 5870                         
 508314 uvex_4190o r     18:47:01.44 +00:01:59.9 2000.00  01:38 1.144  WFC   30.1  180  r                                
 508315 uvex_4190o U     18:47:01.44 +00:02:00.0 2000.00  01:39 1.144  WFC  120.0  180  U                                
 508316 uvex_4190o g     18:47:01.44 +00:01:59.9 2000.00  01:42 1.143  WFC   30.1  180  g                                
 508317 uvex_4191 He1    18:46:42.58 +01:25:00.2 2000.00  01:43 1.128  WFC  120.1  180  HeI 5870                         
 508318 uvex_4191 r      18:46:42.59 +01:24:59.9 2000.00  01:45 1.127  WFC   30.1  180  r                                
 508319 uvex_4191 U      18:46:42.59 +01:24:59.9 2000.00  01:47 1.127  WFC  120.0  180  U                                
 508320 uvex_4191 g      18:46:42.58 +01:24:59.9 2000.00  01:49 1.126  WFC   30.1  180  g                                
 508321 uvex_4191o He1   18:47:02.60 +01:30:00.0 2000.00  01:50 1.125  WFC  120.0  180  HeI 5870                         
 508322 uvex_4191o r     18:47:02.60 +01:29:59.9 2000.00  01:53 1.125  WFC   29.5  180  r                                
 508323 uvex_4191o U     18:47:02.60 +01:29:59.9 2000.00  01:54 1.125  WFC  120.0  180  U                                
 508324 uvex_4191o g     18:47:02.58 +01:30:00.0 2000.00  01:57 1.125  WFC   30.1  180  g                                
 508325 sa110-246 HeI    18:41:50.88 +00:05:09.0 2000.00  01:59 1.140  WFC   30.1  180  HeI 5870                         
 508326 sa110-246 r      18:41:50.88 +00:05:09.0 2000.00  02:01 1.140  WFC   10.1  180  r                                
 508327 sa110-246 U      18:41:50.88 +00:05:09.0 2000.00  02:02 1.140  WFC   30.0  180  U                                
 508328 sa110-246 g      18:41:50.87 +00:05:09.0 2000.00  02:03 1.141  WFC   10.1  180  g                                
 508329 uvex_6164 He1    20:46:14.94 +44:29:59.4 2000.00  02:07 1.120  WFC  120.0  180  HeI 5870                         
 508330 uvex_6164 r      20:46:14.93 +44:29:59.4 2000.00  02:09 1.117  WFC   30.1  180  r                                
 508331 uvex_6164 U      20:46:14.94 +44:29:59.5 2000.00  02:10 1.114  WFC  120.0  180  U                                
 508332 uvex_6164 g      20:46:14.93 +44:29:59.5 2000.00  02:13 1.111  WFC   29.5  180  g                                
 508333 uvex_6164o He1   20:46:43.02 +44:34:59.5 2000.00  02:14 1.109  WFC  120.0  180  HeI 5870                         
 508334 uvex_6164o r     20:46:43.02 +44:34:59.5 2000.00  02:17 1.107  WFC   30.1  180  r                                
 508335 uvex_6164o U     20:46:43.01 +44:34:59.5 2000.00  02:18 1.104  WFC  119.4  180  U                                
 508336 uvex_6164o g     20:46:43.01 +44:34:59.4 2000.00  02:21 1.101  WFC   30.1  180  g                                
 508337 uvex_6165 He1    20:46:18.92 +36:14:59.3 2000.00  02:22 1.071  WFC  120.0  180  HeI 5870                         
 508338 uvex_6165 r      20:46:18.93 +36:14:59.7 2000.00  02:25 1.069  WFC   30.1  180  r                                
 508339 uvex_6165 U      20:46:18.93 +36:14:59.6 2000.00  02:26 1.066  WFC  120.0  180  U                                
 508340 uvex_6165 g      20:46:18.93 +36:14:59.7 2000.00  02:29 1.064  WFC   30.1  180  g                                
 508341 uvex_6165o He1   20:46:43.76 +36:19:59.6 2000.00  02:30 1.062  WFC  120.0  180  HeI 5870                         
 508342 uvex_6165o r     20:46:43.76 +36:19:59.7 2000.00  02:33 1.059  WFC   30.1  180  r                                
 508343 uvex_6165o U     20:46:43.75 +36:19:59.7 2000.00  02:34 1.057  WFC  120.0  180  U                                
 508344 uvex_6165o g     20:46:43.75 +36:19:59.7 2000.00  02:37 1.055  WFC   29.5  180  g                                
 508345 uvex_6166 He1    20:46:20.44 +41:33:59.7 2000.00  02:38 1.067  WFC  120.1  180  HeI 5870                         
 508346 uvex_6166 r      20:46:20.43 +41:33:59.6 2000.00  02:41 1.065  WFC   30.1  180  r                                
 508347 uvex_6166 U      20:46:20.44 +41:33:59.6 2000.00  02:42 1.063  WFC  120.1  180  U                                
 508348 uvex_6166 g      20:46:20.44 +41:33:59.5 2000.00  02:44 1.061  WFC   30.1  180  g                                
 508349 uvex_6166o He1   20:46:47.20 +41:38:59.6 2000.00  02:46 1.059  WFC  119.5  180  HeI 5870                         
 508350 uvex_6166o r     20:46:47.21 +41:38:59.6 2000.00  02:48 1.058  WFC   30.1  180  r                                
 508351 uvex_6166o U     20:46:47.21 +41:38:59.6 2000.00  02:50 1.056  WFC  120.0  180  U                                
