 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 544012 GretaDeVries      3:40:00.00 +12:33:59.9 2000.00  22:26 1.042  WFC   20.1  180  r                                
 544013 GretaDeVries      3:39:59.99 +12:33:59.9 2000.00  22:27 1.042  WFC   20.0  180  r                                
 544014 GretaDeVries      3:40:00.00 +12:33:59.9 2000.00  22:28 1.042  WFC   20.1  180  r                                
 544015 GretaDeVries      3:39:59.99 +12:33:59.9 2000.00  22:29 1.042  WFC   19.6  180  r                                
 544016 GretaDeVries      3:40:00.00 +12:34:00.0 2000.00  22:30 1.042  WFC   20.1  180  r                                
 544017 GretaDeVries      3:39:59.99 +12:33:59.9 2000.00  22:31 1.043  WFC   20.1  180  r                                
 544018 GretaDeVries      3:39:59.99 +12:33:59.9 2000.00  22:32 1.043  WFC   20.1  180  r                                
 544019 GretaDeVries      3:40:00.00 +12:34:00.0 2000.00  22:33 1.043  WFC   20.1  180  r                                
 544020 GretaDeVries      3:39:59.99 +12:34:00.0 2000.00  22:34 1.043  WFC   20.1  180  r                                
 544021 GretaDeVries      3:40:00.00 +12:34:00.0 2000.00  22:35 1.044  WFC   19.5  180  r                                
 544022 GretaDeVries      3:40:00.00 +12:33:59.9 2000.00  22:36 1.044  WFC   20.1  180  r                                
 544023 GretaDeVries      3:40:00.00 +12:33:59.9 2000.00  22:37 1.044  WFC   20.1  180  r                                
 544024 GretaDeVries      3:39:59.99 +12:33:59.9 2000.00  22:38 1.044  WFC   20.1  180  r                                
 544025 GretaDeVries      3:40:00.00 +12:33:59.9 2000.00  22:39 1.045  WFC   20.1  180  r                                
 544026 GretaDeVries      3:40:00.00 +12:33:59.9 2000.00  22:40 1.045  WFC   19.5  180  r                                
 544027 GretaDeVries      3:40:00.00 +12:34:00.0 2000.00  22:41 1.045  WFC   20.1  180  r                                
 544028 GretaDeVries      3:40:00.00 +12:33:59.9 2000.00  22:41 1.046  WFC   20.1  180  r                                
 544029 GretaDeVries      3:40:00.00 +12:33:59.9 2000.00  22:42 1.046  WFC   20.1  180  r                                
 544030 GretaDeVries      3:39:59.99 +12:33:59.9 2000.00  22:43 1.047  WFC   20.1  180  r                                
 544031 GretaDeVries      3:39:59.99 +12:34:00.0 2000.00  22:44 1.047  WFC   20.1  180  r                                
 544032 GretaDeVries      3:39:59.99 +12:34:00.0 2000.00  22:45 1.048  WFC   20.1  180  r                                
 544033 GretaDeVries      3:40:00.00 +12:33:59.9 2000.00  22:46 1.048  WFC   19.6  180  r                                
 544034 GretaDeVries      3:39:59.99 +12:34:00.0 2000.00  22:47 1.049  WFC   20.1  180  r                                
 544035 GretaDeVries      3:40:00.00 +12:33:59.9 2000.00  22:48 1.049  WFC   20.1  180  r                                
 544036 GretaDeVries      3:40:00.00 +12:34:00.0 2000.00  22:49 1.050  WFC   20.1  180  r                                
 544037 GretaDeVries      3:39:59.99 +12:33:59.9 2000.00  22:50 1.050  WFC   20.1  180  r                                
 544038 GretaDeVries      3:39:59.99 +12:33:59.9 2000.00  22:51 1.051  WFC   20.1  180  r                                
 544039 GretaDeVries      3:39:59.99 +12:34:00.0 2000.00  22:52 1.051  WFC   20.1  180  r                                
 544040 ConeNebula        6:41:05.99 +09:53:00.0 2000.00  22:58 1.269  WFC   20.1  180  V                                having seeing problems due to weather conditions
 544041 ConeNebula        6:41:06.00 +09:48:00.0 2000.00  23:01 1.261  WFC   20.1  180  V                                
 544042 ConeNebula        6:41:05.99 +09:48:00.0 2000.00  23:06 1.244  WFC   14.6  180  V                                
 544043 ConeNebula        6:41:26.29 +09:47:59.9 2000.00  23:08 1.240  WFC   15.1  180  V                                
 544044 ConeNebula        6:41:05.99 +09:55:30.1 2000.00  23:11 1.228  WFC   15.1  180  V                                
 544045 ConeNebula        6:41:05.98 +09:52:59.9 2000.00  23:17 1.211  WFC   15.1  180  V                                
 544046 ConeNebula        6:41:26.30 +09:57:59.9 2000.00  23:31 1.174  WFC   15.1  180  B                                
 544047 ConeNebula        6:41:05.99 +09:52:59.8 2000.00  23:34 1.167  WFC   15.1  180  B                                
 544048 veld3b            6:14:39.99 +35:46:00.0 2000.00  23:57 1.029  WFC   59.5  180  r                                seeing within niceness
 544049 veld3b            6:14:40.00 +35:46:00.0 2000.00  00:02 1.025  WFC   60.1  180  r                                
 544050 veld3b            6:14:40.00 +35:45:59.9 2000.00  00:04 1.024  WFC   60.1  180  r                                
 544051 veld3b            6:14:40.00 +35:45:59.9 2000.00  00:05 1.023  WFC   60.1  180  r                                
 544052 veld3b            6:14:39.99 +35:46:00.0 2000.00  00:07 1.022  WFC   60.1  180  r                                
 544053 veld3b            6:14:39.99 +35:46:00.0 2000.00  00:08 1.021  WFC   60.1  180  r                                
 544054 veld3b            6:14:39.99 +35:45:59.9 2000.00  00:10 1.020  WFC   60.1  180  r                                
 544055 veld3b            6:14:40.00 +35:45:59.9 2000.00  00:12 1.019  WFC   60.0  180  r                                
 544056 veld3b            6:14:39.99 +35:45:59.9 2000.00  00:13 1.018  WFC   60.1  180  r                                
 544057 veld3b            6:14:40.00 +35:46:00.0 2000.00  00:15 1.017  WFC   60.1  180  r                                
 544058 veld3b            6:14:39.99 +35:45:59.9 2000.00  00:16 1.016  WFC   60.1  180  r                                
 544059 veld3b            6:14:39.99 +35:46:00.0 2000.00  00:18 1.016  WFC   60.0  180  r                                
 544060 veld3b            6:14:39.99 +35:45:59.9 2000.00  00:20 1.015  WFC   60.1  180  r                                
 544061 veld3b            6:14:39.99 +35:45:59.9 2000.00  00:21 1.014  WFC   60.0  180  r                                
 544062 veld3b            6:14:40.00 +35:46:00.0 2000.00  00:23 1.013  WFC   60.1  180  r                                
 544063 veld3b            6:14:39.99 +35:46:00.0 2000.00  00:25 1.013  WFC   60.0  180  r                                
 544064 veld3b            6:14:40.00 +35:45:59.9 2000.00  00:26 1.012  WFC   60.0  180  r                                
 544065 veld3b            6:14:39.99 +35:45:59.9 2000.00  00:28 1.012  WFC   60.1  180  r                                
 544066 veld3b            6:14:39.99 +35:45:59.9 2000.00  00:29 1.011  WFC   60.1  180  r                                
 544067 veld3b            6:14:39.99 +35:46:00.0 2000.00  00:31 1.011  WFC   60.1  180  r                                
 544068 veld3b            6:14:40.00 +35:45:59.9 2000.00  00:33 1.010  WFC   60.1  180  r                                
 544069 veld3b            6:14:39.99 +35:45:59.9 2000.00  00:34 1.010  WFC   60.1  180  r                                
 544070 veld3b            6:14:39.99 +35:46:00.0 2000.00  00:36 1.009  WFC   60.1  180  r                                
 544071 veld3b            6:14:40.00 +35:45:59.9 2000.00  00:38 1.009  WFC   59.5  180  r                                
 544072 veld3b            6:14:39.99 +35:45:59.9 2000.00  00:39 1.009  WFC   60.0  180  r                                
 544073 veld3b            6:14:39.99 +35:45:59.9 2000.00  00:41 1.008  WFC   59.5  180  r                                
 544074 veld3b            6:14:39.99 +35:45:59.9 2000.00  00:42 1.008  WFC   60.1  180  r                                
