 507149 sa110-246 r      18:41:50.87 +00:05:09.0 2000.00  01:29 1.157  WFC   10.1  180  r                                
 507150 sa110-246 U      18:41:50.88 +00:05:08.9 2000.00  01:30 1.156  WFC   30.1  180  U                                
 507151 uvex_5262 He1    19:45:00.12 +22:52:00.1 2000.00  01:32 1.085  WFC  119.5  180  HeI 5870                         
 507152 uvex_5262 r      19:45:00.12 +22:51:59.8 2000.00  01:35 1.082  WFC   30.1  180  r                                
 507153 uvex_5262 U      19:45:00.13 +22:51:59.8 2000.00  01:36 1.079  WFC  120.1  180  U                                
 507154 uvex_5262 g      19:45:00.13 +22:51:59.9 2000.00  01:39 1.075  WFC   30.1  180  g                                
 507155 uvex_5277 He1    19:45:45.96 +23:24:59.7 2000.00  01:40 1.072  WFC  120.0  180  HeI 5870                         
 507156 uvex_5277 r      19:45:45.96 +23:24:59.9 2000.00  01:43 1.069  WFC   30.1  180  r                                
 507157 uvex_5277 U      19:45:45.96 +23:24:59.8 2000.00  01:44 1.066  WFC  120.0  180  U                                
 507158 uvex_5277 g      19:45:45.95 +23:24:59.9 2000.00  01:47 1.063  WFC   29.5  180  g                                
 507159 uvex_5277o He1   19:46:07.78 +23:29:59.7 2000.00  01:48 1.061  WFC  120.0  180  HeI 5870                         
 507160 uvex_5277o r     19:46:07.77 +23:29:59.9 2000.00  01:50 1.058  WFC   30.1  180  r                                
 507161 uvex_5277o U     19:46:07.76 +23:29:59.8 2000.00  01:52 1.056  WFC  120.0  180  U                                
 507162 uvex_5277o g     19:46:07.77 +23:29:59.9 2000.00  01:54 1.053  WFC   30.1  180  g                                
 507163 uvex_5282 He1    19:46:21.30 +18:05:59.6 2000.00  01:56 1.067  WFC  120.0  180  HeI 5870                         
 507164 uvex_5282 r      19:46:21.30 +18:05:59.9 2000.00  01:58 1.065  WFC   30.1  180  r                                
 507165 uvex_5282 U      19:46:21.30 +18:06:00.0 2000.00  01:59 1.062  WFC  120.0  180  U                                
