 444492 KVC9 B 0 0       12:41:35.72 +32:51:28.4 2000.00  02:56 1.094  WFC  599.2  180  B                                
 444493 KVC9 R 0 0       12:41:35.71 +32:51:28.2 2000.00  03:07 1.114  WFC  599.7  180  R                                
 444494 KVC9 B 0 -150    12:41:35.71 +32:48:58.2 2000.00  03:19 1.142  WFC  599.7  180  R                                
 444495 KVC9 B 0 -150    12:41:35.72 +32:48:58.2 2000.00  03:30 1.169  WFC  599.8  180  B                                
 444496 KVC9 B 0 60      12:41:35.72 +32:52:28.3 2000.00  03:49 1.223  WFC  599.8  180  B                                
 444497 KVC9 R 0 60      12:41:35.71 +32:52:28.2 2000.00  04:00 1.260  WFC  599.8  180  R                                
 444498 sa104 R 2        12:42:22.00 -00:33:09.6 2000.00  04:12 1.630  WFC    2.1  180  R                                
 444499 sa104 R 5        12:42:22.00 -00:33:09.3 2000.00  04:13 1.637  WFC    4.6  180  R                                
 444500 sa104 R 10       12:42:21.99 -00:33:09.4 2000.00  04:14 1.644  WFC   10.1  180  R                                
 444501 sa104 R 50       12:42:22.00 -00:33:09.3 2000.00  04:15 1.656  WFC   50.1  180  R                                
 444502 sa104 B 50       12:42:22.00 -00:33:09.3 2000.00  04:17 1.669  WFC   50.1  180  B                                
 444503 sa104 B 10       12:42:21.99 -00:33:09.4 2000.00  04:19 1.679  WFC   10.1  180  B                                
 444504 sa104 B 5        12:42:21.99 -00:33:09.3 2000.00  04:20 1.686  WFC    5.1  180  B                                
 444505 sa104 B 2        12:42:21.99 -00:33:09.4 2000.00  04:20 1.693  WFC    1.5  180  B                                
 444506 KVC26 B 0 -120   12:28:26.07 +37:12:22.2 2000.00  04:28 1.424  WFC  599.7  180  B                                
 444507 KVC26 R 0 -120   12:28:26.06 +37:12:22.2 2000.00  04:39 1.481  WFC  599.8  180  R                                
 444508 KVC26 R 60 180   12:28:31.09 +37:17:22.2 2000.00  04:52 1.561  WFC  599.9  180  R                                
 444509 KVC26 B 60 180   12:28:31.09 +37:17:22.3 2000.00  05:03 1.636  WFC  599.8  180  B                                
 444512 KVC45            12:31:34.91 +42:56:30.2 2000.00  05:23 1.705  WFC  299.9  180  B                                
 444513 KVC49            12:28:02.18 +43:28:13.1 2000.00  05:30 1.780  WFC  299.9  180  B                                
 444514 Flat field       17:59:44.00 +66:21:19.0 2000.00  06:28 1.261  WFC   28.7  180  B                                
 444515 Flat field       17:59:43.99 +66:21:19.0 2000.00  06:29 1.261  WFC   20.6  180  B                                
 444516 Flat field       17:59:44.00 +66:21:18.9 2000.00  06:31 1.261  WFC   13.4  180  B                                
 444517 Flat field       17:59:45.66 +66:21:28.9 2000.00  06:32 1.261  WFC   10.5  180  B                                
 444518 Flat field       17:59:42.33 +66:21:29.0 2000.00  06:33 1.261  WFC    6.3  180  B                                
 444519 Flat field       17:59:44.00 +66:21:19.2 2000.00  06:34 1.261  WFC    6.3  180  R                                
 444520 Flat field       17:59:45.66 +66:21:29.0 2000.00  06:35 1.262  WFC    4.0  180  R                                
 444521 Flat field       17:59:42.33 +66:21:09.0 2000.00  06:37 1.262  WFC    3.5  180  R                                
