 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 539602 onc i             5:35:29.99 -05:22:59.6 2000.00  00:08 1.364  WFC   30.1  180  i                                
 539603 onc V             5:35:30.00 -05:23:00.0 2000.00  00:09 1.358  WFC   60.0  180  V                                
 539604 onc i             5:35:30.00 -05:23:00.0 2000.00  00:12 1.352  WFC   30.1  180  i                                
 539605 onc V             5:35:30.00 -05:22:59.4 2000.00  00:13 1.347  WFC   60.1  180  V                                
 539606 onc i             5:35:30.00 -05:22:59.9 2000.00  00:15 1.341  WFC   30.1  180  i                                
 539607 onc V             5:35:30.00 -05:22:59.9 2000.00  00:26 1.312  WFC   60.1  180  V                                
 539608 onc i             5:35:30.00 -05:23:00.0 2000.00  00:28 1.307  WFC   30.1  180  i                                
 539609 onc V             5:35:29.99 -05:22:59.9 2000.00  00:30 1.303  WFC   60.1  180  V                                
 539610 onc i             5:35:29.99 -05:23:00.0 2000.00  00:32 1.299  WFC   30.1  180  i                                
 539611 onc V             5:35:29.99 -05:22:59.9 2000.00  00:33 1.295  WFC   59.5  180  V                                
 539612 onc i             5:35:30.00 -05:22:59.9 2000.00  00:35 1.291  WFC   29.5  180  i                                
 539613 onc V             5:35:29.99 -05:22:59.9 2000.00  00:37 1.287  WFC   60.1  180  V                                
 539614 onc i             5:35:30.00 -05:22:59.9 2000.00  00:39 1.282  WFC   30.1  180  i                                
 539615 onc V             5:35:30.00 -05:22:59.9 2000.00  00:41 1.279  WFC   60.1  180  V                                
 539616 onc i             5:35:30.00 -05:22:59.9 2000.00  00:43 1.275  WFC   30.1  180  i                                
 539617 onc V             5:35:29.99 -05:23:00.5 2000.00  00:44 1.272  WFC   60.1  180  V                                
 539618 onc i             5:35:29.99 -05:23:00.0 2000.00  00:46 1.268  WFC   30.1  180  i                                
 539619 onc V             5:35:30.00 -05:22:59.9 2000.00  00:48 1.265  WFC   60.0  180  V                                
 539620 onc i             5:35:30.00 -05:22:59.9 2000.00  00:50 1.262  WFC   30.1  180  i                                
 539621 onc V             5:35:29.99 -05:23:00.0 2000.00  00:52 1.258  WFC   60.1  180  V                                
 539622 onc i             5:35:29.98 -05:22:59.8 2000.00  00:54 1.255  WFC   30.1  180  i                                
 539623 onc V             5:35:29.99 -05:22:59.9 2000.00  00:56 1.252  WFC   60.1  180  V                                
 539624 onc i             5:35:30.00 -05:22:59.9 2000.00  00:58 1.250  WFC   30.1  180  i                                
 539625 onc V             5:35:29.99 -05:23:00.0 2000.00  01:00 1.245  WFC   60.1  180  V                                
 539626 onc i             5:35:29.99 -05:22:59.9 2000.00  01:02 1.243  WFC   29.5  180  i                                
 539627 onc V             5:35:29.99 -05:22:59.9 2000.00  01:04 1.240  WFC   60.0  180  V                                
 539628 onc i             5:35:29.99 -05:22:59.9 2000.00  01:06 1.238  WFC   30.1  180  i                                
 539629 onc V             5:35:30.00 -05:23:00.0 2000.00  01:08 1.236  WFC   60.1  180  V                                
 539630 onc i             5:35:30.00 -05:22:59.9 2000.00  01:10 1.233  WFC   30.1  180  i                                
 539631 onc V             5:35:30.00 -05:22:59.9 2000.00  01:12 1.231  WFC   60.0  180  V                                
 539632 onc i             5:35:30.00 -05:23:00.0 2000.00  01:14 1.229  WFC   30.1  180  i                                
 539633 onc V             5:35:29.99 -05:23:00.0 2000.00  01:16 1.227  WFC   60.1  180  V                                
 539634 onc i             5:35:30.00 -05:22:59.9 2000.00  01:18 1.225  WFC   30.1  180  i                                
 539635 onc V             5:35:30.00 -05:23:00.0 2000.00  01:19 1.224  WFC   60.1  180  V                                
 539636 onc i             5:35:29.99 -05:22:59.5 2000.00  01:21 1.222  WFC   30.1  180  i                                
 539637 onc V             5:35:30.00 -05:23:00.0 2000.00  01:23 1.221  WFC   60.1  180  V                                
 539638 onc i             5:35:30.00 -05:22:59.9 2000.00  01:25 1.219  WFC   30.1  180  i                                
 539639 onc V             5:35:29.99 -05:22:59.8 2000.00  01:27 1.218  WFC   60.0  180  V                                
 539640 onc i             5:35:30.00 -05:22:59.9 2000.00  01:29 1.216  WFC   29.6  180  i                                
 539641 onc V             5:35:30.00 -05:23:00.0 2000.00  01:30 1.215  WFC   60.0  180  V                                
 539642 onc i             5:35:30.00 -05:23:00.0 2000.00  01:33 1.214  WFC   30.1  180  i                                
