 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 547788 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:53 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547789 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:54 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547790 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:54 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547791 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:54 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547792 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:55 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547793 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:55 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547794 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:56 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547795 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:56 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547796 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:56 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547797 Flat field        0:00:00.00 +00:00:00.0 2000.00  16:59 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547798 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:00 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547799 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:00 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547800 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:00 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547801 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:01 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547802 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:01 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547803 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:02 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547804 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:02 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547805 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:02 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547806 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:03 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547807 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:03 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547808 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:04 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547809 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:04 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547810 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:04 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547811 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:05 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547812 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:05 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547813 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:06 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547814 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:06 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547815 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:06 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547816 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:07 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547817 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:07 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547818 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:08 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
