INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 12 07:20

TELESCOPE             INT
DATE                  20060711
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:46
MORNING TWILIGHT (UT) 04:49
SUNRISE (UT)          06:14
%ILLUM. LUNAR DISK    99
DARK TIME (HRS)       07:03
TWILIGHT TIME (HRS)   02:50
MOONRISE (UT)         20:52
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:10
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
slightly hazy but otherwise good

COMMENTS (causes of time lost, setup information eg CCD windows):
The autoguider doesn't go long without glitching - it seems better to rely on the telescope tracking



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 513538                   0:00:00.00 +00:00:00.0 2006.524 13:31 1.521  WFC   15.1  180  g                                
 513597 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  22:04 2.216  WFC   60.1  180  stromgren u                      
 513598 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  22:05 2.199  WFC   40.1  180  stromgren v                      
 513599 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  22:07 2.185  WFC   39.5  180  stromgren b                      
 513600 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  22:08 2.170  WFC   39.0  180  stromgren y                      
 513601 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  22:09 2.155  WFC   60.1  180  g                                
 513602 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  22:11 2.139  WFC   40.1  180  r                                
 513603 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  22:12 2.123  WFC   60.1  180  stromgren u                      
 513604 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  22:14 2.108  WFC   39.5  180  stromgren v                      
 513605 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  22:15 2.095  WFC   39.5  180  stromgren b                      
 513606 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  22:17 2.082  WFC   40.1  180  stromgren y                      
 513607 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  22:18 2.067  WFC   60.1  180  g                                
 513608 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  22:20 2.053  WFC   40.1  180  r                                
 513609 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  22:21 2.039  WFC   60.1  180  stromgren u                      
 513610 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  22:23 2.025  WFC   40.1  180  stromgren v                      
 513611 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  22:24 2.012  WFC   40.1  180  stromgren b                      
 513612 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  22:26 2.000  WFC   40.1  180  stromgren y                      
 513613 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  22:27 1.987  WFC   60.1  180  g                                
 513614 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  22:29 1.974  WFC   39.6  180  r                                
 513615 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  22:30 1.961  WFC   60.1  180  stromgren u                      
 513616 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  22:32 1.948  WFC   39.5  180  stromgren v                      
 513617 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  22:33 1.937  WFC   40.1  180  stromgren b                      
 513618 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  22:34 1.926  WFC   40.1  180  stromgren y                      
 513619 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  22:36 1.914  WFC   60.0  180  g                                
 513620 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  22:38 1.902  WFC   40.1  180  r                                
 513621 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  22:39 1.889  WFC   59.6  180  stromgren u                      
 513622 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  22:41 1.878  WFC   39.6  180  stromgren v                      
 513623 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  22:42 1.867  WFC   40.1  180  stromgren b                      
 513624 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  22:43 1.857  WFC   39.6  180  stromgren y                      
 513625 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  22:45 1.846  WFC   60.1  180  g                                
 513626 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  22:46 1.835  WFC   39.5  180  r                                
 513627 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  22:48 1.824  WFC   60.1  180  stromgren u                      
 513628 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  22:49 1.813  WFC   40.1  180  stromgren v                      
 513629 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  22:51 1.803  WFC   40.1  180  stromgren b                      
 513630 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  22:52 1.794  WFC   40.1  180  stromgren y                      
 513631 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  22:53 1.784  WFC   60.1  180  g                                
 513632 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  22:55 1.773  WFC   40.1  180  r                                
 513633 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  22:57 1.763  WFC   60.1  180  stromgren u                      
 513634 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  22:58 1.753  WFC   40.1  180  stromgren v                      
 513635 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  23:00 1.745  WFC   35.1  180  stromgren b                      
 513636 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  23:01 1.737  WFC   30.1  180  stromgren y                      
 513637 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  23:02 1.728  WFC   60.0  180  g                                
 513638 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  23:04 1.718  WFC   35.1  180  r                                
 513639 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  23:05 1.709  WFC   60.1  180  stromgren u                      
 513640 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  23:07 1.699  WFC   40.1  180  stromgren v                      
 513641 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  23:08 1.692  WFC   34.6  180  stromgren b                      
