INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 09 06:46

TELESCOPE             INT
DATE                  20060708
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:47
MORNING TWILIGHT (UT) 04:47
SUNRISE (UT)          06:12
%ILLUM. LUNAR DISK    94
DARK TIME (HRS)       07:00
TWILIGHT TIME (HRS)   02:51
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          04:23

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for second half of night


TIME LOST weather           0`:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
poor seeing gave way to thin cloud gave way to thick cloud

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.60



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 512364 ca               12:29:00.00 +10:38:00.0 2000.00  21:48 1.523  WFC   60.1  180  r                                
 512365 ca               12:29:00.00 +10:38:00.0 2000.00  21:50 1.534  WFC   60.0  180  r                                
 512366 NGC7128 u        21:44:19.99 +53:44:00.1 2000.00  22:02 2.379  WFC   45.0  180  stromgren u                      
 512367 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  22:03 2.362  WFC   30.1  180  stromgren v                      
 512368 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  22:04 2.347  WFC   30.1  180  stromgren b                      
 512369 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  22:06 2.332  WFC   30.1  180  stromgren y                      
 512370 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  22:07 2.315  WFC   59.5  180  g                                
 512371 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  22:09 2.296  WFC   40.1  180  r                                
 512372 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  22:10 2.280  WFC   45.1  180  stromgren u                      
 512373 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  22:11 2.264  WFC   30.1  180  stromgren v                      
 512374 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  22:13 2.251  WFC   30.1  180  stromgren b                      
 512375 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  22:14 2.237  WFC   30.1  180  stromgren y                      
 512376 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  22:15 2.221  WFC   60.0  180  g                                
