 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 450577 1244+6135        12:44:26.29 +61:35:15.1 2000.00  22:49 1.202  WFC   60.1  180  g                                
 450578 1244+6135        12:44:26.30 +61:35:15.0 2000.00  22:50 1.203  WFC   60.1  180  g                                
 450579 1244+6135        12:44:26.30 +61:35:14.9 2000.00  22:52 1.204  WFC   60.0  180  g                                
 450580 1244+6135        12:44:26.29 +61:35:14.9 2000.00  22:54 1.205  WFC   60.1  180  g                                
 450581 1244+6135        12:44:26.30 +61:35:14.9 2000.00  22:55 1.206  WFC   60.0  180  g                                
 450582 1244+6135        12:44:26.29 +61:35:14.9 2000.00  22:57 1.207  WFC   60.0  180  g                                
 450583 1244+6135        12:44:26.30 +61:35:15.0 2000.00  22:59 1.208  WFC   60.1  180  g                                
 450584 1244+6135        12:44:26.30 +61:35:15.0 2000.00  23:00 1.209  WFC   60.1  180  g                                
 450585 1244+6135        12:44:26.29 +61:35:15.0 2000.00  23:02 1.211  WFC   60.1  180  g                                
 450586 1244+6135        12:44:26.30 +61:35:15.0 2000.00  23:03 1.212  WFC   60.1  180  g                                
 450587 1244+6135        12:44:26.30 +61:35:14.9 2000.00  23:05 1.213  WFC   60.1  180  g                                
 450588 1244+6135        12:44:26.30 +61:35:15.0 2000.00  23:07 1.214  WFC   59.5  180  g                                
 450589 1244+6135        12:44:26.30 +61:35:15.0 2000.00  23:08 1.215  WFC   60.0  180  g                                
 450590 1244+6135        12:44:26.29 +61:35:15.0 2000.00  23:10 1.217  WFC   60.0  180  g                                
 450591 1244+6135        12:44:26.30 +61:35:15.0 2000.00  23:12 1.218  WFC   60.0  180  g                                
 450592 1244+6135        12:44:26.29 +61:35:15.0 2000.00  23:13 1.219  WFC   60.1  180  g                                
 450593 1244+6135        12:44:26.29 +61:35:14.9 2000.00  23:15 1.221  WFC   60.1  180  g                                
 450594 1244+6135        12:44:26.29 +61:35:14.9 2000.00  23:16 1.222  WFC   60.0  180  g                                
 450595 1244+6135        12:44:26.29 +61:35:14.9 2000.00  23:18 1.224  WFC   60.0  180  g                                
 450596 1244+6135        12:44:26.29 +61:35:15.0 2000.00  23:20 1.225  WFC   60.1  180  g                                
 450597 1244+6135        12:44:26.30 +61:35:15.0 2000.00  23:21 1.227  WFC   60.1  180  g                                
 450598 1244+6135        12:44:26.30 +61:35:15.0 2000.00  23:23 1.228  WFC   60.1  180  g                                
 450599 1244+6135        12:44:26.30 +61:35:14.9 2000.00  23:24 1.230  WFC   60.1  180  g                                
 450600 1244+6135        12:44:26.30 +61:35:14.9 2000.00  23:26 1.231  WFC   60.1  180  g                                
 450601 1244+6135        12:44:26.29 +61:35:14.9 2000.00  23:28 1.233  WFC   60.1  180  g                                
 450602 1244+6135        12:44:26.30 +61:35:14.9 2000.00  23:29 1.235  WFC   60.1  180  g                                
 450603 1244+6135        12:44:26.29 +61:35:15.0 2000.00  23:31 1.236  WFC   60.1  180  g                                
 450604 1244+6135        12:44:26.30 +61:35:14.9 2000.00  23:33 1.238  WFC   60.1  180  g                                
 450605 1244+6135        12:44:26.29 +61:35:15.0 2000.00  23:34 1.240  WFC   60.1  180  g                                
 450606 1244+6135        12:44:26.29 +61:35:15.0 2000.00  23:36 1.242  WFC   60.1  180  g                                
 450607 1244+6135        12:44:26.29 +61:35:14.9 2000.00  23:37 1.244  WFC   60.1  180  g                                
 450608 1244+6135        12:44:26.30 +61:35:14.9 2000.00  23:39 1.246  WFC   60.1  180  g                                
 450609 1244+6135        12:44:26.29 +61:35:14.9 2000.00  23:41 1.247  WFC   60.1  180  g                                
 450610 1244+6135        12:44:26.30 +61:35:14.9 2000.00  23:42 1.249  WFC   60.1  180  g                                
 450611 1244+6135        12:44:26.30 +61:35:14.9 2000.00  23:44 1.251  WFC   60.1  180  g                                
 450612 1244+6135        12:44:26.30 +61:35:15.0 2000.00  23:46 1.253  WFC   60.1  180  g                                
 450613 1244+6135        12:44:26.30 +61:35:14.9 2000.00  23:47 1.256  WFC   60.1  180  g                                
 450614 1244+6135        12:44:26.29 +61:35:15.0 2000.00  23:49 1.258  WFC   60.1  180  g                                
 450615 1244+6135        12:44:26.30 +61:35:14.9 2000.00  23:50 1.260  WFC   60.1  180  g                                
 450616 1244+6135        12:44:26.30 +61:35:15.0 2000.00  23:52 1.262  WFC   60.1  180  g                                
 450617 1244+6135        12:44:26.29 +61:35:14.9 2000.00  23:54 1.264  WFC   60.1  180  g                                
 450618 1244+6135        12:44:26.29 +61:35:15.0 2000.00  23:55 1.266  WFC   60.1  180  g                                
 450619 1244+6135        12:44:26.30 +61:35:14.9 2000.00  23:57 1.269  WFC   60.1  180  g                                
 450620 1244+6135        12:44:26.30 +61:35:15.0 2000.00  23:59 1.271  WFC   59.5  180  g                                
 450621 1244+6135        12:44:26.30 +61:35:14.9 2000.00  00:00 1.273  WFC   60.1  180  g                                
 450622 1244+6135        12:44:26.30 +61:35:15.0 2000.00  00:02 1.276  WFC   60.1  180  g                                
 450623 1244+6135        12:44:26.30 +61:35:15.1 2000.00  00:03 1.278  WFC   60.0  180  g                                
 450624 1244+6135        12:44:26.29 +61:35:14.9 2000.00  00:05 1.281  WFC   60.0  180  g                                
 450626 1429+4145        14:29:55.99 +41:45:16.8 2000.00  00:15 1.032  WFC   40.1  180  g                                
 450627 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:18 1.033  WFC   40.1  180  g                                
 450628 1429+4145        14:29:55.99 +41:45:16.9 2000.00  00:19 1.033  WFC   40.1  180  g                                
 450629 1429+4145        14:29:55.99 +41:45:17.0 2000.00  00:20 1.034  WFC   40.1  180  g                                
 450630 1429+4145        14:29:55.99 +41:45:17.0 2000.00  00:22 1.035  WFC   40.1  180  g                                
 450631 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:23 1.035  WFC   40.0  180  g                                
 450632 1429+4145        14:29:56.00 +41:45:17.0 2000.00  00:24 1.036  WFC   39.5  180  g                                
 450633 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:26 1.037  WFC   40.1  180  g                                
 450634 1429+4145        14:29:55.99 +41:45:17.0 2000.00  00:27 1.037  WFC   40.1  180  g                                
 450635 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:28 1.038  WFC   39.5  180  g                                
 450636 1429+4145        14:29:55.99 +41:45:17.0 2000.00  00:29 1.039  WFC   40.1  180  g                                
 450637 1429+4145        14:29:55.99 +41:45:17.0 2000.00  00:31 1.039  WFC   39.5  180  g                                
 450638 1429+4145        14:29:56.00 +41:45:17.0 2000.00  00:32 1.040  WFC   40.1  180  g                                
 450639 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:33 1.041  WFC   40.1  180  g                                
 450640 1429+4145        14:29:55.99 +41:45:17.0 2000.00  00:35 1.042  WFC   39.5  180  g                                
 450641 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:36 1.043  WFC   40.1  180  g                                
 450642 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:37 1.044  WFC   40.0  180  g                                
 450643 1429+4145        14:29:55.99 +41:45:17.0 2000.00  00:38 1.044  WFC   40.0  180  g                                
 450644 1429+4145        14:29:55.99 +41:45:16.9 2000.00  00:40 1.045  WFC   40.1  180  g                                
 450645 1429+4145        14:29:56.00 +41:45:17.0 2000.00  00:41 1.046  WFC   40.1  180  g                                
 450646 1429+4145        14:29:56.00 +41:45:17.0 2000.00  00:42 1.047  WFC   40.0  180  g                                
 450647 1429+4145        14:29:55.99 +41:45:16.9 2000.00  00:44 1.048  WFC   40.1  180  g                                
 450648 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:45 1.049  WFC   40.1  180  g                                
 450649 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:46 1.050  WFC   39.5  180  g                                
 450650 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:47 1.051  WFC   40.1  180  g                                
 450651 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:49 1.053  WFC   39.5  180  g                                
 450652 1429+4145        14:29:56.00 +41:45:17.0 2000.00  00:50 1.054  WFC   40.1  180  g                                
 450653 1429+4145        14:29:55.99 +41:45:16.9 2000.00  00:51 1.055  WFC   40.1  180  g                                
 450654 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:53 1.056  WFC   40.1  180  g                                
 450655 1429+4145        14:29:55.99 +41:45:17.0 2000.00  00:54 1.057  WFC   40.1  180  g                                
 450656 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:55 1.058  WFC   40.1  180  g                                
 450657 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:56 1.060  WFC   40.1  180  g                                
 450658 1429+4145        14:29:56.00 +41:45:17.0 2000.00  00:58 1.061  WFC   40.1  180  g                                
 450659 1429+4145        14:29:56.00 +41:45:17.0 2000.00  00:59 1.062  WFC   40.1  180  g                                
 450660 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:00 1.063  WFC   40.1  180  g                                
 450661 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:02 1.065  WFC   40.1  180  g                                
 450662 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:03 1.066  WFC   40.1  180  g                                
 450663 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:04 1.068  WFC   40.1  180  g                                
 450664 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:05 1.069  WFC   39.6  180  g                                
 450665 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:07 1.070  WFC   40.1  180  g                                
 450666 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:08 1.072  WFC   40.1  180  g                                
 450667 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:09 1.073  WFC   40.1  180  g                                
 450668 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:11 1.075  WFC   40.1  180  g                                
 450669 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:12 1.077  WFC   40.1  180  g                                
 450670 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:13 1.078  WFC   40.1  180  g                                
 450671 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:14 1.080  WFC   40.1  180  g                                
 450672 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:16 1.081  WFC   40.1  180  g                                
 450673 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:17 1.083  WFC   40.1  180  g                                
 450674 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:18 1.085  WFC   40.1  180  g                                
 450675 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:20 1.086  WFC   40.0  180  g                                
 450676 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:21 1.088  WFC   40.1  180  g                                
 450677 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:22 1.090  WFC   39.0  180  g                                
 450678 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:23 1.092  WFC   39.6  180  g                                
 450679 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:25 1.094  WFC   40.1  180  g                                
 450680 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:26 1.095  WFC   40.1  180  g                                
 450681 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:27 1.097  WFC   40.1  180  g                                
 450682 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:29 1.099  WFC   39.5  180  g                                
 450683 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:30 1.101  WFC   39.5  180  g                                
 450684 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:31 1.103  WFC   39.5  180  g                                
 450685 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:32 1.105  WFC   40.1  180  g                                
 450686 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:34 1.107  WFC   40.1  180  g                                
 450687 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:35 1.109  WFC   40.1  180  g                                
