 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 517855 sdss1208+35 60s  12:08:39.50 +35:50:35.1 2000.00  21:25 1.706  WFC   60.1  180  g                                
 517856 sdss1208+35 60s  12:08:39.49 +35:50:35.1 2000.00  21:27 1.724  WFC   60.1  180  g                                
 517857 sdss1208+35 60s  12:08:39.50 +35:50:35.1 2000.00  21:28 1.737  WFC   60.1  180  g                                
 517858 sdss1208+35 60s  12:08:39.50 +35:50:35.0 2000.00  21:30 1.751  WFC   60.1  180  g                                
 517859 sdss1208+35 60s  12:08:39.50 +35:50:35.1 2000.00  21:32 1.766  WFC   60.0  180  g                                
 517860 sdss1208+35 60s  12:08:39.50 +35:50:35.1 2000.00  21:33 1.781  WFC   60.1  180  g                                
 517861 sdss1208+35 60s  12:08:39.49 +35:50:35.1 2000.00  21:35 1.795  WFC   60.1  180  g                                
 517862 Focus run        18:42:21.11 +00:12:02.9 2000.00  21:42 1.309  WFC    2.1  180  g                                
 517863 ST_L110 5s g     18:42:21.11 +00:12:03.0 2000.00  21:47 1.292  WFC    5.1  180  g                                
 517864 ST_L110 5s r     18:42:21.11 +00:12:03.0 2000.00  21:48 1.289  WFC    5.1  180  r                                
 517865 ST_L110 35s U    18:42:21.11 +00:12:03.0 2000.00  21:49 1.284  WFC   35.1  180  U                                
 517866 ST_L110 35s He1  18:42:21.12 +00:12:03.0 2000.00  21:51 1.278  WFC   35.1  180  HeI 5870                         
 517867 uvex_4122 He1    18:38:42.62 +04:10:00.4 2000.00  21:54 1.211  WFC  120.0  180  HeI 5870                         
 517868 uvex_4122 r      18:38:42.62 +04:09:59.8 2000.00  21:57 1.206  WFC   30.1  180  r                                
 517869 uvex_4122 U      18:38:42.62 +04:09:59.9 2000.00  21:58 1.202  WFC  120.0  180  U                                
 517870 uvex_4122 g      18:38:42.62 +04:10:00.0 2000.00  22:01 1.197  WFC   30.1  180  g                                
 517871 uvex_4122o He1   18:39:02.67 +04:15:00.1 2000.00  22:02 1.193  WFC  120.0  180  HeI 5870                         
 517872 uvex_4122o r     18:39:02.67 +04:14:59.9 2000.00  22:05 1.189  WFC   30.1  180  r                                
