 505762 S112             20:33:48.99 +45:37:59.8 2000.00  03:56 1.059  WFC   90.0  180  [OIII]5007                       
 505763 S112             20:33:48.99 +45:37:59.9 2000.00  03:59 1.058  WFC   60.1  180  Halpha                           
 505764 S112             20:33:49.00 +45:38:00.1 2000.00  04:01 1.057  WFC    5.5  180  r                                
 505765 S112             20:33:48.99 +45:38:00.1 2000.00  04:02 1.056  WFC    1.5  180  r                                
 505766 S112             20:33:48.99 +45:38:00.0 2000.00  04:03 1.055  WFC    2.1  180  r                                
 505767 S112             20:33:49.00 +45:38:00.0 2000.00  04:04 1.055  WFC   10.1  180  [SII]6725                        
 505768 S112             20:33:49.00 +45:38:00.0 2000.00  04:05 1.054  WFC   10.1  180  [OIII]5007                       
 505769 S112             20:33:48.99 +45:37:59.9 2000.00  04:06 1.054  WFC   10.1  180  Halpha                           
 505770 S112             20:33:51.86 +45:38:29.9 2000.00  04:11 1.052  WFC   60.0  180  [SII]6725                        
 505771 S112             20:33:51.86 +45:38:29.8 2000.00  04:13 1.051  WFC   90.0  180  Halpha                           
 505772 S112             20:33:51.86 +45:38:29.9 2000.00  04:15 1.050  WFC    6.1  180  r                                
 505773 S112             20:33:46.14 +45:38:29.9 2000.00  04:17 1.049  WFC   60.0  180  [SII]6725                        
 505774 S112             20:33:46.13 +45:38:30.0 2000.00  04:19 1.049  WFC   90.0  180  [OIII]5007                       
 505775 S112             20:33:46.13 +45:38:30.0 2000.00  04:22 1.048  WFC   60.0  180  Halpha                           
 505776 S112             20:33:46.13 +45:38:30.0 2000.00  04:24 1.047  WFC    6.1  180  r                                
 505777 S112             20:33:51.86 +45:38:30.0 2000.00  04:25 1.047  WFC   90.1  180  [OIII]5007                       
 505778 S112             20:33:51.86 +45:38:29.9 2000.00  04:28 1.046  WFC   60.1  180  Halpha                           
 505779 S112             20:33:51.86 +45:37:30.0 2000.00  04:29 1.046  WFC   60.1  180  [SII]6725                        
 505780 S112             20:33:51.86 +45:37:30.0 2000.00  04:31 1.046  WFC   90.0  180  [OIII]5007                       
 505781 S112             20:33:51.85 +45:37:29.9 2000.00  04:33 1.045  WFC   60.0  180  Halpha                           
 505782 S112             20:33:51.85 +45:37:30.0 2000.00  04:35 1.045  WFC    6.1  180  r                                
 505783 S112             20:33:46.13 +45:37:29.9 2000.00  04:37 1.045  WFC   60.0  180  [SII]6725                        
 505784 S112             20:33:46.14 +45:37:30.0 2000.00  04:38 1.045  WFC   90.0  180  [OIII]5007                       
 505785 S112             20:33:46.14 +45:37:29.9 2000.00  04:41 1.045  WFC   60.0  180  Halpha                           
 505786 S112             20:33:46.13 +45:37:30.0 2000.00  04:43 1.045  WFC    6.1  180  r                                
 505787 COCOON           21:53:28.99 +47:15:59.0 2000.00  04:44 1.094  WFC   60.0  180  [SII]6725                        
 505788 COCOON           21:53:29.00 +47:15:58.9 2000.00  04:47 1.091  WFC   90.0  180  [OIII]5007                       
 505789 COCOON           21:53:29.00 +47:15:59.0 2000.00  04:49 1.089  WFC   60.0  180  Halpha                           
 505790 COCOON           21:53:28.99 +47:15:58.9 2000.00  04:52 1.087  WFC    6.1  180  r                                
 505791 COCOON           21:53:31.95 +47:16:28.9 2000.00  04:53 1.085  WFC   60.1  180  [SII]6725                        
 505792 COCOON           21:53:31.94 +47:16:29.0 2000.00  04:55 1.083  WFC   90.0  180  [OIII]5007                       
 505793 COCOON           21:53:31.95 +47:16:28.9 2000.00  04:57 1.082  WFC   59.5  180  Halpha                           
 505794 COCOON           21:53:31.94 +47:16:29.0 2000.00  04:59 1.080  WFC    5.6  180  r                                
 505795 COCOON           21:53:26.05 +47:16:29.0 2000.00  05:01 1.079  WFC   59.5  180  [SII]6725                        
 505796 COCOON           21:53:26.05 +47:16:29.0 2000.00  05:03 1.077  WFC   90.1  180  [OIII]5007                       
 505797 COCOON           21:53:26.05 +47:16:28.9 2000.00  05:05 1.076  WFC   60.0  180  Halpha                           
 505798 COCOON           21:53:26.04 +47:16:29.0 2000.00  05:07 1.075  WFC    6.1  180  r                                
 505799 COCOON           21:53:31.94 +47:15:28.9 2000.00  05:08 1.073  WFC   60.1  180  [SII]6725                        
