 535322 M44 i             8:40:29.99 +19:40:59.9 2000.00  06:01 1.013  WFC   60.0  180  i                                
 535323 M44 i             8:40:29.99 +19:40:59.9 2000.00  06:03 1.013  WFC   60.1  180  i                                
 535324 M44 i             8:40:29.99 +19:41:00.0 2000.00  06:05 1.013  WFC   60.0  180  i                                
 535325 M44 i             8:40:30.00 +19:40:59.9 2000.00  06:06 1.013  WFC   60.1  180  i                                
 535326 M44 i             8:40:29.99 +19:41:00.0 2000.00  06:08 1.013  WFC   60.0  180  i                                
 535327 M44 i             8:40:30.00 +19:40:59.9 2000.00  06:10 1.013  WFC   60.0  180  i                                
 535328 M44 i             8:40:29.99 +19:41:00.0 2000.00  06:11 1.013  WFC   60.0  180  i                                
 535329 Bias              8:00:59.99 +49:59:59.9 2000.00  06:17 1.088  WFC    0.0  180  V                                
 535330 Bias              8:00:59.99 +49:59:59.9 2000.00  06:17 1.088  WFC    0.0  180  V                                
 535331 Bias              8:00:59.99 +50:00:00.0 2000.00  06:18 1.088  WFC    0.0  180  V                                
 535332 Bias              8:00:59.99 +49:59:59.9 2000.00  06:19 1.089  WFC    0.0  180  V                                
 535333 Bias              8:00:59.99 +50:00:00.0 2000.00  06:19 1.089  WFC    0.0  180  V                                
 535334 Bias              8:01:00.00 +49:59:59.9 2000.00  06:20 1.089  WFC    0.0  180  V                                
 535335 Bias              8:01:00.00 +49:59:59.9 2000.00  06:20 1.090  WFC    0.0  180  V                                
 535336 Bias              8:01:00.00 +50:00:00.0 2000.00  06:21 1.090  WFC    0.0  180  V                                
 535337 Bias              8:00:59.99 +49:59:59.9 2000.00  06:22 1.091  WFC    0.0  180  V                                
 535338 Bias              8:01:00.00 +50:00:00.0 2000.00  06:22 1.091  WFC    0.0  180  V                                
 535339 Skyflat V         8:01:00.00 +49:59:59.9 2000.00  07:03 1.130  WFC   30.1  180  V                                
 535340 Skyflat V         8:01:01.03 +50:00:10.1 2000.00  07:04 1.132  WFC   20.1  180  V                                
 535341 Skyflat V         8:01:01.03 +49:59:59.8 2000.00  07:05 1.134  WFC   15.1  180  V                                
 535342 Skyflat i         8:01:01.03 +50:00:00.0 2000.00  07:07 1.136  WFC    8.1  180  i                                
 535343 Skyflat i         8:01:01.03 +50:00:09.9 2000.00  07:08 1.138  WFC    6.1  180  i                                
 535344 Skyflat B         8:01:01.03 +50:00:10.0 2000.00  07:10 1.139  WFC    5.1  180  B                                
 535345 Skyflat B         8:01:00.00 +49:59:59.9 2000.00  07:11 1.141  WFC    4.1  180  B                                
 535346 Skyflat B         8:00:59.99 +50:00:09.9 2000.00  07:12 1.143  WFC    3.6  180  B                                
