 505566 DDO154 I         12:54:37.45 +27:16:06.7 2000.00  00:14 1.325  WFC  249.9  180  i                                
 505567 DDO154 I         12:54:16.92 +27:05:58.2 2000.00  00:19 1.350  WFC  249.9  180  i                                
 505568 DDO154 I         12:54:45.20 +27:14:47.4 2000.00  00:24 1.371  WFC  250.0  180  i                                
 505569 DDO154 I         12:54:09.15 +27:07:17.5 2000.00  00:29 1.401  WFC  250.0  180  i                                
 505570 DDO154 I         12:54:52.96 +27:13:28.1 2000.00  00:37 1.439  WFC  249.9  180  i                                
 505571 DDO154 I         12:54:01.41 +27:08:37.0 2000.00  00:42 1.474  WFC  250.0  180  i                                
 505572 DDO154 I         12:55:00.71 +27:12:08.7 2000.00  00:49 1.498  WFC   77.7  180  i                                lost guiding
 505573 DDO154 I         12:53:53.66 +27:09:56.3 2000.00  00:51 1.531  WFC  249.9  180  i                                
 505574 DDO154 I         12:55:08.46 +27:10:49.5 2000.00  00:56 1.558  WFC  249.9  180  i                                
 505575 DDO154 I         12:53:45.91 +27:11:15.6 2000.00  01:02 1.606  WFC  250.0  180  i                                
 505576 DDO154 I         12:54:29.23 +27:16:16.2 2000.00  01:07 1.640  WFC  250.0  180  i                                
 505577 DDO154 I         12:54:36.99 +27:14:57.0 2000.00  01:12 1.681  WFC  249.9  180  i                                
 505578 DDO154 I         12:54:16.45 +27:04:48.6 2000.00  01:17 1.732  WFC  250.0  180  i                                
 505579 DDO154 I         12:54:44.74 +27:13:37.4 2000.00  01:25 1.798  WFC  249.9  180  i                                upper shutter raised
 505580 DDO154 I         12:54:08.70 +27:06:07.9 2000.00  01:30 1.859  WFC  249.9  180  i                                
 505581 DDO154 I         12:54:52.49 +27:12:18.3 2000.00  01:35 1.905  WFC  250.0  180  i                                
 505582 DDO154 I         12:54:00.95 +27:07:27.1 2000.00  01:40 1.976  WFC  249.9  180  i                                
 505583 DDO154 I         12:55:00.25 +27:10:58.9 2000.00  01:45 2.027  WFC  249.3  180  i                                
 505584 DDO154 I         12:53:53.19 +27:08:46.5 2000.00  01:50 2.112  WFC  249.9  180  i                                
 505585 DDO154 I         12:53:45.45 +27:10:05.8 2000.00  01:55 2.189  WFC  250.0  180  i                                
 505586 DDO154 I         12:53:47.73 +27:15:54.5 2000.00  02:00 2.268  WFC  249.4  180  i                                
 505587 DDO154 I         12:54:04.60 +27:16:45.0 2000.00  02:05 2.350  WFC  249.9  180  i                                
 505588 DDO154 I         12:53:44.07 +27:06:36.7 2000.00  02:11 2.460  WFC  249.9  180  i                                
 505590 calib5 I 20      19:37:41.59 +00:26:51.0 2000.00  02:20 1.232  WFC   20.1  180  i                                upper shutter lowered again
 505591 calib5 I 5       19:37:41.60 +00:26:50.9 2000.00  02:21 1.230  WFC    5.1  180  i                                
 505592 calib5 I 3       19:37:41.60 +00:26:51.0 2000.00  02:22 1.228  WFC    3.1  180  i                                
 505593 calib5 R 3       19:37:41.60 +00:26:50.9 2000.00  02:22 1.227  WFC    3.1  180  r                                
 505594 calib5 R 5       19:37:41.59 +00:26:50.9 2000.00  02:23 1.225  WFC    5.0  180  r                                
 505595 calib5 R 20      19:37:41.59 +00:26:51.0 2000.00  02:24 1.223  WFC   20.1  180  r                                
 505596 calib6 R 20      16:35:24.00 +09:47:50.0 2000.00  02:26 1.150  WFC   20.1  180  r                                
 505597 calib6 R 5       16:35:24.00 +09:47:49.9 2000.00  02:27 1.152  WFC    5.1  180  r                                
 505598 calib6 R 3       16:35:24.00 +09:47:50.0 2000.00  02:28 1.153  WFC    3.1  180  r                                
 505599 calib6 I 3       16:35:23.99 +09:47:49.9 2000.00  02:29 1.155  WFC    3.1  180  i                                
 505600 calib6 I 5       16:35:24.00 +09:47:49.9 2000.00  02:29 1.156  WFC    5.1  180  i                                
 505601 calib6 I 20      16:35:24.00 +09:47:49.9 2000.00  02:30 1.158  WFC   20.1  180  i                                
 505602 calib7 I 20      15:28:13.40 -07:16:00.8 2000.00  02:32 1.722  WFC   20.1  180  i                                
 505603 calib7 I 5       15:28:13.40 -07:16:00.9 2000.00  02:33 1.729  WFC    5.1  180  i                                
 505604 calib7 I 3       15:28:13.40 -07:16:01.0 2000.00  02:34 1.735  WFC    3.1  180  i                                
 505605 calib7 R 3       15:28:13.40 -07:16:00.9 2000.00  02:35 1.741  WFC    3.1  180  r                                
 505606 calib7 R 5       15:28:13.39 -07:16:00.9 2000.00  02:35 1.747  WFC    5.1  180  r                                
 505607 calib7 R 20      15:28:13.40 -07:16:00.9 2000.00  02:36 1.754  WFC   20.1  180  r                                
 505608 UGC11538 I       20:30:36.58 +60:17:15.4 2000.00  02:41 1.260  WFC  249.9  180  i                                
 505609 UGC11538 I       20:31:49.49 +60:29:13.4 2000.00  02:47 1.256  WFC  250.0  180  i                                
 505610 UGC11538 I       20:30:07.69 +60:19:44.4 2000.00  02:52 1.244  WFC  250.0  180  i                                
 505611 UGC11538 I       20:32:18.38 +60:26:44.2 2000.00  02:57 1.242  WFC  249.9  180  i                                
 505612 UGC11538 I       20:29:38.79 +60:22:13.3 2000.00  03:02 1.231  WFC  249.4  180  i                                
 505613 UGC11538 I       20:30:57.61 +60:25:52.0 2000.00  03:07 1.227  WFC  249.4  180  i                                
 505614 UGC11538 I       20:31:26.50 +60:23:23.1 2000.00  03:12 1.222  WFC  249.9  180  i                                
 505615 UGC11538 I       20:29:59.81 +60:30:49.8 2000.00  03:18 1.216  WFC  250.0  180  i                                
 505616 UGC11538 I       20:29:30.93 +60:33:18.8 2000.00  03:23 1.212  WFC  250.0  180  i                                
 505617 UGC11538 I       20:30:59.57 +60:23:05.5 2000.00  03:28 1.206  WFC  249.9  180  i                                
 505618 UGC11538 I       20:30:30.68 +60:25:34.4 2000.00  03:33 1.202  WFC  249.9  180  i                                
 505619 UGC11538 I       20:29:32.90 +60:30:32.4 2000.00  03:38 1.199  WFC  249.9  180  i                                
 505620 UGC11538 I       20:30:26.75 +60:31:07.3 2000.00  03:43 1.196  WFC  250.0  180  i                                
 505621 UGC11538 I       20:31:53.42 +60:23:40.5 2000.00  03:48 1.192  WFC  249.4  180  i                                
