INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 13 07:21

TELESCOPE             INT
DATE                  20060712
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:45
MORNING TWILIGHT (UT) 04:50
SUNRISE (UT)          06:14
%ILLUM. LUNAR DISK    95
DARK TIME (HRS)       07:05
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         21:39
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:10
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
40 km/h winds all night but otherwise good

COMMENTS (causes of time lost, setup information eg CCD windows):
slight problems early on due  possibly to power supply (generator rather than mains) affecting tracking and pointing



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 514005 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  21:47 2.361  WFC   35.1  180  stromgren v                      
 514006 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  21:49 2.346  WFC   30.1  180  stromgren b                      
 514007 NGC7128 y        21:44:06.50 +53:39:00.0 2000.00  21:50 2.331  WFC   30.1  180  stromgren y                      
 514008 NGC7128 g        21:44:06.50 +53:39:00.0 2000.00  21:51 2.314  WFC   60.1  180  g                                
 514009 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  21:53 2.296  WFC   35.1  180  r                                
 514010 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  21:54 2.280  WFC   45.1  180  stromgren u                      
 514011 NGC7128 v        21:44:06.50 +53:39:00.0 2000.00  21:56 2.264  WFC   35.1  180  stromgren v                      
 514012 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  21:57 2.250  WFC   30.1  180  stromgren b                      
 514013 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  21:58 2.237  WFC   30.1  180  stromgren y                      
 514014 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  21:59 2.221  WFC   60.1  180  g                                
 514015 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  22:01 2.205  WFC   35.1  180  r                                
 514016 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  22:02 2.188  WFC   60.1  180  stromgren u                      
 514017 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  22:04 2.171  WFC   50.0  180  stromgren v                      
 514018 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  22:05 2.155  WFC   50.1  180  stromgren b                      
 514019 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  22:07 2.140  WFC   50.0  180  stromgren y                      
 514020 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  22:08 2.123  WFC   60.0  180  g                                
 514021 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  22:10 2.107  WFC   49.6  180  r                                
 514022 NGC7128 u        21:44:06.49 +53:38:59.9 2000.00  22:12 2.091  WFC   60.1  180  stromgren u                      
 514023 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  22:13 2.076  WFC   50.1  180  stromgren v                      
 514024 NGC7128 b        21:44:06.49 +53:38:59.9 2000.00  22:15 2.062  WFC   50.1  180  stromgren b                      
 514025 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  22:16 2.047  WFC   50.0  180  stromgren y                      
 514026 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  22:18 2.033  WFC   60.1  180  g                                
 514027 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  22:20 2.018  WFC   50.0  180  r                                
 514028 NGC7128 u        21:44:06.49 +53:38:59.9 2000.00  22:21 2.003  WFC   60.1  180  stromgren u                      
 514029 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  22:23 1.989  WFC   50.1  180  stromgren v                      
 514030 NGC7128 b        21:44:06.50 +53:39:00.0 2000.00  22:24 1.976  WFC   49.5  180  stromgren b                      
 514031 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  22:26 1.963  WFC   50.0  180  stromgren y                      
 514032 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  22:27 1.950  WFC   60.1  180  g                                
 514033 NGC7128 r        21:44:06.50 +53:39:00.0 2000.00  22:29 1.937  WFC   50.1  180  r                                
 514034 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  22:31 1.923  WFC   59.6  180  stromgren u                      
 514035 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  22:32 1.911  WFC   50.1  180  stromgren v                      
 514036 NGC7128 b        21:44:06.50 +53:39:00.0 2000.00  22:34 1.899  WFC   50.1  180  stromgren b                      
 514037 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  22:35 1.887  WFC   50.1  180  stromgren y                      
 514038 NGC7128 g        21:44:06.49 +53:39:00.0 2000.00  22:37 1.874  WFC   59.5  180  g                                
 514039 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  22:38 1.862  WFC   49.5  180  r                                
 514040 NGC7128 u        21:44:06.50 +53:39:00.0 2000.00  22:40 1.850  WFC   60.1  180  stromgren u                      
 514041 NGC7128 v        21:44:06.51 +53:38:59.9 2000.00  22:42 1.838  WFC   50.1  180  stromgren v                      
 514042 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  22:43 1.828  WFC   45.1  180  stromgren b                      
 514043 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  22:45 1.818  WFC   40.1  180  stromgren y                      
