 487669 M34 i             2:42:05.99 +42:47:00.0 2000.00  21:14 1.046  WFC   30.1  180  i                                
 487670 M34 V             2:42:06.00 +42:47:00.0 2000.00  21:16 1.045  WFC   60.1  180  V                                
 487671 M34 i             2:42:06.00 +42:47:00.0 2000.00  21:18 1.044  WFC   30.1  180  i                                
 487672 M34 V             2:42:06.00 +42:47:00.0 2000.00  21:20 1.043  WFC   60.1  180  V                                
 487673 M34 i             2:42:06.00 +42:47:00.0 2000.00  21:22 1.042  WFC   30.1  180  i                                
 487674 M34 V             2:42:06.00 +42:46:59.9 2000.00  21:23 1.041  WFC   60.1  180  V                                
 487675 g Cep            23:39:20.85 +77:37:56.1 2000.00  21:44 1.632  WFC   20.1  180  B                                Very thick cloud
 487676 g Cep            23:39:20.84 +77:37:56.2 2000.00  21:45 1.634  WFC    9.5  180  r                                Oops with filters
 487677 Dark frame        0:00:00.00 +00:00:00.0 2000.00  22:23 1.532  WFC  600.0  180  Halpha                           
 487678 ONC i             5:35:29.99 -05:22:59.9 2000.00  00:45 1.209  WFC   30.1  180  i                                
 487679 ONC i             5:35:30.00 -05:23:00.0 2000.00  00:49 1.208  WFC   30.1  180  i                                
 487680 ONC i             5:35:30.00 -05:22:59.9 2000.00  00:52 1.208  WFC   30.1  180  i                                
 487681 onc V             5:35:30.00 -05:23:00.0 2000.00  00:57 1.208  WFC   60.0  180  V                                
 487682 onc i             5:35:30.00 -05:22:59.9 2000.00  00:59 1.208  WFC   30.1  180  i                                
 487683 onc V             5:35:29.99 -05:23:00.0 2000.00  01:00 1.208  WFC   60.1  180  V                                
 487684 onc i             5:35:30.00 -05:23:00.0 2000.00  01:03 1.208  WFC   30.1  180  i                                
 487685 onc V             5:35:29.99 -05:23:00.0 2000.00  01:04 1.209  WFC   60.1  180  V                                
 487686 onc i             5:35:30.00 -05:23:00.0 2000.00  01:06 1.209  WFC   29.6  180  i                                
 487687 onc V             5:35:30.00 -05:23:00.0 2000.00  01:08 1.210  WFC   60.1  180  V                                
 487688 onc i             5:35:30.00 -05:23:00.1 2000.00  01:10 1.210  WFC   30.0  180  i                                
 487689 onc V             5:35:30.00 -05:23:00.0 2000.00  01:12 1.211  WFC   60.0  180  V                                
 487690 onc i             5:35:30.00 -05:23:00.0 2000.00  01:14 1.212  WFC   30.1  180  i                                
 487691 onc V             5:35:29.99 -05:23:00.0 2000.00  01:16 1.213  WFC   60.1  180  V                                
 487692 onc i             5:35:30.00 -05:23:00.0 2000.00  01:18 1.214  WFC   30.1  180  i                                
 487693 onc V             5:35:30.00 -05:23:00.0 2000.00  01:19 1.215  WFC   60.0  180  V                                
 487694 onc i             5:35:30.00 -05:22:59.9 2000.00  01:22 1.216  WFC   30.1  180  i                                
 487695 onc V             5:35:29.99 -05:23:00.0 2000.00  01:23 1.217  WFC   60.1  180  V                                
 487696 onc i             5:35:29.99 -05:23:00.0 2000.00  01:25 1.218  WFC   30.1  180  i                                
 487697 onc V             5:35:30.00 -05:22:59.9 2000.00  01:27 1.220  WFC   59.5  180  V                                
 487698 onc i             5:35:30.00 -05:23:00.0 2000.00  01:29 1.221  WFC   30.0  180  i                                
 487699 onc V             5:35:29.99 -05:23:00.0 2000.00  01:31 1.223  WFC   60.1  180  V                                
 487700 onc i             5:35:29.99 -05:23:00.0 2000.00  01:33 1.225  WFC   29.5  180  i                                
