 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 496304 H61_45 240s      12:12:24.89 +29:11:01.0 2000.00  02:41 1.099  WFC  239.9  180  r                                
 496305 H61_46 240s      12:12:14.90 +29:11:10.8 2000.00  02:47 1.111  WFC  239.4  180  r                                
 496306 H61_47 240s      12:12:04.89 +29:11:00.6 2000.00  02:53 1.125  WFC  239.9  180  r                                
 496307 H61_48 240s      12:12:24.89 +29:11:11.0 2000.00  02:59 1.138  WFC  240.0  180  r                                
 496308 H61_49 240s      12:12:24.89 +29:11:01.0 2000.00  03:06 1.153  WFC  239.9  180  r                                
 496309 H61_50 240s      12:12:14.90 +29:11:30.9 2000.00  03:12 1.170  WFC  239.9  180  r                                
 496310 H61_51 240s      12:12:04.90 +29:11:40.7 2000.00  03:18 1.188  WFC  240.0  180  r                                
 496311 H61_52 240s      12:12:24.89 +29:11:31.0 2000.00  03:24 1.205  WFC  240.0  180  r                                
 496312 H61_53 240s      12:12:24.89 +29:11:40.9 2000.00  03:30 1.225  WFC  240.0  180  r                                
 496313 H61_54 240s      12:12:34.90 +29:11:31.0 2000.00  03:37 1.245  WFC  240.0  180  r                                
 496314 H61_55 240s      12:12:44.90 +29:11:41.0 2000.00  03:43 1.267  WFC  240.0  180  r                                
 496315 H79_7 480s       15:59:11.89 +20:45:10.8 2000.00  03:51 1.024  WFC  479.8  180  r                                
 496316 H79_8 480s       15:59:01.89 +20:45:20.9 2000.00  04:01 1.018  WFC  479.9  180  r                                
 496317 H79_9 480s       15:58:51.90 +20:45:10.8 2000.00  04:11 1.013  WFC  479.9  180  r                                
 496318 H79_10 480s      15:59:01.89 +20:45:30.9 2000.00  04:22 1.011  WFC  479.3  180  r                                
 496319 H79_11 480s      15:58:51.90 +20:45:30.9 2000.00  04:32 1.010  WFC  479.9  180  r                                
 496320 H79_12 480s      15:59:21.89 +20:45:41.0 2000.00  04:42 1.011  WFC  479.9  180  r                                
 496321 H79_13 480s      15:59:31.90 +20:45:51.1 2000.00  04:52 1.013  WFC  479.9  180  r                                
 496322 H79_14 480s      15:59:11.89 +20:45:40.9 2000.00  05:02 1.017  WFC  479.8  180  r                                
 496323 H79_15 480s      15:59:11.90 +20:45:51.1 2000.00  05:12 1.022  WFC  479.8  180  r                                
 496324 H79_16 480s      15:59:21.90 +20:45:41.0 2000.00  05:22 1.029  WFC  479.3  180  r                                
 496325 H79_17 480s      15:59:31.91 +20:45:50.9 2000.00  05:32 1.038  WFC  479.8  180  r                                
 496326 H79_18 480s      15:59:11.90 +20:45:30.9 2000.00  05:42 1.050  WFC  479.9  180  r                                
 496327 H79_19 480s      15:59:21.90 +20:45:31.1 2000.00  05:52 1.062  WFC  479.2  180  r                                
