 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 441240 Sky flat         18:06:02.66 +00:29:50.0 2000.00  07:27 1.545  WFC    3.1  180  I                                
 441241 Sky flat         18:05:57.33 +00:29:30.0 2000.00  07:29 1.533  WFC    4.1  180  I                                
 441242 Sky flat         18:05:59.99 +00:29:09.9 2000.00  07:31 1.525  WFC    3.1  180  I                                
 441243 Sky flat         18:05:57.33 +00:30:50.0 2000.00  07:32 1.516  WFC    1.9  180  I                                
 441244 Bias             15:15:48.00 -00:42:50.0 2000.00  07:35 1.149  WFC    0.0  180  I                                
 441245 Bias             15:15:48.00 -00:42:49.9 2000.00  07:36 1.149  WFC    0.0  180  I                                
 441246 Bias              0:00:00.00 +00:00:00.0 2000.00  07:37 1.010  WFC    0.0  180  I                                
 441247 Bias              0:00:00.00 +00:00:00.0 2000.00  07:37 1.556  WFC    0.0  180  I                                
 441248 Bias              0:00:00.00 +00:00:00.0 2000.00  07:38 2.469  WFC    0.0  180  I                                
 441249 Bias              0:00:00.00 +00:00:00.0 2000.00  07:39 2.469  WFC    0.0  180  I                                
