INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 14 07:19

TELESCOPE             INT
DATE                  20060713
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:20
EVENING TWILIGHT (UT) 21:45
MORNING TWILIGHT (UT) 04:50
SUNRISE (UT)          06:15
%ILLUM. LUNAR DISK    89
DARK TIME (HRS)       07:05
TWILIGHT TIME (HRS)   02:50
MOONRISE (UT)         22:19
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         02:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
slightly windy but otherwise good

COMMENTS (causes of time lost, setup information eg CCD windows):
Telescope spontaneously defocussed twice during the night for reasons known only to itself.
Substantial manual intervention made continued observations possible, but this fault needs fixing.


 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 514443 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  22:09 2.079  WFC   35.1  180  stromgren v                      
 514444 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  22:11 2.067  WFC   30.1  180  stromgren b                      
 514445 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  22:12 2.056  WFC   30.1  180  stromgren y                      
 514446 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  22:13 2.043  WFC   60.0  180  g                                
 514447 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  22:15 2.029  WFC   40.1  180  r                                
 514448 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  22:16 2.016  WFC   45.1  180  stromgren u                      
 514449 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  22:17 2.004  WFC   35.1  180  stromgren v                      
 514450 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  22:19 1.993  WFC   30.1  180  stromgren b                      
 514451 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  22:20 1.983  WFC   30.1  180  stromgren y                      
 514452 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  22:21 1.971  WFC   60.1  180  g                                
 514453 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  22:23 1.958  WFC   40.1  180  r                                
 514454 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  22:24 1.946  WFC   45.1  180  stromgren u                      
 514455 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  22:26 1.935  WFC   35.1  180  stromgren v                      
 514456 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  22:27 1.925  WFC   30.1  180  stromgren b                      
 514457 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  22:28 1.915  WFC   30.1  180  stromgren y                      
 514458 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  22:29 1.904  WFC   60.1  180  g                                
 514459 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  22:31 1.892  WFC   40.0  180  r                                
 514460 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  22:32 1.881  WFC   45.1  180  stromgren u                      
 514461 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  22:34 1.871  WFC   35.1  180  stromgren v                      
 514462 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  22:35 1.862  WFC   30.1  180  stromgren b                      
 514463 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  22:36 1.853  WFC   30.1  180  stromgren y                      
 514464 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  22:37 1.842  WFC   60.1  180  g                                
 514465 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  22:39 1.831  WFC   39.5  180  r                                
 514466 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  22:40 1.821  WFC   45.1  180  stromgren u                      
 514467 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  22:42 1.811  WFC   35.1  180  stromgren v                      
 514468 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  22:43 1.803  WFC   29.5  180  stromgren b                      
 514469 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  22:44 1.795  WFC   30.1  180  stromgren y                      
 514470 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  22:45 1.785  WFC   60.1  180  g                                
 514471 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  22:47 1.774  WFC   40.1  180  r                                
 514472 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  22:49 1.765  WFC   45.1  180  stromgren u                      
