 451324 1429+4145        14:29:55.99 +41:45:16.9 2000.00  23:22 1.028  WFC   40.1  180  g                                
 451325 1429+4145        14:29:56.00 +41:45:17.0 2000.00  23:23 1.028  WFC   40.1  180  g                                
 451326 1429+4145        14:29:56.00 +41:45:17.0 2000.00  23:24 1.027  WFC   40.0  180  g                                
 451327 1429+4145        14:29:56.00 +41:45:17.0 2000.00  23:26 1.027  WFC   40.1  180  g                                
 451328 1429+4145        14:29:56.00 +41:45:17.0 2000.00  23:27 1.027  WFC   40.1  180  g                                
 451329 1429+4145        14:29:56.00 +41:45:16.9 2000.00  23:28 1.027  WFC   40.1  180  g                                
 451330 1429+4145        14:29:55.99 +41:45:16.9 2000.00  23:29 1.027  WFC   40.1  180  g                                
 451331 1429+4145        14:29:55.99 +41:45:16.9 2000.00  23:31 1.026  WFC   40.1  180  g                                
 451332 1429+4145        14:29:55.99 +41:45:16.9 2000.00  23:32 1.026  WFC   40.1  180  g                                
 451333 1429+4145        14:29:56.00 +41:45:16.9 2000.00  23:33 1.026  WFC   40.1  180  g                                
 451334 1429+4145        14:29:56.00 +41:45:17.0 2000.00  23:35 1.026  WFC   40.1  180  g                                
 451335 1429+4145        14:29:55.99 +41:45:16.9 2000.00  23:36 1.026  WFC   40.1  180  g                                
 451336 1429+4145        14:29:55.99 +41:45:17.0 2000.00  23:37 1.026  WFC   39.5  180  g                                
 451337 1429+4145        14:29:56.00 +41:45:16.9 2000.00  23:38 1.026  WFC   40.0  180  g                                
 451338 1429+4145        14:29:55.99 +41:45:16.9 2000.00  23:40 1.026  WFC   40.1  180  g                                
 451340 V849HER          16:35:46.00 +11:24:57.9 2000.00  23:45 1.189  WFC   40.1  180  g                                
 451341 v849her          16:35:45.99 +11:24:58.1 2000.00  23:52 1.172  WFC   40.1  180  g                                
 451342 v849her          16:35:45.99 +11:24:57.9 2000.00  23:53 1.168  WFC   40.1  180  g                                
 451343 v849her          16:35:46.00 +11:24:58.0 2000.00  23:54 1.165  WFC   40.1  180  g                                
 451344 v849her          16:35:46.00 +11:24:57.9 2000.00  23:55 1.162  WFC   40.1  180  g                                
 451345 v849her          16:35:45.99 +11:24:57.9 2000.00  23:57 1.159  WFC   40.1  180  g                                
 451346 v849her          16:35:46.00 +11:24:57.9 2000.00  23:58 1.156  WFC   40.0  180  g                                
 451347 v849her          16:35:46.00 +11:24:58.0 2000.00  23:59 1.154  WFC   40.1  180  g                                
 451348 v849her          16:35:45.99 +11:24:58.0 2000.00  00:01 1.151  WFC   40.1  180  g                                
 451349 v849her          16:35:46.00 +11:24:58.0 2000.00  00:02 1.148  WFC   40.1  180  g                                
 451350 v849her          16:35:45.99 +11:24:58.0 2000.00  00:03 1.145  WFC   40.1  180  g                                
 451351 v849her          16:35:46.00 +11:24:58.0 2000.00  00:04 1.143  WFC   40.1  180  g                                
