 509718 Coll350 He1      17:48:06.00 +01:17:59.9 2000.00  22:18 1.375  WFC  120.0  180  HeI 5870                         
 509719 Coll350 r        17:48:05.99 +01:18:00.0 2000.00  22:21 1.367  WFC   30.1  180  r                                
 509720 Coll350 Ha       17:48:05.99 +01:17:59.9 2000.00  22:22 1.359  WFC  120.0  180  Halpha                           
 509721 Coll350 i        17:48:05.99 +01:18:00.0 2000.00  22:24 1.352  WFC   10.1  180  i                                
 509722 Coll350 g        17:48:05.99 +01:18:00.0 2000.00  22:25 1.348  WFC   30.1  180  g                                
 509723 Coll350 U        17:48:06.00 +01:17:59.9 2000.00  22:27 1.341  WFC  120.0  180  U                                
 509724 KLDra He1        19:24:38.37 +59:41:46.7 2000.00  22:31 1.508  WFC  120.0  180  HeI 5870                         
 509725 KLDra r          19:24:38.37 +59:41:46.7 2000.00  22:34 1.501  WFC   30.1  180  r                                
 509726 KLDra Ha         19:24:38.38 +59:41:46.7 2000.00  22:35 1.494  WFC  120.0  180  Halpha                           
 509727 KLDra i          19:24:38.37 +59:41:46.6 2000.00  22:37 1.488  WFC   10.1  180  i                                
 509728 KLDra g          19:24:38.38 +59:41:46.7 2000.00  22:38 1.484  WFC   29.5  180  g                                
 509729 KLDra U          19:24:38.38 +59:41:46.7 2000.00  22:40 1.478  WFC  120.0  180  U                                
 509730 uvex_4233o He1   18:50:41.47 -00:08:59.8 2000.00  22:48 1.569  WFC  118.9  180  HeI 5870                         
 509731 uvex_4233o r     18:50:41.48 -00:08:59.9 2000.00  22:51 1.557  WFC   30.1  180  r                                
 509732 uvex_4233o U     18:50:41.48 -00:09:00.0 2000.00  22:52 1.544  WFC  120.0  180  U                                
 509733 uvex_4233o g     18:50:41.47 -00:08:59.9 2000.00  22:55 1.533  WFC   30.1  180  g                                
 509734 uvex_4234 He1    18:50:21.86 -03:09:59.7 2000.00  22:56 1.582  WFC  120.1  180  HeI 5870                         
 509735 uvex_4234 r      18:50:21.87 -03:10:00.0 2000.00  22:59 1.570  WFC   30.1  180  r                                
 509736 uvex_4234 U      18:50:21.86 -03:09:59.9 2000.00  23:00 1.558  WFC  120.0  180  U                                
 509737 uvex_4234 g      18:50:21.86 -03:10:00.0 2000.00  23:02 1.547  WFC   30.1  180  g                                
 509738 uvex_4234o He1   18:50:41.89 -03:05:00.0 2000.00  23:04 1.536  WFC  120.0  180  HeI 5870                         
 509739 uvex_4234o r     18:50:41.90 -03:05:00.0 2000.00  23:06 1.525  WFC   30.1  180  r                                
