 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 565128 field2 clear     17:59:00.00 +01:37:59.9 2000.00  02:08 1.128  WFC   30.0  180  CLEAR                            
 565129 field2 clear     17:59:00.00 +01:38:00.0 2000.00  02:09 1.129  WFC   30.1  180  CLEAR                            
 565130 field2 clear     17:59:00.00 +01:38:00.0 2000.00  02:10 1.129  WFC   30.1  180  CLEAR                            
 565131 field2 clear     17:58:59.99 +01:38:00.0 2000.00  02:11 1.130  WFC   29.5  180  CLEAR                            
 565132 field2 clear     17:58:59.99 +01:37:59.9 2000.00  02:12 1.130  WFC   30.1  180  CLEAR                            
 565133 SA110-232 g      18:40:52.32 +01:01:54.8 2000.00  02:15 1.131  WFC   10.1  180  g                                
 565134 SA110-232 g      18:40:52.32 +01:01:54.8 2000.00  02:16 1.131  WFC    4.1  180  g                                brightest saturated - other fainter stds in field
 565135 SA110-232 g      18:40:52.33 +01:01:54.7 2000.00  02:18 1.131  WFC    2.1  180  g                                
 565136 SA110-232 g      18:40:52.33 +01:01:54.8 2000.00  02:22 1.130  WFC   20.1  180  g                                
 565137 SA110-232 r      18:40:52.33 +01:01:54.8 2000.00  02:23 1.130  WFC   20.1  180  r                                
 565138 SA110-232 u      18:40:52.32 +01:01:54.8 2000.00  02:25 1.129  WFC   60.0  180  U                                
 565139 field3 clear     19:42:00.00 +19:05:59.9 2000.00  02:30 1.043  WFC   30.1  180  CLEAR                            
 565140 Focus run        19:41:59.99 +19:06:00.0 2000.00  02:38 1.038  WFC   10.1  180  g                                
 565141 field3 g         19:42:00.00 +19:06:00.0 2000.00  02:40 1.034  WFC   10.1  180  g                                
 565142 field3 g         19:41:59.99 +19:06:00.0 2000.00  02:42 1.032  WFC  120.0  180  g                                
 565143 field3 U         19:42:00.00 +19:05:59.9 2000.00  02:46 1.028  WFC  240.0  180  r                                wrong 'object' r band NOT u band
 565144 field3 r         19:41:59.99 +19:06:00.0 2000.00  02:51 1.026  WFC  120.0  180  r                                
 565145 field3 U         19:41:59.99 +19:06:00.0 2000.00  02:54 1.023  WFC  240.0  180  U                                
 565146 field3           19:42:00.00 +19:06:00.0 2000.00  02:59 1.022  WFC   29.6  180  CLEAR                            
 565147 field3           19:41:59.99 +19:06:00.0 2000.00  03:00 1.021  WFC   29.6  180  CLEAR                            
 565148 field3           19:42:00.00 +19:05:59.9 2000.00  03:01 1.021  WFC   30.1  180  CLEAR                            
 565149 field3           19:42:00.00 +19:06:00.0 2000.00  03:02 1.020  WFC   30.1  180  CLEAR                            
 565150 field3           19:42:00.00 +19:05:59.9 2000.00  03:03 1.020  WFC   29.5  180  CLEAR                            
 565151 field3           19:42:00.00 +19:05:59.9 2000.00  03:04 1.020  WFC   29.6  180  CLEAR                            
 565152 field3           19:41:59.99 +19:06:00.3 2000.00  03:05 1.019  WFC   30.1  180  CLEAR                            
 565153 field3           19:42:00.00 +19:06:00.0 2000.00  03:06 1.019  WFC   30.1  180  CLEAR                            
 565154 field3           19:41:59.99 +19:05:59.9 2000.00  03:07 1.018  WFC   30.1  180  CLEAR                            
 565155 field3           19:42:00.00 +19:05:59.9 2000.00  03:08 1.018  WFC   29.6  180  CLEAR                            
 565156 field3           19:41:59.99 +19:06:00.0 2000.00  03:09 1.018  WFC   29.5  180  CLEAR                            
 565157 field3           19:41:59.99 +19:05:59.9 2000.00  03:10 1.017  WFC   30.1  180  CLEAR                            
 565158 field3           19:42:00.00 +19:06:00.0 2000.00  03:11 1.017  WFC   30.1  180  CLEAR                            
 565159 field3           19:42:00.00 +19:05:59.9 2000.00  03:12 1.017  WFC   30.1  180  CLEAR                            
 565160 field3           19:42:00.00 +19:06:00.0 2000.00  03:13 1.016  WFC   30.1  180  CLEAR                            
 565161 field3           19:42:00.00 +19:05:59.9 2000.00  03:14 1.016  WFC   30.1  180  CLEAR                            
 565162 field3           19:42:00.00 +19:05:59.9 2000.00  03:15 1.016  WFC   30.1  180  CLEAR                            
 565163 field3           19:42:00.00 +19:06:00.0 2000.00  03:16 1.016  WFC   30.1  180  CLEAR                            
 565164 field3           19:42:00.00 +19:05:59.9 2000.00  03:17 1.016  WFC   30.1  180  CLEAR                            
 565165 field3           19:41:59.99 +19:06:00.0 2000.00  03:18 1.015  WFC   29.6  180  CLEAR                            
 565166 field3           19:42:00.00 +19:05:59.9 2000.00  03:19 1.015  WFC   30.1  180  CLEAR                            
 565167 field3           19:41:59.99 +19:06:00.0 2000.00  03:20 1.015  WFC   29.5  180  CLEAR                            
 565168 field3           19:41:59.99 +19:06:00.0 2000.00  03:21 1.015  WFC   29.5  180  CLEAR                            
 565169 field3           19:42:00.00 +19:05:59.9 2000.00  03:22 1.015  WFC   30.1  180  CLEAR                            
 565170 field3           19:41:59.99 +19:06:00.0 2000.00  03:23 1.015  WFC   29.6  180  CLEAR                            
 565171 field3           19:42:00.01 +19:06:00.0 2000.00  03:24 1.015  WFC   30.1  180  CLEAR                            
 565172 field3           19:41:59.99 +19:05:59.9 2000.00  03:25 1.014  WFC   30.1  180  CLEAR                            
 565173 field3           19:42:00.00 +19:05:59.9 2000.00  03:26 1.014  WFC   30.1  180  CLEAR                            
 565174 field3           19:42:00.00 +19:06:00.0 2000.00  03:27 1.014  WFC   30.1  180  CLEAR                            
 565175 field3           19:41:59.99 +19:05:59.9 2000.00  03:28 1.014  WFC   30.1  180  CLEAR                            
 565176 field3           19:42:00.00 +19:05:59.9 2000.00  03:29 1.014  WFC   30.1  180  CLEAR                            
 565177 field3           19:42:00.00 +19:05:59.9 2000.00  03:30 1.014  WFC   30.1  180  CLEAR                            
 565178 field3           19:41:59.99 +19:05:59.9 2000.00  03:31 1.014  WFC   30.1  180  CLEAR                            
 565179 field3           19:41:59.99 +19:05:59.9 2000.00  03:32 1.014  WFC   30.1  180  CLEAR                            
 565180 field3           19:42:00.00 +19:06:00.0 2000.00  03:33 1.014  WFC   30.1  180  CLEAR                            
 565181 field3           19:41:59.99 +19:06:00.0 2000.00  03:34 1.015  WFC   30.1  180  CLEAR                            
 565182 field3           19:42:00.00 +19:06:00.0 2000.00  03:35 1.015  WFC   30.1  180  CLEAR                            
 565183 field3           19:42:00.00 +19:05:59.9 2000.00  03:36 1.015  WFC   30.1  180  CLEAR                            
 565184 field3           19:42:00.00 +19:05:59.9 2000.00  03:37 1.015  WFC   30.1  180  CLEAR                            
 565185 field3           19:42:00.00 +19:05:59.9 2000.00  03:38 1.015  WFC   30.1  180  CLEAR                            
 565186 field3           19:41:59.99 +19:05:59.9 2000.00  03:39 1.015  WFC   29.5  180  CLEAR                            
 565187 field3           19:42:00.00 +19:05:59.9 2000.00  03:40 1.015  WFC   30.0  180  CLEAR                            
 565188 field3           19:42:00.00 +19:05:59.9 2000.00  03:41 1.015  WFC   30.1  180  CLEAR                            
 565189 field3           19:41:59.99 +19:06:00.0 2000.00  03:42 1.016  WFC   29.6  180  CLEAR                            
 565190 field3           19:41:59.99 +19:06:00.0 2000.00  03:43 1.016  WFC   30.1  180  CLEAR                            
 565191 field3           19:42:00.00 +19:06:00.0 2000.00  03:44 1.016  WFC   30.1  180  CLEAR                            
 565192 field3           19:42:00.00 +19:06:00.0 2000.00  03:45 1.016  WFC   30.1  180  CLEAR                            
 565193 field3           19:41:59.99 +19:06:00.0 2000.00  03:46 1.017  WFC   30.1  180  CLEAR                            
 565194 field3           19:41:59.99 +19:05:59.9 2000.00  03:47 1.017  WFC   30.1  180  CLEAR                            
 565195 field3           19:42:00.00 +19:06:00.0 2000.00  03:48 1.017  WFC   30.1  180  CLEAR                            
 565196 field3           19:42:00.00 +19:05:59.9 2000.00  03:49 1.018  WFC   30.1  180  CLEAR                            
 565197 field3           19:41:59.99 +19:05:59.9 2000.00  03:50 1.018  WFC   30.1  180  CLEAR                            
 565198 field3           19:42:00.00 +19:05:59.9 2000.00  03:51 1.018  WFC   29.5  180  CLEAR                            
 565199 field3           19:41:59.99 +19:06:00.0 2000.00  03:52 1.019  WFC   30.1  180  CLEAR                            
 565200 field3           19:42:00.00 +19:06:00.0 2000.00  03:53 1.019  WFC   30.1  180  CLEAR                            
 565201 field3           19:42:00.00 +19:06:00.0 2000.00  03:54 1.019  WFC   30.1  180  CLEAR                            
 565202 field3           19:42:00.00 +19:06:00.0 2000.00  03:55 1.020  WFC   30.1  180  CLEAR                            
 565203 field3           19:42:00.00 +19:06:00.0 2000.00  03:56 1.020  WFC   30.1  180  CLEAR                            
 565204 field3           19:41:59.99 +19:05:59.9 2000.00  03:57 1.021  WFC   30.1  180  CLEAR                            
 565205 field3           19:41:59.99 +19:06:00.0 2000.00  03:58 1.021  WFC   30.1  180  CLEAR                            
 565206 field3           19:41:59.99 +19:05:59.9 2000.00  03:59 1.022  WFC   30.1  180  CLEAR                            
 565207 field3           19:41:59.99 +19:05:59.9 2000.00  04:00 1.022  WFC   30.1  180  CLEAR                            
 565208 field3           19:42:00.00 +19:05:59.9 2000.00  04:01 1.023  WFC   30.1  180  CLEAR                            
 565209 field3           19:41:59.99 +19:06:00.0 2000.00  04:02 1.023  WFC   30.1  180  CLEAR                            
 565210 field3           19:41:59.99 +19:05:59.9 2000.00  04:03 1.024  WFC   30.1  180  CLEAR                            
 565211 field3           19:42:00.00 +19:05:59.9 2000.00  04:04 1.024  WFC   29.6  180  CLEAR                            
 565212 field3           19:41:59.99 +19:05:59.9 2000.00  04:05 1.025  WFC   30.1  180  CLEAR                            
