 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 709455 Bias              0:00:00.00 +00:00:00.0  2009.91 17:03 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709456 Bias              0:00:00.00 +00:00:00.0  2009.91 17:04 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709457 Bias              0:00:00.00 +00:00:00.0  2009.91 17:04 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709458 Bias              0:00:00.00 +00:00:00.0  2009.91 17:04 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709459 Bias              0:00:00.00 +00:00:00.0  2009.91 17:04 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709460 Bias              0:00:00.00 +00:00:00.0  2009.91 17:04 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709461 Bias              0:00:00.00 +00:00:00.0  2009.91 17:05 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709462 Bias              0:00:00.00 +00:00:00.0  2009.91 17:05 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709463 Bias              0:00:00.00 +00:00:00.0  2009.91 17:05 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709464 Bias              0:00:00.00 +00:00:00.0  2009.91 17:05 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709465 Bias              0:00:00.00 +00:00:00.0  2009.91 17:05 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709466 Bias              0:00:00.00 +00:00:00.0  2009.91 17:06 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709467 Bias              0:00:00.00 +00:00:00.0  2009.91 17:06 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709468 Bias              0:00:00.00 +00:00:00.0  2009.91 17:06 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709469 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:08 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709470 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:08 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709471 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:08 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709472 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:09 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709473 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:09 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
