 562889 N4691 HeI        12:48:13.50 -03:20:02.0 2000.00  22:50 1.272  WFC  399.9  180  HeI 5870                         
 562890 N4691 g          12:48:13.50 -03:20:02.0 2000.00  22:58 1.286  WFC  199.9  180  g                                
 562891 N4691 Ha         12:48:13.50 -03:20:02.0 2000.00  23:03 1.303  WFC  399.8  180  Halpha                           CCD noise
 562892 N4691 r          12:48:13.50 -03:20:02.0 2000.00  23:10 1.317  WFC  100.1  180  r                                
 562893 N4691 i          12:48:13.50 -03:20:02.0 2000.00  23:13 1.323  WFC   60.0  180  i                                
 562894 N4536 i          12:34:27.10 +02:11:16.8 2000.00  23:16 1.295  WFC   60.0  180  i                                
 562895 N4536 r          12:34:27.10 +02:11:16.9 2000.00  23:18 1.303  WFC  100.0  180  r                                
 562896 N4536 g          12:34:27.10 +02:11:16.9 2000.00  23:20 1.314  WFC  200.0  180  g                                
 562897 N4536 Ha         12:34:27.09 +02:11:17.0 2000.00  23:24 1.335  WFC  399.8  180  Halpha                           
 562898 N4536 HeI        12:34:27.10 +02:11:17.0 2000.00  23:33 1.371  WFC  399.9  180  HeI 5870                         
 562899 ST_L104 Ha       12:42:51.12 -00:31:49.0 2000.00  23:53 1.457  WFC  120.0  180  Halpha                           
 562900 ST_L104 r        12:42:51.12 -00:31:48.9 2000.00  23:55 1.466  WFC   30.1  180  r                                
 562901 ST_L104 i        12:42:51.11 -00:31:48.8 2000.00  23:57 1.470  WFC   10.1  180  i                                CCD noise (small)
 562902 ST_L107 Ha       15:39:20.88 -00:20:25.9 2000.00  23:58 1.148  WFC  119.5  180  Halpha                           
 562903 ST_L107 r        15:39:20.87 -00:20:25.8 2000.00  00:01 1.148  WFC   29.5  180  r                                
 562904 ST_L107 i        15:39:20.87 -00:20:25.8 2000.00  00:02 1.147  WFC   10.1  180  i                                CCD noise
 562905 BD+332642 Ha     15:51:59.76 +32:56:54.2 2000.00  00:10 1.006  WFC   19.5  180  Halpha                           
 562906 BD+332642 r      15:51:59.77 +32:56:54.1 2000.00  00:11 1.005  WFC    3.1  180  r                                
 562907 BD+332642 i      15:51:59.75 +32:56:54.2 2000.00  00:12 1.005  WFC    3.1  180  i                                
 562909 intphas_4172 Ha  18:45:11.81 -02:36:59.8 2000.00  00:17 1.718  WFC  120.0  180  Halpha                           
 562910 intphas_4172 r   18:45:11.81 -02:37:00.0 2000.00  00:20 1.703  WFC   30.1  180  r                                
 562911 intphas_4172 i   18:45:11.81 -02:37:00.0 2000.00  00:21 1.696  WFC    9.5  180  i                                
 562912 intphas_4172o Ha 18:45:31.84 -02:31:59.9 2000.00  00:22 1.683  WFC  120.0  180  Halpha                           
 562913 intphas_4172o r  18:45:31.83 -02:31:59.9 2000.00  00:24 1.669  WFC   30.1  180  r                                
 562914 intphas_4172o i  18:45:31.82 -02:32:00.0 2000.00  00:25 1.663  WFC   10.1  180  i                                
 562915 intphas_4174 Ha  18:45:13.76 +00:19:00.2 2000.00  00:26 1.583  WFC  120.0  180  Halpha                           
 562916 intphas_4174 r   18:45:13.77 +00:19:00.0 2000.00  00:29 1.571  WFC   30.1  180  r                                
 562917 intphas_4174 i   18:45:13.76 +00:19:00.0 2000.00  00:30 1.565  WFC   10.1  180  i                                
 562918 intphas_4174o Ha 18:45:33.77 +00:23:59.9 2000.00  00:31 1.555  WFC  120.0  180  Halpha                           
 562919 intphas_4174o r  18:45:33.77 +00:23:59.9 2000.00  00:33 1.543  WFC   30.0  180  r                                
 562920 intphas_4174o i  18:45:33.76 +00:24:00.0 2000.00  00:34 1.537  WFC   10.1  180  i                                
 562921 intphas_4181 Ha  18:45:57.08 -00:35:59.8 2000.00  00:35 1.549  WFC  120.0  180  Halpha                           
 562922 intphas_4181 r   18:45:57.09 -00:36:00.0 2000.00  00:38 1.538  WFC   29.6  180  r                                
 562923 intphas_4181 i   18:45:57.09 -00:36:00.0 2000.00  00:39 1.532  WFC   10.1  180  i                                
 562924 intphas_4181o Ha 18:46:17.09 -00:31:00.1 2000.00  00:40 1.523  WFC  120.0  180  Halpha                           
 562925 intphas_4181o r  18:46:17.08 -00:31:00.0 2000.00  00:42 1.512  WFC   30.1  180  r                                
 562926 intphas_4181o i  18:46:17.08 -00:31:00.0 2000.00  00:43 1.507  WFC   10.1  180  i                                
 562927 intphas_4908 Ha  19:26:09.27 +07:39:00.2 2000.00  00:44 1.601  WFC  119.5  180  Halpha                           
 562928 intphas_4908 r   19:26:09.28 +07:38:59.9 2000.00  00:47 1.587  WFC   30.1  180  r                                
 562929 intphas_4908 i   19:26:09.28 +07:38:59.9 2000.00  00:48 1.581  WFC   10.1  180  i                                
