 472864 92-248            0:54:30.69 +00:40:16.9 2000.00  03:22 1.321  WFC   20.1  180  B                                
 472865 92-248            0:54:30.69 +00:40:17.0 2000.00  03:23 1.324  WFC   20.1  180  B                                
 472866 92-248            0:54:30.70 +00:40:16.9 2000.00  03:24 1.327  WFC   20.0  180  B                                
 472867 92-248            0:54:30.70 +00:40:16.9 2000.00  03:25 1.331  WFC    9.6  180  V                                
 472868 92-248            0:54:30.69 +00:40:17.0 2000.00  03:26 1.334  WFC   10.1  180  V                                
 472869 92-248            0:54:30.70 +00:40:17.0 2000.00  03:26 1.337  WFC   10.1  180  V                                
 472870 92-248            0:54:30.69 +00:40:16.9 2000.00  03:27 1.340  WFC   10.1  180  i                                
 472871 92-248            0:54:30.70 +00:40:16.9 2000.00  03:28 1.343  WFC   10.1  180  i                                
 472872 92-248            0:54:30.70 +00:40:17.0 2000.00  03:29 1.346  WFC   10.1  180  i                                
 472873 92-248            0:54:30.69 +00:40:16.9 2000.00  03:30 1.351  WFC   10.1  180  i                                
 472874 92-248            0:54:30.70 +00:40:17.0 2000.00  03:31 1.354  WFC    9.5  180  i                                
 472875 92-248            0:54:30.70 +00:40:16.9 2000.00  03:32 1.357  WFC   10.1  180  i                                
 472876 92-248            0:54:30.69 +00:40:17.0 2000.00  03:33 1.360  WFC   10.1  180  V                                
 472877 92-248            0:54:30.70 +00:40:16.9 2000.00  03:33 1.363  WFC    9.0  180  V                                
 472878 92-248            0:54:30.70 +00:40:17.0 2000.00  03:34 1.366  WFC    9.6  180  V                                
 472879 92-248            0:54:30.70 +00:40:17.0 2000.00  03:35 1.370  WFC   19.0  180  B                                
 472880 92-248            0:54:30.70 +00:40:17.0 2000.00  03:36 1.374  WFC   20.1  180  B                                
 472881 92-248            0:54:30.69 +00:40:16.9 2000.00  03:37 1.378  WFC   20.1  180  B                                
 472882 92-248            0:54:30.70 +00:40:16.9 2000.00  03:38 1.384  WFC   59.5  180  U                                
 472883 92-248            0:54:30.70 +00:40:17.0 2000.00  03:40 1.392  WFC   60.1  180  U                                
 472884 92-248            0:54:30.70 +00:40:17.0 2000.00  03:41 1.399  WFC   60.1  180  U                                
 472885 92-248            0:54:30.69 +00:40:16.8 2000.00  03:43 1.406  WFC   60.0  180  U                                
 472886 92-248            0:54:30.70 +00:40:17.0 2000.00  03:45 1.414  WFC   60.0  180  U                                
 472887 92-248            0:54:30.70 +00:40:16.9 2000.00  03:46 1.421  WFC   60.0  180  U                                
 472888 92-248            0:54:30.70 +00:40:16.9 2000.00  03:48 1.428  WFC   20.1  180  B                                
 472889 92-248            0:54:30.70 +00:40:17.0 2000.00  03:49 1.432  WFC   20.1  180  B                                
 472890 92-248            0:54:30.70 +00:40:16.9 2000.00  03:50 1.437  WFC   19.6  180  B                                
 472891 92-248            0:54:30.69 +00:40:17.0 2000.00  03:51 1.442  WFC   10.1  180  V                                
 472892 92-248            0:54:30.69 +00:40:17.0 2000.00  03:52 1.446  WFC   10.1  180  V                                
 472893 92-248            0:54:30.70 +00:40:17.0 2000.00  03:53 1.450  WFC   10.1  180  V                                
 472894 92-248            0:54:30.70 +00:40:16.9 2000.00  03:54 1.454  WFC   10.1  180  i                                
 472895 92-248            0:54:30.70 +00:40:16.9 2000.00  03:54 1.459  WFC   10.1  180  i                                
 472896 92-248            0:54:30.69 +00:40:16.9 2000.00  03:55 1.463  WFC   10.1  180  i                                
 472897 92-248            0:54:30.70 +00:40:16.8 2000.00  03:56 1.467  WFC   10.1  180  i                                
 472898 92-248            0:54:30.70 +00:40:16.9 2000.00  03:57 1.471  WFC   10.1  180  i                                
 472899 92-248            0:54:30.69 +00:40:16.9 2000.00  03:58 1.476  WFC   10.1  180  i                                
 472900 92-248            0:54:30.70 +00:40:17.0 2000.00  03:58 1.480  WFC   10.0  180  V                                
 472901 92-248            0:54:30.70 +00:40:17.0 2000.00  03:59 1.485  WFC   10.1  180  V                                
 472902 92-248            0:54:30.70 +00:40:16.9 2000.00  04:00 1.489  WFC   10.1  180  V                                
 472903 92-248            0:54:30.70 +00:40:17.0 2000.00  04:01 1.494  WFC   20.1  180  B                                
 472904 92-248            0:54:30.69 +00:40:17.0 2000.00  04:02 1.500  WFC   20.1  180  B                                
 472905 92-248            0:54:30.70 +00:40:17.1 2000.00  04:03 1.505  WFC   20.1  180  B                                
 472906 92-248            0:54:30.70 +00:40:16.9 2000.00  04:04 1.513  WFC   60.1  180  U                                
 472907 92-248            0:54:30.70 +00:40:17.0 2000.00  04:06 1.523  WFC   60.1  180  U                                
 472908 92-248            0:54:30.69 +00:40:16.9 2000.00  04:07 1.533  WFC   60.0  180  U                                
 472909 NGC1193           3:05:55.99 +44:23:00.0 2000.00  04:15 1.053  WFC  120.0  180  B                                
 472910 NGC1193           3:05:55.99 +44:23:00.0 2000.00  04:17 1.054  WFC   90.0  180  V                                
 472911 NGC1193           3:05:56.00 +44:23:00.0 2000.00  04:20 1.056  WFC   90.0  180  i                                
 472912 BE66              3:04:17.99 +58:46:00.1 2000.00  04:22 1.173  WFC   90.0  180  i                                
 472913 BE66              3:04:17.99 +58:46:00.0 2000.00  04:24 1.174  WFC   90.1  180  V                                
 472914 BE66              3:04:18.00 +58:46:00.0 2000.00  04:27 1.176  WFC  120.0  180  B                                
 472915 BE12              4:44:35.99 +42:20:59.9 2000.00  04:30 1.038  WFC  119.5  180  B                                
 472916 BE12              4:44:36.00 +42:20:59.9 2000.00  04:33 1.036  WFC   90.0  180  V                                
