 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 543490 m64h             12:56:41.67 +21:40:29.9 2000.00  06:52 1.035  WFC  399.9  180  Halpha                           
 543491 m64h             12:56:39.52 +21:40:00.0 2000.00  07:00 1.028  WFC  399.8  180  Halpha                           
 543492 m64h             12:56:48.13 +21:42:00.0 2000.00  07:09 1.022  WFC  399.8  180  Halpha                           
 543493 SA104            12:42:53.60 -00:32:02.2 2000.00  07:18 1.152  WFC   29.5  180  r                                
 543494 SA104            12:42:53.59 -00:32:01.9 2000.00  07:19 1.151  WFC   40.1  180  V                                
 543495 SA104            12:42:53.59 -00:32:01.9 2000.00  07:21 1.150  WFC   40.1  180  B                                
 543496 SA101             9:57:18.40 -00:25:03.0 2000.00  07:24 1.444  WFC   20.1  180  B                                
 543497 SA101             9:57:18.39 -00:25:02.9 2000.00  07:25 1.449  WFC   20.1  180  r                                
 543498 SA101             9:57:18.40 -00:25:02.9 2000.00  07:26 1.454  WFC   20.1  180  V                                
 543499 SA101             9:57:18.39 -00:25:03.0 2000.00  07:27 1.461  WFC   40.1  180  r                                
 543500 SA101             9:57:20.39 -00:24:33.0 2000.00  07:29 1.470  WFC   20.1  180  r                                
 543501 SA101             9:57:21.72 -00:24:13.1 2000.00  07:30 1.476  WFC   15.1  180  r                                
 543502 SA101             9:57:21.72 -00:24:12.9 2000.00  07:31 1.483  WFC   30.1  180  V                                
 543503 SA101             9:57:21.73 -00:24:12.9 2000.00  07:33 1.490  WFC   10.1  180  V                                
 543504 SA101             9:57:21.06 -00:24:22.8 2000.00  07:34 1.496  WFC    6.1  180  V                                
 543505 SA101             9:57:21.06 -00:24:23.0 2000.00  07:35 1.500  WFC    6.1  180  B                                
 543506 SA101             9:57:21.07 -00:24:23.0 2000.00  07:36 1.505  WFC    4.1  180  B                                
 543507 SA101             9:57:19.73 -00:24:43.0 2000.00  07:37 1.511  WFC    2.1  180  B                                
 543508 SA101             9:57:21.73 -00:24:52.6 2000.00  07:38 1.516  WFC    2.1  180  B                                
 543509 SA101             9:57:21.73 -00:24:52.9 2000.00  07:39 1.522  WFC    9.5  180  Halpha                           
 543510 SA101             9:57:21.73 -00:24:53.0 2000.00  07:40 1.529  WFC    7.1  180  Halpha                           
 543511 SA101             9:57:21.73 -00:24:52.9 2000.00  07:41 1.535  WFC   27.1  180  Halpha                           
 543512 SA101             9:57:21.73 -00:24:43.1 2000.00  07:42 1.542  WFC   20.1  180  Halpha                           
 543513 SA101             9:57:19.06 -00:24:43.0 2000.00  07:43 1.549  WFC   12.5  180  Halpha                           
 543514 SA101             9:57:20.39 -00:24:32.8 2000.00  07:44 1.557  WFC    8.5  180  Halpha                           
 543515 SA101             9:57:20.39 -00:25:00.0 2000.00  07:45 1.563  WFC    6.1  180  Halpha                           
 543516 SA101             9:57:20.39 -00:24:50.1 2000.00  07:46 1.569  WFC    4.1  180  Halpha                           
