INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2004 07 02 06:41

TELESCOPE             INT
DATE                  20040701
OBSERVER/S            P.Guterman
PROGRAMME             CoRoT
PROPOSAL REF          CAT 
TELESCOPE OPERATOR    no one
SUPPORT ASTRONOMER    Antonio Garcia

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:22
EVENING TWILIGHT (UT) 21:48
MORNING TWILIGHT (UT) 04:43
SUNRISE (UT)          06:09
%ILLUM. LUNAR DISK      1
DARK TIME (HRS)       06:55
TWILIGHT TIME (HRS)   02:52
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          06:04

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  20.0   21     3.5   4.2  136   777.3   20.0  22.5    20.6   21    20 
22:00  19.7   18     6.5   6.8   48   777.7   19.7  21.1    20.8   18    17 
23:00  19.7   18    14.3  15.9   21   778.2   19.7  20.9    20.7   18    17 
00:00  19.9   17    18.1  19.3   45   778.5   19.9  20.8    20.7   17    17 
01:00  19.6   17    17.1  20.2   10   778.2   19.6  20.4    20.8   17    17 
02:00  19.4   17    13.6  14.6    2   777.9   19.4  20.2    20.6   17    17 
03:00  19.4   17    15.5  17.3    2   777.4   19.4  19.9    20.6   17    17 
04:00  19.6   16    18.3  19.0   11   777.1   19.6  19.9    20.6   16    16 
05:00  19.4   16    20.8  21.5   30   776.5   19.4  19.6    20.4   16    17 
06:00  19.6   14    19.6  20.0   23   776.5   19.6  19.7    20.4   14    15 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
not photometric. sahara dust brume  + full moon

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 405778 Bias frame                                        14:26        WFC    0.0       B                                
 405906 171834_103a      18:46:13.99 +04:27:00.0 J2000.00 01:13 1.097  WFC    9.6  180  r                                
 405907 171834_103a      18:46:14.00 +04:27:00.0 J2000.00 01:14 1.097  WFC   10.0  180  i                                
 405908 171834_104a      18:44:13.99 +04:27:00.0 J2000.00 01:16 1.097  WFC   39.5  180  B                                
 405909 171834_104a      18:44:13.99 +04:27:00.0 J2000.00 01:18 1.097  WFC   16.1  180  V                                
 405910 171834_104a      18:44:13.99 +04:26:59.9 J2000.00 01:19 1.097  WFC    9.6  180  r                                
 405911 171834_104a      18:44:13.99 +04:27:00.0 J2000.00 01:19 1.097  WFC    9.5  180  i                                
 405912 171834_105a      18:42:14.00 +04:26:59.9 J2000.00 01:20 1.098  WFC   40.1  180  B                                
 405913 171834_105a      18:42:14.00 +04:26:59.9 J2000.00 01:22 1.098  WFC   16.1  180  V                                
 405914 171834_105a      18:42:14.00 +04:27:00.0 J2000.00 01:23 1.098  WFC   10.1  180  r                                
 405915 171834_105a      18:42:13.99 +04:27:00.0 J2000.00 01:24 1.098  WFC   10.1  180  i                                
 405916 171834_106a      18:40:13.99 +04:26:59.9 J2000.00 01:24 1.099  WFC   40.1  180  B                                
 405917 171834_106a      18:40:13.99 +04:27:00.0 J2000.00 01:26 1.100  WFC   16.1  180  V                                
 405918 171834_106a      18:40:14.00 +04:26:59.9 J2000.00 01:27 1.100  WFC   10.1  180  r                                
 405919 171834_106a      18:40:14.00 +04:26:59.9 J2000.00 01:28 1.100  WFC   10.1  180  i                                
 405920 171834_107a      18:38:13.99 +04:26:59.9 J2000.00 01:29 1.102  WFC   39.5  180  B                                
 405921 171834_107a      18:38:14.00 +04:26:59.9 J2000.00 01:30 1.102  WFC   16.1  180  V                                
 405922 171834_107a      18:38:14.00 +04:27:00.0 J2000.00 01:31 1.103  WFC   10.1  180  r                                
 405923 171834_107a      18:38:13.99 +04:27:00.0 J2000.00 01:32 1.103  WFC   10.1  180  i                                
 405924 171834_108a      18:36:14.00 +04:26:59.9 J2000.00 01:33 1.105  WFC   40.1  180  B                                
 405925 171834_108a      18:36:14.00 +04:27:00.0 J2000.00 01:34 1.105  WFC   15.5  180  V                                
 405926 171834_108a      18:36:14.00 +04:27:00.0 J2000.00 01:35 1.106  WFC   10.1  180  r                                
 405927 171834_108a      18:36:13.99 +04:26:59.9 J2000.00 01:36 1.106  WFC   10.1  180  i                                
 405928 171834_109a      18:46:14.00 +03:56:59.9 J2000.00 01:37 1.106  WFC   40.1  180  B                                
 405929 171834_109a      18:46:14.00 +03:57:00.0 J2000.00 01:38 1.107  WFC   16.1  180  V                                
 405930 171834_109a      18:46:14.00 +03:56:59.9 J2000.00 01:39 1.107  WFC   10.1  180  r                                
 405931 171834_109a      18:46:14.00 +03:57:00.0 J2000.00 01:40 1.108  WFC    9.6  180  i                                
