 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 692242 Bias              0:00:00.00 +00:00:00.0  2009.69 14:43 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692243 Bias              0:00:00.00 +00:00:00.0  2009.69 14:43 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692244 Bias              0:00:00.00 +00:00:00.0  2009.69 14:44 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692245 Bias              0:00:00.00 +00:00:00.0  2009.69 14:44 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692246 Bias              0:00:00.00 +00:00:00.0  2009.69 14:45 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692247 Bias              0:00:00.00 +00:00:00.0  2009.69 14:45 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692248 Bias              0:00:00.00 +00:00:00.0  2009.69 14:46 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692249 Bias              0:00:00.00 +00:00:00.0  2009.69 14:46 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692250 Bias              0:00:00.00 +00:00:00.0  2009.69 14:47 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692251 Bias              0:00:00.00 +00:00:00.0  2009.69 14:47 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692252 Bias              0:00:00.00 +00:00:00.0  2009.69 14:47 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692253 Bias              0:00:00.00 +00:00:00.0  2009.69 14:48 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692254 Bias              0:00:00.00 +00:00:00.0  2009.69 14:48 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692255 Bias              0:00:00.00 +00:00:00.0  2009.69 14:49 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692256 Bias              0:00:00.00 +00:00:00.0  2009.69 14:49 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692257 Bias              0:00:00.00 +00:00:00.0  2009.69 14:50 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692258 Bias              0:00:00.00 +00:00:00.0  2009.69 14:50 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692259 Bias              0:00:00.00 +00:00:00.0  2009.69 14:51 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692260 Bias              0:00:00.00 +00:00:00.0  2009.69 14:51 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692261 Bias              0:00:00.00 +00:00:00.0  2009.69 14:51 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692262 Bias              0:00:00.00 +00:00:00.0  2009.69 14:52 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692263 Bias              0:00:00.00 +00:00:00.0  2009.69 14:52 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692264 Bias              0:00:00.00 +00:00:00.0  2009.69 14:53 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692265 Bias              0:00:00.00 +00:00:00.0  2009.69 14:53 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692266 Bias              0:00:00.00 +00:00:00.0  2009.69 14:54 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692267 Bias              0:00:00.00 +00:00:00.0  2009.69 14:54 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692268 Bias              0:00:00.00 +00:00:00.0  2009.69 14:55 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692269 Bias              0:00:00.00 +00:00:00.0  2009.69 14:55 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692270 Bias              0:00:00.00 +00:00:00.0  2009.69 14:55 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692271 Bias              0:00:00.00 +00:00:00.0  2009.69 14:56 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692272 Bias              0:00:00.00 +00:00:00.0  2009.69 14:56 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
